Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Ставропольская - 159																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3514	УИК №3515	УИК №3516	УИК №3518	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39220	1325	359	2574	1891	1856	1179	680	1738	462	2608	2370	2314	1477	1390	671	2200	1687	1121	255	322	410	2235	2514	262	2323	2997									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36430	1300	350	2300	1800	1800	1010	650	1700	450	2500	2100	2100	1500	1200	600	2100	1500	1150	220	300	400	2000	2360	240	2200	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20837	813	185	1259	1257	1042	669	295	1284	308	1383	998	1087	881	555	358	954	863	806	159	233	188	1146	1220	159	1274	1461									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2221	87	63	173	114	114	50	48	217	40	46	34	18	102	72	116	91	119	87	32	42	98	53	209	19	117	60									
6	Число погашенных избирательных бюллетеней	13372	400	102	868	429	644	291	307	199	102	1071	1068	995	517	573	126	1055	518	257	29	25	114	801	931	62	809	1079									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2221	87	63	173	114	114	50	48	217	40	46	34	18	102	72	116	91	119	87	32	42	98	53	209	19	117	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20837	813	185	1259	1257	1042	669	295	1284	308	1383	998	1087	881	555	358	954	863	806	159	233	188	1146	1220	159	1274	1461									
9	Число недействительных избирательных бюллетеней	577	35	6	37	63	36	18	2	18	6	48	33	13	21	18	8	36	36	33	6	0	0	30	43	5	0	26									
10	Число действительных избирательных бюллетеней	22481	865	242	1395	1308	1120	701	341	1483	342	1381	999	1092	962	609	466	1009	946	860	185	275	286	1169	1386	173	1391	1495									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	30	10	30	20	20	20	10	20	10	30	30	30	20	20	10	40	20	20	10	10	10	20	20	10	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	322	29	10	13	11	12	6	0	8	7	30	16	6	6	4	5	10	6	20	0	10	10	20	3	0	40	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	1	6	6	0	8	6	13	6	3	4	8	5	0	4	3	8	9	10	1	4	2	8	6	0	26	1									
14	Число погашенных неиспользованных открепительных удостоверений	228	1	0	17	9	8	14	10	12	3	0	14	24	14	16	5	30	14	0	10	0	0	0	17	10	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	369	7	1	23	17	11	19	9	7	5	23	15	28	25	5	7	18	13	22	2	0	0	28	25	3	29	27									
		1.60%	0.78%	0.40%	1.61%	1.24%	0.95%	2.64%	2.62%	0.47%	1.44%	1.61%	1.45%	2.53%	2.54%	0.80%	1.48%	1.72%	1.32%	2.46%	1.05%	0.00%	0.00%	2.34%	1.75%	1.69%	2.08%	1.78%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	618	22	5	54	20	32	19	9	35	5	29	17	31	29	20	11	31	30	18	7	0	5	49	48	5	48	39									
		2.68%	2.44%	2.02%	3.77%	1.46%	2.77%	2.64%	2.62%	2.33%	1.44%	2.03%	1.65%	2.81%	2.95%	3.19%	2.32%	2.97%	3.05%	2.02%	3.66%	0.00%	1.75%	4.09%	3.36%	2.81%	3.45%	2.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	325	11	3	16	19	13	9	5	21	4	25	24	15	17	14	4	9	12	7	3	0	6	19	19	2	22	26									
		1.41%	1.22%	1.21%	1.12%	1.39%	1.12%	1.25%	1.46%	1.40%	1.15%	1.75%	2.33%	1.36%	1.73%	2.23%	0.84%	0.86%	1.22%	0.78%	1.57%	0.00%	2.10%	1.58%	1.33%	1.12%	1.58%	1.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11093	454	186	737	752	595	408	210	708	203	622	480	419	412	288	219	462	478	465	101	190	175	539	689	101	560	640									
		48.11%	50.44%	75.00%	51.47%	54.85%	51.47%	56.75%	61.22%	47.17%	58.33%	43.53%	46.51%	37.92%	41.91%	45.93%	46.20%	44.21%	48.68%	52.07%	52.88%	69.09%	61.19%	44.95%	48.22%	56.74%	40.26%	42.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	238	8	1	15	12	7	3	2	16	4	21	11	17	14	5	5	13	7	7	2	0	2	8	8	1	37	12									
		1.03%	0.89%	0.40%	1.05%	0.88%	0.61%	0.42%	0.58%	1.07%	1.15%	1.47%	1.07%	1.54%	1.42%	0.80%	1.05%	1.24%	0.71%	0.78%	1.05%	0.00%	0.70%	0.67%	0.56%	0.56%	2.66%	0.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	1	1	7	2	2	1	1	3	1	8	7	8	2	1	2	6	7	0	1	0	0	2	5	0	6	4									
		0.34%	0.11%	0.40%	0.49%	0.15%	0.17%	0.14%	0.29%	0.20%	0.29%	0.56%	0.68%	0.72%	0.20%	0.16%	0.42%	0.57%	0.71%	0.00%	0.52%	0.00%	0.00%	0.17%	0.35%	0.00%	0.43%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3842	188	15	245	265	210	90	53	201	56	239	159	208	171	104	48	160	193	119	24	42	47	246	264	29	208	258									
		16.66%	20.89%	6.05%	17.11%	19.33%	18.17%	12.52%	15.45%	13.39%	16.09%	16.72%	15.41%	18.82%	17.40%	16.59%	10.13%	15.31%	19.65%	13.33%	12.57%	15.27%	16.43%	20.52%	18.47%	16.29%	14.95%	16.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	202	6	0	13	6	9	5	0	5	4	10	14	19	18	7	8	9	6	4	0	0	2	12	12	1	17	15									
		0.88%	0.67%	0.00%	0.91%	0.44%	0.78%	0.70%	0.00%	0.33%	1.15%	0.70%	1.36%	1.72%	1.83%	1.12%	1.69%	0.86%	0.61%	0.45%	0.00%	0.00%	0.70%	1.00%	0.84%	0.56%	1.22%	0.99%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	360	9	0	16	11	17	5	4	16	2	25	22	39	23	15	6	12	12	1	1	0	0	18	10	0	58	38									
		1.56%	1.00%	0.00%	1.12%	0.80%	1.47%	0.70%	1.17%	1.07%	0.57%	1.75%	2.13%	3.53%	2.34%	2.39%	1.27%	1.15%	1.22%	0.11%	0.52%	0.00%	0.00%	1.50%	0.70%	0.00%	4.17%	2.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	1	0	1	2	1	0	0	3	0	0	1	2	8	2	0	1	0	0	1	0	0	3	3	0	1	3									
		0.14%	0.11%	0.00%	0.07%	0.15%	0.09%	0.00%	0.00%	0.20%	0.00%	0.00%	0.10%	0.18%	0.81%	0.32%	0.00%	0.10%	0.00%	0.00%	0.52%	0.00%	0.00%	0.25%	0.21%	0.00%	0.07%	0.20%									
