Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Хлевенская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886					
1	"Число избирателей, внесенных в списки"	17149	1840	1817	1259	527	452	98	567	1174	111	513	513	254	338	608	108	219	195	546	101	130	307	1152	524	187	221	68	1099	357	173	541	615	535					
2	"Число бюллетеней, полученных участковыми комиссиями"	16993	1825	1813	1255	530	435	99	568	1165	113	510	514	252	334	605	105	210	190	543	100	126	297	1130	518	184	219	69	1075	348	180	534	615	532					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7576	731	844	478	147	281	90	246	426	78	288	153	146	116	320	49	126	121	267	54	66	112	561	244	102	69	37	468	119	99	234	224	280					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1908	47	66	51	151	49	0	94	17	15	36	82	46	52	49	29	39	20	153	28	35	51	92	85	31	80	11	76	50	41	126	83	123					
6	Число погашенных бюллетеней	7509	1047	903	726	232	105	9	228	722	20	186	279	60	166	236	27	45	49	123	18	25	134	477	189	51	70	21	531	179	40	174	308	129					
7	Число бюллетеней в переносных ящиках для голосования	1908	47	66	51	151	49	0	94	17	15	36	82	46	52	49	29	39	20	153	28	35	51	92	85	31	80	11	76	50	41	126	83	123					
8	Число бюллетеней в стационарных ящиках для голосования	7571	730	844	478	147	281	90	246	426	78	285	153	146	116	320	49	126	121	267	54	66	112	561	244	102	69	37	468	118	99	234	224	280					
9	Число недействительных бюллетеней	102	18	3	4	8	2	0	0	2	0	11	0	2	0	6	2	3	4	0	1	1	3	15	3	0	1	0	3	4	0	4	2	0					
10	Число действительных бюллетеней	9377	759	907	525	290	328	90	340	441	93	310	235	190	168	363	76	162	137	420	81	100	160	638	326	133	148	48	541	164	140	356	305	403					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	44	44	31	12	10	2	13	27	3	11	12	6	8	14	2	5	4	13	2	3	7	26	12	4	5	2	25	8	4	13	14	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	6	7	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	10	1	1	0	1	1	0	6	0	0	0	0	2	0	1	2	4	2	1	4	5	0	0	1	0	0	2	0	1	0	1	0					
14	Число погашенных открепительных удостоверений	375	38	37	31	11	10	2	12	26	3	11	11	6	8	14	2	5	4	12	1	3	7	25	11	4	5	2	24	7	4	13	13	13					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	110	6	14	8	3	5	2	3	5	1	5	2	0	5	7	0	0	2	9	1	3	1	7	1	1	1	0	9	3	1	1	1	3					
		1.16%	0.77%	1.53%	1.51%	1.00%	1.51%	2.22%	0.88%	1.12%	1.07%	1.55%	0.85%	0.0%	2.97%	1.89%	0.0%	0.0%	1.41%	2.14%	1.21%	2.97%	0.61%	1.07%	0.30%	0.75%	0.67%	0.0%	1.65%	1.78%	0.71%	0.27%	0.32%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	118	6	14	7	1	6	0	7	3	3	5	2	1	1	0	2	3	1	5	2	4	2	5	0	1	4	0	6	6	1	8	4	8					
		1.24%	0.77%	1.53%	1.32%	0.33%	1.81%	0.0%	2.05%	0.67%	3.22%	1.55%	0.85%	0.52%	0.59%	0.0%	2.56%	1.81%	0.70%	1.19%	2.43%	3.96%	1.22%	0.76%	0.0%	0.75%	2.68%	0.0%	1.10%	3.57%	0.71%	2.22%	1.30%	1.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	147	10	13	2	8	3	0	6	9	0	6	13	1	3	6	1	2	1	3	1	3	4	6	2	2	6	1	14	3	3	5	3	7					
		1.55%	1.28%	1.42%	0.37%	2.68%	0.90%	0.0%	1.76%	2.03%	0.0%	1.86%	5.53%	0.52%	1.78%	1.62%	1.28%	1.21%	0.70%	0.71%	1.21%	2.97%	2.45%	0.91%	0.60%	1.50%	4.02%	2.08%	2.57%	1.78%	2.14%	1.38%	0.97%	1.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	85	16	12	7	3	2	0	0	2	3	1	1	0	1	1	3	4	0	0	0	0	2	4	1	6	0	0	8	0	0	2	0	6					
