Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    район Бибирево																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №3657									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	101019	2452	2641	2387	2658	2737	2418	2047	2521	2415	2316	2110	2148	2017	2318	2565	2365	2837	1647	1712	2134	2192	2145	2681	2281	2541	2304	2217	2247	2408	2714	2261	2431	2196	2356	2402	2395	2425	2413	2325	2837	2301	2360	2094	48									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71300	1700	1800	1700	1900	1900	1700	1400	1800	1700	1600	1500	1500	1400	1600	1800	1700	2000	1200	1200	1500	1500	1500	1900	1600	1800	1600	1600	1600	1700	1900	1600	1700	1600	1700	1700	1700	1700	1700	1700	2000	1600	1600	1500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31545	763	812	807	788	861	722	626	824	714	743	597	655	691	726	764	711	843	508	544	708	660	696	791	749	754	690	707	693	734	794	677	785	712	704	727	779	719	891	791	847	722	781	687	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1076	37	21	29	37	26	50	23	35	39	12	17	15	14	21	25	32	13	19	23	26	24	20	22	20	40	31	23	31	29	20	17	24	24	22	32	33	37	25	21	3	18	26	20	0									
6	Число погашенных избирательных бюллетеней	38679	900	967	864	1075	1013	928	751	941	947	845	886	830	695	853	1011	957	1144	673	633	766	816	784	1087	831	1006	879	870	876	937	1086	906	891	864	974	941	888	944	784	888	1150	860	793	793	152									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1075	37	21	29	37	26	50	23	35	39	12	17	15	14	21	25	32	12	19	23	26	24	20	22	20	40	31	23	31	29	20	17	24	24	22	32	33	37	25	21	3	18	26	20	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31483	757	811	807	788	861	722	626	824	714	743	595	654	691	726	759	710	837	508	537	708	660	696	791	749	751	690	706	693	729	794	677	782	712	701	713	779	719	891	791	847	722	780	684	48									
9	Число недействительных избирательных бюллетеней	606	11	14	19	12	28	12	15	23	14	11	11	14	15	16	12	15	17	9	10	16	12	13	15	11	10	18	25	9	18	10	12	12	11	14	17	11	7	14	15	26	11	8	12	1									
10	Число действительных избирательных бюллетеней	31952	783	818	817	813	859	760	634	836	739	744	601	655	690	731	772	727	832	518	550	718	672	703	798	758	781	703	704	715	740	804	682	794	725	709	728	801	749	902	797	824	729	798	692	47									
