Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Интинская городская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177					
1	"Число избирателей, внесенных в список избирателей"	32216	1597	66	259	434	1556	1129	1323	936	2732	2665	1521	1394	1350	1459	1333	1283	1378	1277	1335	1495	2506	1037	560	521	934	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28249	1570	90	234	465	1875	945	1170	800	2240	2180	1260	1155	1280	1065	1100	1055	1135	1035	1095	1220	2040	865	505	850	770	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1779	1081	0	0	0	508	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	93	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20367	307	60	92	254	579	642	698	699	2052	2061	1108	996	968	888	966	673	997	660	924	1095	1806	738	377	319	398	10					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1009	125	2	119	53	27	45	19	16	29	36	28	24	28	26	17	30	30	29	32	28	52	19	29	17	26	123					
6	Число погашенных избирательных бюллетеней	5094	57	28	23	158	761	258	362	85	159	83	124	135	284	151	117	352	108	346	139	97	182	108	93	421	346	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2788	1206	2	119	53	535	45	110	16	29	36	28	24	28	26	17	30	30	29	32	28	52	19	35	110	26	123					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20367	307	60	92	254	579	642	698	699	2052	2061	1108	996	968	888	966	673	997	660	924	1095	1806	738	377	319	398	10					
9	Число недействительных избирательных бюллетеней	232	2	0	7	0	12	12	19	3	15	13	6	4	1	27	8	19	14	13	8	9	16	3	4	3	13	1					
10	Число действительных избирательных бюллетеней	22923	1511	62	204	307	1102	675	789	712	2066	2084	1130	1016	995	887	975	684	1013	676	948	1114	1842	754	408	426	411	132					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1310	100	30	40	20	50	50	50	50	100	100	50	50	50	50	50	50	50	50	50	50	100	50	20	20	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	518	40	29	21	20	28	16	7	9	47	25	25	23	15	19	22	18	22	15	26	18	43	15	8	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	502	11	6	3	0	214	2	3	4	8	24	15	11	9	41	6	19	13	19	27	7	30	13	7	4	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	792	60	1	19	0	22	34	43	41	53	75	25	27	35	31	28	32	28	35	24	32	57	35	12	18	25	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	148	1	7	2	2	4	10	1	2	16	20	5	7	6	5	9	10	6	3	5	6	10	3	2	1	5	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1206	73	4	26	21	66	66	71	47	85	79	36	57	44	83	42	75	36	33	34	41	73	38	19	17	33	7					
		5.21%	4.82%	6.45%	12.32%	6.84%	5.92%	9.61%	8.79%	6.57%	4.08%	3.77%	3.17%	5.59%	4.42%	9.08%	4.27%	10.67%	3.51%	4.79%	3.56%	3.65%	3.93%	5.02%	4.61%	3.96%	7.78%	5.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1327	65	2	20	14	114	93	100	23	86	85	44	43	25	119	33	93	42	37	44	74	33	42	14	16	62	4					
		5.73%	4.30%	3.23%	9.48%	4.56%	10.23%	13.54%	12.38%	3.22%	4.13%	4.05%	3.87%	4.22%	2.51%	13.02%	3.36%	13.23%	4.09%	5.37%	4.60%	6.59%	1.78%	5.55%	3.40%	3.73%	14.62%	3.01%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	125	3	1	1	0	18	11	9	0	3	3	8	8	5	15	9	9	3	0	7	6	0	4	1	1	0	0					
		0.54%	0.20%	1.61%	0.47%	0.00%	1.62%	1.60%	1.11%	0.00%	0.14%	0.14%	0.70%	0.78%	0.50%	1.64%	0.92%	1.28%	0.29%	0.00%	0.73%	0.53%	0.00%	0.53%	0.24%	0.23%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4230	272	10	47	53	143	113	75	121	411	401	198	172	196	152	183	131	199	134	189	210	347	194	79	81	90	29					
		18.27%	17.98%	16.13%	22.27%	17.26%	12.84%	16.45%	9.28%	16.92%	19.75%	19.12%	17.43%	16.86%	19.68%	16.63%	18.62%	18.63%	19.38%	19.45%	19.77%	18.70%	18.68%	25.63%	19.17%	18.88%	21.23%	21.80%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	205	4	1	0	3	34	20	20	6	4	8	6	5	0	24	5	26	1	4	3	2	3	3	3	6	12	2					
		0.89%	0.26%	1.61%	0.00%	0.98%	3.05%	2.91%	2.48%	0.84%	0.19%	0.38%	0.53%	0.49%	0.00%	2.63%	0.51%	3.70%	0.10%	0.58%	0.31%	0.18%	0.16%	0.40%	0.73%	1.40%	2.83%	1.50%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15719	1087	43	110	215	714	369	513	507	1469	1502	835	729	724	488	689	341	731	467	666	773	1379	471	291	305	212	89					
		67.89%	71.84%	69.35%	52.13%	70.03%	64.09%	53.71%	63.49%	70.91%	70.59%	71.63%	73.50%	71.47%	72.69%	53.39%	70.09%	48.51%	71.18%	67.78%	69.67%	68.83%	74.22%	62.22%	70.63%	71.10%	50.00%	66.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	111	7	1	0	1	13	3	1	8	8	6	3	2	1	6	14	9	1	1	5	8	7	2	1	0	2	1					
		0.48%	0.46%	1.61%	0.00%	0.33%	1.17%	0.44%	0.12%	1.12%	0.38%	0.29%	0.26%	0.20%	0.10%	0.66%	1.42%	1.28%	0.10%	0.15%	0.52%	0.71%	0.38%	0.26%	0.24%	0.00%	0.47%	0.75%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
