Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Бескудниковский район 																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №3639	УИК №3640									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50796	2466	654	2939	2739	2606	3006	2819	2645	2038	2324	2181	2132	2177	2208	2346	2556	2492	2420	2544	2668	2632	63	141									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35950	1700	350	2000	1900	1800	2100	2000	1900	1500	1700	1600	1500	1600	1600	1700	1800	1700	1700	1800	1900	1800	100	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15320	790	302	889	729	800	860	830	790	657	675	716	530	620	636	660	856	699	788	800	795	835	63	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	683	23	0	33	22	32	29	28	22	15	33	18	24	40	20	34	31	47	24	26	22	19	0	141									
6	Число погашенных избирательных бюллетеней	19947	887	48	1078	1149	968	1211	1142	1088	828	992	866	946	940	944	1006	913	954	888	974	1083	946	37	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	683	23	0	33	22	32	29	28	22	15	33	18	24	40	20	34	31	47	24	26	22	19	0	141									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15312	790	302	888	729	800	860	827	788	657	675	716	530	620	635	660	856	699	788	800	795	834	63	0									
9	Число недействительных избирательных бюллетеней	331	11	14	31	19	12	16	7	24	10	17	10	14	14	13	10	18	23	17	14	15	20	1	1									
10	Число действительных избирательных бюллетеней	15664	802	288	890	732	820	873	848	786	662	691	724	540	646	642	684	869	723	795	812	802	833	62	140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	401	20	10	20	15	20	30	20	20	20	10	20	20	20	20	20	20	10	20	16	20	30	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	283	14	2	12	10	12	24	16	13	13	10	10	12	18	16	13	15	10	16	13	14	20	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	648	43	197	86	26	44	0	29	35	10	16	7	9	7	8	10	13	9	16	22	12	49	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	118	6	8	8	5	8	6	4	7	7	0	10	8	2	4	7	5	0	4	3	6	10	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	5	0	5	7	8	4	2	2	3	2	1	2	3	3	1	6	4	3	4	3	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	495	19	4	19	23	25	46	22	27	24	8	33	13	25	25	31	31	20	21	20	25	28	3	3									
		3.09%	2.34%	1.32%	2.06%	3.06%	3.00%	5.17%	2.57%	3.33%	3.57%	1.13%	4.50%	2.35%	3.79%	3.82%	4.47%	3.49%	2.68%	2.59%	2.42%	3.06%	3.28%	4.76%	2.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	266	10	7	21	23	18	8	18	11	18	8	13	6	12	10	16	18	4	12	7	11	13	1	1									
		1.66%	1.23%	2.32%	2.28%	3.06%	2.16%	0.90%	2.11%	1.36%	2.68%	1.13%	1.77%	1.08%	1.82%	1.53%	2.31%	2.03%	0.54%	1.48%	0.85%	1.35%	1.52%	1.59%	0.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	454	19	2	32	15	26	21	31	21	19	30	25	21	30	18	22	20	19	18	21	22	19	1	2									
		2.84%	2.34%	0.66%	3.47%	1.99%	3.13%	2.36%	3.63%	2.59%	2.83%	4.24%	3.41%	3.79%	4.55%	2.75%	3.17%	2.25%	2.55%	2.22%	2.54%	2.69%	2.23%	1.59%	1.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5812	275	107	337	267	306	312	319	305	223	297	244	203	221	257	248	318	281	289	301	316	297	22	67									
		36.34%	33.83%	35.43%	36.59%	35.55%	36.78%	35.10%	37.31%	37.65%	33.18%	41.95%	33.24%	36.64%	33.48%	39.24%	35.73%	35.85%	37.67%	35.59%	36.44%	38.68%	34.82%	34.92%	47.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	244	16	0	10	7	12	16	8	7	13	16	17	5	9	7	13	10	19	7	18	18	11	2	3									
		1.53%	1.97%	0.00%	1.09%	0.93%	1.44%	1.80%	0.94%	0.86%	1.93%	2.26%	2.32%	0.90%	1.36%	1.07%	1.87%	1.13%	2.55%	0.86%	2.18%	2.20%	1.29%	3.17%	2.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	56	1	0	0	7	6	2	4	5	1	2	0	1	0	2	5	4	6	2	4	0	3	0	1									
		0.35%	0.12%	0.00%	0.00%	0.93%	0.72%	0.22%	0.47%	0.62%	0.15%	0.28%	0.00%	0.18%	0.00%	0.31%	0.72%	0.45%	0.80%	0.25%	0.48%	0.00%	0.35%	0.00%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2437	107	92	111	141	87	134	138	121	100	110	107	103	106	104	94	129	105	137	127	98	145	10	31									
		15.24%	13.16%	30.46%	12.05%	18.77%	10.46%	15.07%	16.14%	14.94%	14.88%	15.54%	14.58%	18.59%	16.06%	15.88%	13.54%	14.54%	14.08%	16.87%	15.38%	11.99%	16.99%	15.87%	21.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	363	23	5	18	14	25	16	12	26	13	13	14	11	16	12	11	24	20	18	19	25	28	0	0									
		2.27%	2.83%	1.66%	1.95%	1.86%	3.00%	1.80%	1.40%	3.21%	1.93%	1.84%	1.91%	1.99%	2.42%	1.83%	1.59%	2.71%	2.68%	2.22%	2.30%	3.06%	3.28%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	458	43	4	21	20	29	32	16	15	11	12	30	16	17	18	22	27	16	27	26	26	24	1	5									
		2.86%	5.29%	1.32%	2.28%	2.66%	3.49%	3.60%	1.87%	1.85%	1.64%	1.69%	4.09%	2.89%	2.58%	2.75%	3.17%	3.04%	2.14%	3.33%	3.15%	3.18%	2.81%	1.59%	3.55%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	3	2	3	2	3	0	2	1	2	0	3	1	0	2	3	0	3	0	1	1	2	0	1									
		0.22%	0.37%	0.66%	0.33%	0.27%	0.36%	0.00%	0.23%	0.12%	0.30%	0.00%	0.41%	0.18%	0.00%	0.31%	0.43%	0.00%	0.40%	0.00%	0.12%	0.12%	0.23%	0.00%	0.71%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1220	85	5	78	53	65	80	63	53	51	48	47	29	54	39	52	68	55	53	63	77	86	3	13									
		7.63%	10.46%	1.66%	8.47%	7.06%	7.81%	8.99%	7.37%	6.54%	7.59%	6.78%	6.40%	5.23%	8.18%	5.95%	7.49%	7.67%	7.37%	6.53%	7.63%	9.42%	10.08%	4.76%	9.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2164	116	41	130	87	130	104	134	98	118	81	111	66	92	83	93	108	99	126	112	111	105	14	5									
		13.53%	14.27%	13.58%	14.12%	11.58%	15.63%	11.70%	15.67%	12.10%	17.56%	11.44%	15.12%	11.91%	13.94%	12.67%	13.40%	12.18%	13.27%	15.52%	13.56%	13.59%	12.31%	22.22%	3.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	6	3	3	1	8	4	3	4	1	2	2	4	1	2	4	7	3	11	6	5	3	0	4									
		0.54%	0.74%	0.99%	0.33%	0.13%	0.96%	0.45%	0.35%	0.49%	0.15%	0.28%	0.27%	0.72%	0.15%	0.31%	0.58%	0.79%	0.40%	1.35%	0.73%	0.61%	0.35%	0.00%	2.84%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1573	79	16	107	72	80	98	78	92	68	64	78	61	63	63	70	105	73	74	87	67	69	5	4									
		9.83%	9.72%	5.30%	11.62%	9.59%	9.62%	11.02%	9.12%	11.36%	10.12%	9.04%	10.63%	11.01%	9.55%	9.62%	10.09%	11.84%	9.79%	9.11%	10.53%	8.20%	8.09%	7.94%	2.84%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
