Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Балашовская																																																																																																			
																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																			
																																																																																																			
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
1	"Число избирателей, внесенных в списки"	98667	1105	1441	1012	1291	991	523	1554	1297	1331	1467	1521	1092	1033	1130	1165	1612	1811	1735	933	934	1341	1170	1259	1285	1783	2123	1503	1382	1771	1165	1205	1180	1845	1625	1768	1398	1496	1435	1523	1125	1194	2251	1399	2149	1131	1369	2391	1821	1936	2704	390	1049	827	814	61	329	2332	614	625	929	598	257	131	1018	212	214	172	734	532	266	173	717	240	83	1027	216	801	284	986	299	954	1474	466	694	328	197	824	594	414	908	1796	383					
2	"Число бюллетеней, полученных участковыми комиссиями"	97480	1200	1400	1000	1300	1000	500	1500	1100	1300	1500	1500	1100	1000	1200	1100	1500	1600	1700	900	900	1300	1100	1300	1300	1700	2100	1500	1000	1600	1200	1200	1200	1800	1400	1900	1400	1500	1400	1400	1100	1200	2100	1400	2200	1100	1600	2000	1900	1900	2600	400	1100	800	800	100	350	2300	700	600	1000	600	300	200	1000	300	300	200	800	550	260	170	800	250	100	1000	300	800	300	1000	300	950	1500	450	700	350	200	800	600	400	1000	1750	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54119	530	575	437	677	502	298	961	553	602	814	848	580	370	437	648	752	1133	808	429	512	772	614	607	554	1044	1242	819	573	794	578	662	577	914	719	998	915	839	881	910	666	743	1274	883	1311	385	1057	1541	1016	1053	1649	228	620	347	356	27	166	1255	370	365	473	329	166	110	510	191	143	105	511	339	157	96	466	149	55	586	166	436	146	863	166	551	751	264	458	177	117	474	366	255	487	1011	255					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4144	68	71	24	44	35	136	27	165	20	42	80	43	84	44	23	23	37	51	43	34	53	32	66	50	37	45	30	120	93	31	49	42	55	67	46	17	29	24	16	25	18	78	20	47	29	3	18	39	25	23	57	18	39	44	14	70	75	49	55	156	24	0	0	26	21	20	14	43	37	56	22	45	12	0	68	50	41	37	2	2	67	76	60	31	52	40	65	53	59	136	82	5					
6	Число погашенных бюллетеней	39167	602	754	539	579	463	66	512	382	678	644	572	477	546	719	429	725	430	841	428	354	475	454	627	696	619	813	651	307	713	591	489	581	831	614	856	468	632	495	474	409	439	748	497	842	686	540	441	845	822	928	115	462	414	400	59	114	970	281	180	371	247	134	90	464	88	137	81	196	174	47	52	289	89	45	346	84	323	117	135	132	332	673	126	211	121	43	261	181	86	377	657	140					
7	Число бюллетеней в переносных ящиках для голосования	4144	68	71	24	44	35	136	27	165	20	42	80	43	84	44	23	23	37	51	43	34	53	32	66	50	37	45	30	120	93	31	49	42	55	67	46	17	29	24	16	25	18	78	20	47	29	3	18	39	25	23	57	18	39	44	14	70	75	49	55	156	24	0	0	26	21	20	14	43	37	56	22	45	12	0	68	50	41	37	2	2	67	76	60	31	52	40	65	53	59	136	82	5					
8	Число бюллетеней в стационарных ящиках для голосования	54058	530	575	437	677	502	298	961	552	602	814	848	580	370	437	648	752	1133	807	429	512	771	613	607	553	1044	1242	817	573	794	562	660	577	914	719	998	915	834	881	910	661	743	1272	880	1311	385	1056	1541	1016	1039	1649	227	620	347	356	27	166	1255	370	365	472	329	166	110	510	191	143	105	511	339	157	96	466	149	55	586	166	436	146	863	166	551	749	264	458	177	117	474	366	255	487	1009	255					
9	Число недействительных бюллетеней	978	15	12	10	15	17	50	14	6	20	10	14	13	9	8	16	14	20	14	6	5	17	13	17	14	13	18	7	14	17	16	9	16	6	6	16	8	12	4	4	6	11	13	14	9	11	5	11	8	4	12	3	20	7	18	6	5	22	7	12	8	1	1	0	15	9	0	0	7	14	2	4	13	3	3	21	11	5	3	9	1	11	16	9	19	4	1	11	6	10	17	19	6					
10	Число действительных бюллетеней	57224	583	634	451	706	520	384	974	711	602	846	914	610	445	473	655	761	1150	844	466	541	807	632	656	589	1068	1269	840	679	870	577	700	603	963	780	1028	924	851	901	922	680	750	1337	886	1349	403	1054	1548	1047	1060	1660	281	618	379	382	35	231	1308	412	408	620	352	165	110	521	203	163	119	547	362	211	114	498	158	52	633	205	472	180	856	167	607	809	315	470	225	156	528	413	304	606	1072	254					
