Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Златоустовская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132					
1	"Число избирателей, внесенных в список избирателей"	135263	2319	2618	1340	2306	1552	1993	1034	1690	1428	1576	2033	1298	1052	2469	1602	1399	1595	2400	1823	2143	1242	1481	1150	1858	1977	2221	1999	1690	1774	1848	1638	1538	2082	2120	2002	1996	1128	2187	2393	2237	2143	1261	1858	2055	1778	1759	1259	1766	1917	2374	2523	2669	1573	574	1215	1245	1783	1179	1574	1982	2267	1880	1836	1571	1812	1619	1319	1812	1664	1245	1232	1240	1956	1606	1519	1550	546	848	273	750					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	124150	1900	2400	1300	2200	1400	1900	1000	1600	1400	1500	1900	1200	1000	2300	1500	1300	1500	2000	1700	2000	1100	1400	1100	1700	1800	2000	1900	1600	1600	1700	1500	1400	1900	2000	1900	1900	1000	2000	2200	2100	1900	1200	1700	1900	1600	1600	1200	1600	1600	2200	2300	2500	1400	550	1100	1200	1700	1000	1400	1700	1800	1700	1700	1400	1700	1500	1200	1700	1500	1100	1100	1200	1800	1500	1400	1400	500	800	250	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	62854	865	1143	617	1051	712	960	488	569	452	501	704	410	350	1061	632	592	732	1064	960	1103	624	674	558	983	969	1194	1022	815	969	941	820	786	1086	1075	1069	1054	528	1225	1279	1228	870	571	917	976	838	768	611	813	852	1015	1244	1287	435	152	389	376	604	358	798	1018	1150	965	1015	849	918	896	748	689	796	520	554	598	948	694	478	674	271	482	102	750					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4845	241	109	15	73	62	52	33	65	62	62	187	45	44	39	49	36	68	231	81	34	26	48	53	48	40	48	61	24	56	58	39	69	52	61	73	44	30	33	19	23	81	29	35	75	76	57	35	85	122	41	59	101	35	25	68	40	43	158	29	47	153	50	109	53	19	34	38	38	52	32	40	41	78	54	88	126	30	54	22	0					
6	Число погашенных избирательных бюллетеней	56451	794	1148	668	1076	626	888	479	966	886	937	1009	745	606	1200	819	672	700	705	659	863	450	678	489	669	791	758	817	761	575	701	641	545	762	864	758	802	442	742	902	849	949	600	748	849	686	775	554	702	626	1144	997	1112	930	373	643	784	1053	484	573	635	497	685	576	498	763	570	414	973	652	548	506	561	774	752	834	600	199	264	126	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4845	241	109	15	73	62	52	33	65	62	62	187	45	44	39	49	36	68	231	81	34	26	48	53	48	40	48	61	24	56	58	39	69	52	61	73	44	30	33	19	23	81	29	35	75	76	57	35	85	122	41	59	101	35	25	68	40	43	158	29	47	153	50	109	53	19	34	38	38	52	32	40	41	78	54	88	126	30	54	22	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62736	865	1034	617	1050	712	960	488	569	452	501	704	410	350	1061	632	592	732	1064	960	1103	624	674	558	983	969	1194	1022	815	967	941	820	786	1086	1074	1068	1054	528	1225	1279	1228	870	571	917	976	838	768	611	813	852	1015	1244	1287	435	152	389	376	604	358	798	1018	1149	965	1015	849	918	896	747	689	796	518	554	598	948	694	478	674	271	482	102	750					
9	Число недействительных избирательных бюллетеней	1345	20	31	17	17	14	14	6	14	6	17	16	7	11	25	11	13	23	25	23	32	7	14	12	17	20	24	24	14	16	18	12	17	24	16	21	36	19	17	25	25	20	12	18	19	14	13	11	18	7	17	19	25	7	2	6	9	11	15	16	21	34	23	18	18	22	24	16	23	24	13	14	20	19	30	8	19	3	9	0	8					
10	Число действительных избирательных бюллетеней	66236	1086	1112	615	1106	760	998	515	620	508	546	875	448	383	1075	670	615	777	1270	1018	1105	643	708	599	1014	989	1218	1059	825	1007	981	847	838	1114	1119	1120	1062	539	1241	1273	1226	931	588	934	1032	900	812	635	880	967	1039	1284	1363	463	175	451	407	636	501	811	1044	1268	992	1106	884	915	906	769	704	824	537	580	619	1007	718	558	781	298	527	124	742					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2050	43	45	22	46	25	30	13	30	26	23	45	25	16	59	42	20	20	20	38	33	15	30	25	23	27	27	29	30	30	25	31	26	30	36	40	30	18	34	40	49	22	15	25	20	20	25	10	25	18	25	40	40	12	3	17	20	32	26	43	26	20	28	20	20	20	23	13	15	10	7	10	15	25	30	12	19	40	35	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2034	43	45	22	46	25	30	13	30	25	23	45	25	16	59	42	20	19	20	37	33	15	30	25	23	26	27	29	30	30	25	31	26	30	36	40	30	16	34	38	49	22	14	25	20	20	25	10	25	18	25	40	39	12	3	17	20	32	25	43	26	20	28	20	19	20	23	13	15	10	7	10	15	25	29	12	19	40	35	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1879	31	13	10	13	6	13	14	5	10	9	6	7	4	29	26	13	8	14	19	19	15	42	32	15	21	21	18	10	18	9	12	14	12	12	9	9	9	14	7	8	61	8	4	13	14	4	16	11	10	14	12	12	7	2	9	4	6	14	142	167	154	26	8	19	15	14	15	4	5	27	17	11	14	9	6	16	7	0	4	402					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	447	5	4	8	6	5	5	1	5	3	5	6	4	4	13	5	5	11	10	16	6	4	5	4	3	4	11	7	7	7	10	18	9	3	8	5	7	4	6	10	9	11	4	4	7	2	5	1	6	5	9	13	11	2	2	1	5	1	3	7	8	5	4	7	4	6	3	6	4	1	5	3	3	1	6	6	6	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11584	200	192	115	185	160	177	92	120	93	98	129	80	59	204	142	111	138	231	201	189	96	133	116	167	178	228	195	153	185	192	165	144	215	217	246	216	96	228	247	213	158	101	172	168	178	145	114	149	160	213	189	270	56	39	63	63	109	81	149	172	221	178	179	166	146	152	143	109	128	66	102	97	157	87	66	107	49	89	28	19					
		17.14%	18.08%	16.80%	18.20%	16.47%	20.67%	17.49%	17.66%	18.93%	18.09%	17.41%	14.48%	17.58%	14.97%	18.55%	20.85%	17.68%	17.25%	17.84%	19.31%	16.62%	14.77%	18.42%	18.99%	16.20%	17.64%	18.36%	18.01%	18.24%	18.08%	19.22%	19.21%	16.84%	18.89%	19.12%	21.56%	19.67%	17.20%	18.12%	19.03%	17.03%	16.61%	16.83%	18.07%	15.98%	19.47%	17.58%	17.65%	16.59%	16.43%	20.17%	14.50%	19.45%	11.91%	22.03%	13.79%	15.14%	16.85%	15.70%	18.02%	16.15%	16.97%	17.54%	15.93%	18.40%	15.58%	16.34%	18.22%	14.99%	15.09%	12.00%	17.17%	15.18%	15.30%	11.63%	11.66%	13.38%	16.28%	16.60%	22.58%	2.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9441	178	160	96	192	100	137	71	99	76	88	147	85	63	150	81	98	101	181	140	168	98	75	86	125	116	133	131	112	141	138	121	105	125	122	142	112	69	153	164	149	115	92	133	146	120	89	82	86	128	133	135	168	78	25	79	63	102	72	148	169	210	155	163	119	150	118	124	154	129	81	87	93	158	133	84	134	47	97	14	200					
		13.97%	16.09%	13.99%	15.19%	17.10%	12.92%	13.54%	13.63%	15.62%	14.79%	15.63%	16.50%	18.68%	15.99%	13.64%	11.89%	15.61%	12.63%	13.98%	13.45%	14.78%	15.08%	10.39%	14.08%	12.12%	11.50%	10.71%	12.10%	13.35%	13.78%	13.81%	14.09%	12.28%	10.98%	10.75%	12.45%	10.20%	12.37%	12.16%	12.63%	11.91%	12.09%	15.33%	13.97%	13.89%	13.13%	10.79%	12.69%	9.58%	13.14%	12.59%	10.36%	12.10%	16.60%	14.12%	17.29%	15.14%	15.77%	13.95%	17.90%	15.87%	16.13%	15.27%	14.50%	13.19%	16.01%	12.69%	15.80%	21.18%	15.21%	14.73%	14.65%	14.55%	15.40%	17.78%	14.84%	16.75%	15.61%	18.10%	11.29%	26.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	836	26	12	7	9	9	16	9	5	4	9	5	1	2	19	6	10	6	21	19	14	12	3	9	18	17	19	14	25	22	14	9	11	15	10	14	9	7	18	18	15	13	9	10	15	7	11	16	6	15	17	11	14	7	1	7	3	4	6	4	15	20	8	15	11	11	5	11	6	9	2	8	5	17	8	3	4	4	5	1	4					
		1.24%	2.35%	1.05%	1.11%	0.80%	1.16%	1.58%	1.73%	0.79%	0.78%	1.60%	0.56%	0.22%	0.51%	1.73%	0.88%	1.59%	0.75%	1.62%	1.83%	1.23%	1.85%	0.42%	1.47%	1.75%	1.68%	1.53%	1.29%	2.98%	2.15%	1.40%	1.05%	1.29%	1.32%	0.88%	1.23%	0.82%	1.25%	1.43%	1.39%	1.20%	1.37%	1.50%	1.05%	1.43%	0.77%	1.33%	2.48%	0.67%	1.54%	1.61%	0.84%	1.01%	1.49%	0.56%	1.53%	0.72%	0.62%	1.16%	0.48%	1.41%	1.54%	0.79%	1.33%	1.22%	1.17%	0.54%	1.40%	0.83%	1.06%	0.36%	1.35%	0.78%	1.66%	1.07%	0.53%	0.50%	1.33%	0.93%	0.81%	0.53%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14169	170	229	155	231	192	210	93	111	110	92	176	60	60	218	144	133	171	228	216	227	148	168	123	230	206	287	245	155	237	207	198	225	258	284	272	275	107	335	331	284	248	109	191	203	191	191	154	212	231	205	289	277	104	33	90	84	107	79	156	254	243	232	288	219	226	228	169	103	154	124	123	134	226	135	93	105	51	73	22	12					
		20.97%	15.37%	20.03%	24.53%	20.57%	24.81%	20.75%	17.85%	17.51%	21.40%	16.34%	19.75%	13.19%	15.23%	19.82%	21.15%	21.18%	21.38%	17.61%	20.75%	19.96%	22.77%	23.27%	20.13%	22.31%	20.42%	23.11%	22.62%	18.47%	23.17%	20.72%	23.05%	26.32%	22.67%	25.02%	23.84%	25.05%	19.18%	26.63%	25.50%	22.70%	26.08%	18.17%	20.06%	19.31%	20.90%	23.15%	23.84%	23.61%	23.72%	19.41%	22.18%	19.96%	22.13%	18.64%	19.69%	20.19%	16.54%	15.31%	18.86%	23.85%	18.66%	22.86%	25.62%	24.28%	24.12%	24.52%	21.53%	14.17%	18.16%	22.55%	20.71%	20.97%	22.03%	18.05%	16.43%	13.13%	16.94%	13.62%	17.74%	1.60%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2538	52	38	21	28	26	28	16	18	11	21	18	9	5	37	37	17	26	39	70	48	21	30	21	28	40	62	46	40	44	50	48	46	51	70	48	36	24	69	70	62	36	23	32	43	42	47	20	56	43	41	50	66	12	9	20	10	17	7	36	44	45	44	44	42	23	39	39	10	15	12	11	9	22	11	17	12	3	10	2	3					
		3.76%	4.70%	3.32%	3.32%	2.49%	3.36%	2.77%	3.07%	2.84%	2.14%	3.73%	2.02%	1.98%	1.27%	3.36%	5.43%	2.71%	3.25%	3.01%	6.72%	4.22%	3.23%	4.16%	3.44%	2.72%	3.96%	4.99%	4.25%	4.77%	4.30%	5.01%	5.59%	5.38%	4.48%	6.17%	4.21%	3.28%	4.30%	5.48%	5.39%	4.96%	3.79%	3.83%	3.36%	4.09%	4.60%	5.70%	3.10%	6.24%	4.41%	3.88%	3.84%	4.76%	2.55%	5.08%	4.38%	2.40%	2.63%	1.36%	4.35%	4.13%	3.46%	4.33%	3.91%	4.66%	2.45%	4.19%	4.97%	1.38%	1.77%	2.18%	1.85%	1.41%	2.14%	1.47%	3.00%	1.50%	0.99%	1.87%	1.61%	0.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27201	455	473	217	456	265	421	233	264	209	235	391	209	192	442	256	240	332	561	368	451	265	294	239	442	423	481	416	334	371	368	300	304	441	411	392	408	233	431	433	485	357	249	390	450	355	322	242	366	385	421	596	559	203	67	190	181	289	249	317	380	514	369	404	320	353	361	280	320	385	250	248	277	422	342	286	413	142	250	57	499					
		40.25%	41.14%	41.38%	34.34%	40.61%	34.24%	41.60%	44.72%	41.64%	40.66%	41.74%	43.88%	45.93%	48.73%	40.18%	37.59%	38.22%	41.50%	43.32%	35.35%	39.67%	40.77%	40.72%	39.12%	42.87%	41.92%	38.73%	38.41%	39.81%	36.27%	36.84%	34.92%	35.56%	38.75%	36.21%	34.36%	37.16%	41.76%	34.26%	33.36%	38.77%	37.54%	41.50%	40.97%	42.82%	38.84%	39.03%	37.46%	40.76%	39.53%	39.87%	45.74%	40.27%	43.19%	37.85%	41.58%	43.51%	44.67%	48.26%	38.33%	35.68%	39.48%	36.35%	35.94%	35.48%	37.67%	38.82%	35.67%	44.02%	45.40%	45.45%	41.75%	43.35%	41.13%	45.72%	50.53%	51.63%	47.18%	46.64%	45.97%	66.53%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	467	5	8	4	5	8	9	1	3	5	3	9	4	2	5	4	6	3	9	4	8	3	5	5	4	9	8	12	6	7	12	6	3	9	5	6	6	3	7	10	18	4	5	6	7	7	7	7	5	5	9	14	9	3	1	2	3	8	7	1	10	15	6	13	7	6	3	3	2	4	2	1	4	5	2	9	6	2	3	0	5					
		0.69%	0.45%	0.70%	0.63%	0.45%	1.03%	0.89%	0.19%	0.47%	0.97%	0.53%	1.01%	0.88%	0.51%	0.45%	0.59%	0.96%	0.38%	0.69%	0.38%	0.70%	0.46%	0.69%	0.82%	0.39%	0.89%	0.64%	1.11%	0.72%	0.68%	1.20%	0.70%	0.35%	0.79%	0.44%	0.53%	0.55%	0.54%	0.56%	0.77%	1.44%	0.42%	0.83%	0.63%	0.67%	0.77%	0.85%	1.08%	0.56%	0.51%	0.85%	1.07%	0.65%	0.64%	0.56%	0.44%	0.72%	1.24%	1.36%	0.12%	0.94%	1.15%	0.59%	1.16%	0.78%	0.64%	0.32%	0.38%	0.28%	0.47%	0.36%	0.17%	0.63%	0.49%	0.27%	1.59%	0.75%	0.66%	0.56%	0.00%	0.67%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
