Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Златоустовская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132					
1	"Число избирателей, внесенных в списки избирателей"	139384	2150	2704	1191	2060	1704	2172	1981	1458	1420	1328	2316	1280	1019	2607	1261	1410	1736	2462	1706	2123	1336	1565	1273	1993	2091	2364	2158	1768	1643	1779	1972	1828	2252	2418	1974	2132	1293	2362	2527	2100	2157	1393	1931	2167	1801	1873	1297	1869	2070	2362	2687	2737	1432	533	902	1063	2148	1188	1881	1807	2155	1898	1940	1688	1822	2092	1394	1446	1747	1266	1277	1273	1979	1527	1640	1312	559	849	247	1059					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	132620	1900	2600	1150	2000	1600	2100	1850	1250	1400	1250	2250	1200	1000	2450	1200	1350	1650	2150	1650	2000	1250	1500	1200	1900	2000	2250	2050	1700	1550	1750	1850	1750	2150	2350	1900	2050	1250	2250	2450	2000	2050	1300	1850	2100	1750	1800	1200	1800	1850	2250	2550	2600	1350	500	950	1050	2050	1050	1800	1750	2000	1800	1850	1600	1700	2000	1350	1350	1650	1200	1200	1200	1900	1450	1550	1350	550	850	220	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77190	1016	1422	606	1130	963	1254	1111	641	692	550	1095	547	464	1396	666	747	923	1261	1062	1281	802	881	719	1160	1197	1425	1220	1014	1033	1051	1154	1057	1450	1536	1298	1309	699	1506	1585	1346	1025	733	1251	1351	1074	1036	782	1058	1112	1253	1633	1650	667	258	449	418	974	470	1032	1045	1158	1122	1198	998	934	1291	794	613	929	575	635	657	1044	658	549	608	157	529	142	1059					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4471	234	53	28	48	57	48	72	33	40	55	132	65	66	32	29	25	57	232	36	30	27	46	52	46	54	40	86	37	54	65	41	69	55	46	42	32	24	18	29	30	33	27	45	49	56	56	48	88	183	60	35	89	41	26	42	47	80	155	24	51	68	45	103	57	14	23	32	55	66	28	49	23	50	54	59	44	135	46	20	0					
6	Число погашенных избирательных бюллетеней	50959	650	1125	516	822	580	798	667	576	668	645	1023	588	470	1022	505	578	670	657	552	689	421	573	429	694	749	785	744	649	463	634	655	624	645	768	560	709	527	726	836	624	992	540	554	700	620	708	370	654	555	937	882	861	642	216	459	585	996	425	744	654	774	633	549	545	752	686	524	682	655	597	516	520	806	738	942	698	258	275	58	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4471	234	53	28	48	57	48	72	33	40	55	132	65	66	32	29	25	57	232	36	30	27	46	52	46	54	40	86	37	54	65	41	69	55	46	42	32	24	18	29	30	33	27	45	49	56	56	48	88	183	60	35	89	41	26	42	47	80	155	24	51	68	45	103	57	14	23	32	55	66	28	49	23	50	54	59	44	135	46	20	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77128	1016	1422	606	1130	963	1254	1111	641	652	550	1095	547	461	1396	666	747	923	1261	1062	1281	802	881	719	1160	1197	1425	1220	1014	1033	1051	1154	1057	1449	1536	1298	1308	699	1506	1585	1346	1025	733	1249	1351	1074	1036	782	1056	1112	1253	1631	1646	663	258	449	418	974	470	1032	1045	1158	1122	1198	998	934	1291	792	613	929	575	635	657	1044	658	548	608	157	529	142	1059					
9	Число недействительных избирательных бюллетеней	856	11	15	6	9	13	7	15	13	5	10	5	10	6	7	10	8	9	29	10	16	9	7	7	19	11	13	6	9	10	6	16	4	12	16	8	10	9	10	13	9	13	7	11	21	17	13	8	16	16	20	17	11	4	4	6	6	6	2	13	21	25	12	23	14	7	25	5	8	8	6	10	6	13	5	2	8	5	6	1	17					
10	Число действительных избирательных бюллетеней	80743	1239	1460	628	1169	1007	1295	1168	661	687	595	1222	602	521	1421	685	764	971	1464	1088	1295	820	920	764	1187	1240	1452	1300	1042	1077	1110	1179	1122	1492	1566	1332	1330	714	1514	1601	1367	1045	753	1283	1379	1113	1079	822	1128	1279	1293	1649	1724	700	280	485	459	1048	623	1043	1075	1201	1155	1278	1041	941	1289	819	660	987	597	674	674	1081	707	605	644	287	569	161	1042					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1991	25	33	20	33	20	25	25	20	30	20	33	20	40	40	20	20	20	25	20	25	20	20	20	25	25	25	27	39	30	35	40	30	21	44	25	25	20	40	35	25	15	20	25	25	20	30	20	25	25	25	39	40	20	15	40	20	25	20	25	25	25	21	27	17	20	25	22	20	20	20	20	20	25	20	20	20	25	25	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1620	19	33	20	33	20	23	25	20	19	8	33	6	21	32	20	18	17	25	20	25	13	20	13	19	20	25	27	35	25	35	39	23	21	43	23	25	11	36	33	22	13	7	20	18	14	24	10	25	22	25	38	32	9	3	37	4	19	10	22	20	25	21	27	16	20	17	22	12	10	7	11	9	5	10	13	20	25	25	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1705	33	13	16	12	15	22	43	19	5	8	10	5	10	26	17	9	12	21	14	10	12	14	12	17	15	14	13	9	12	9	17	12	20	9	8	8	12	13	11	8	9	11	6	4	7	10	16	21	23	4	18	28	10	8	12	8	17	19	17	24	21	14	8	8	10	12	5	12	12	21	9	11	24	12	8	7	11	13	8	642					
14	Число погашенных неиспользованных открепительных удостоверений	371	6	0	0	0	0	2	0	0	11	12	0	14	19	8	0	2	3	0	0	0	7	0	7	6	5	0	0	4	5	0	1	7	0	1	2	0	9	4	2	3	2	13	5	7	6	6	10	0	3	0	1	8	11	12	3	16	6	10	3	5	0	0	0	1	0	8	0	8	10	13	9	11	20	10	7	0	0	0	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	303	1	6	7	1	2	4	3	5	2	9	8	6	3	8	3	3	5	8	12	4	1	4	3	1	4	5	5	1	1	6	8	3	5	1	0	3	2	2	2	4	8	0	3	7	2	2	1	3	2	4	6	3	7	0	2	4	6	4	6	2	3	1	1	6	2	1	1	7	5	10	4	5	4	5	8	4	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
18	1.Политическая партия «Аграрная партия России»	1697	28	32	22	38	26	24	32	11	21	11	24	11	6	33	18	18	15	33	26	28	20	15	19	28	37	37	31	28	21	23	23	28	32	24	38	25	14	11	26	26	16	12	33	23	27	16	15	23	28	30	34	42	19	3	6	11	14	15	14	32	24	30	21	22	22	28	22	13	16	9	7	17	14	30	7	10	7	12	2	8					
		2.08%	2.24%	2.17%	3.47%	3.23%	2.55%	1.84%	2.70%	1.63%	3.03%	1.82%	1.96%	1.80%	1.14%	2.31%	2.59%	2.33%	1.53%	2.21%	2.37%	2.14%	2.41%	1.62%	2.46%	2.32%	2.96%	2.53%	2.37%	2.66%	1.93%	2.06%	1.92%	2.49%	2.13%	1.52%	2.84%	1.87%	1.94%	0.72%	1.61%	1.89%	1.51%	1.58%	2.55%	1.64%	2.39%	1.47%	1.81%	2.01%	2.16%	2.28%	2.04%	2.42%	2.70%	1.06%	1.22%	2.37%	1.33%	2.40%	1.33%	2.92%	1.96%	2.57%	1.61%	2.09%	2.32%	2.13%	2.67%	1.95%	1.61%	1.49%	1.02%	2.50%	1.28%	4.21%	1.15%	1.53%	2.40%	2.09%	1.23%	0.76%					
19	2.Всероссийская политическая партия «Гражданская Сила»	694	4	17	4	9	7	12	12	4	2	13	7	1	5	8	2	4	9	9	14	18	5	5	7	4	12	16	7	12	9	16	10	11	14	12	9	11	3	26	32	16	14	5	16	12	14	9	7	9	9	6	16	13	3	2	4	1	10	6	11	9	17	5	18	11	6	11	5	0	2	3	7	5	4	3	3	6	0	4	0	10					
		0.85%	0.32%	1.15%	0.63%	0.76%	0.69%	0.92%	1.01%	0.59%	0.29%	2.15%	0.57%	0.16%	0.95%	0.56%	0.29%	0.52%	0.92%	0.60%	1.28%	1.37%	0.60%	0.54%	0.91%	0.33%	0.96%	1.09%	0.54%	1.14%	0.83%	1.43%	0.84%	0.98%	0.93%	0.76%	0.67%	0.82%	0.41%	1.71%	1.98%	1.16%	1.32%	0.66%	1.24%	0.86%	1.24%	0.82%	0.84%	0.79%	0.69%	0.46%	0.96%	0.75%	0.43%	0.70%	0.81%	0.22%	0.95%	0.96%	1.04%	0.82%	1.39%	0.43%	1.38%	1.04%	0.63%	0.84%	0.61%	0.00%	0.20%	0.50%	1.02%	0.74%	0.37%	0.42%	0.49%	0.92%	0.00%	0.70%	0.00%	0.94%					
20	3.Политическая партия «Демократическая партия России»	99	0	1	3	0	4	1	0	1	0	0	0	0	0	1	2	0	2	2	0	0	2	1	1	2	0	4	1	0	2	0	5	0	3	1	0	2	0	0	2	1	2	0	2	0	0	2	0	4	3	1	0	3	3	1	1	0	4	0	1	1	3	3	0	2	1	0	0	0	2	0	2	0	4	2	0	1	1	0	1	5					
		0.12%	0.00%	0.07%	0.47%	0.00%	0.39%	0.08%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.29%	0.00%	0.20%	0.13%	0.00%	0.00%	0.24%	0.11%	0.13%	0.17%	0.00%	0.27%	0.08%	0.00%	0.18%	0.00%	0.42%	0.00%	0.20%	0.06%	0.00%	0.15%	0.00%	0.00%	0.12%	0.07%	0.19%	0.00%	0.15%	0.00%	0.00%	0.18%	0.00%	0.35%	0.23%	0.08%	0.00%	0.17%	0.43%	0.35%	0.20%	0.00%	0.38%	0.00%	0.09%	0.09%	0.24%	0.26%	0.00%	0.19%	0.11%	0.00%	0.00%	0.00%	0.20%	0.00%	0.29%	0.00%	0.37%	0.28%	0.00%	0.15%	0.34%	0.00%	0.62%	0.47%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13476	148	234	135	182	206	229	200	71	137	56	176	58	47	226	90	121	170	190	180	242	169	202	161	231	221	317	283	200	236	156	240	203	252	299	201	215	111	364	342	262	199	88	196	213	195	207	177	210	199	204	327	306	91	31	49	58	119	65	133	209	196	214	244	235	167	270	124	49	122	92	122	132	136	70	94	66	22	53	10	19					
		16.51%	11.84%	15.86%	21.29%	15.45%	20.20%	17.59%	16.91%	10.53%	19.80%	9.26%	14.34%	9.48%	8.92%	15.83%	12.95%	15.67%	17.35%	12.73%	16.39%	18.46%	20.39%	21.79%	20.88%	19.15%	17.67%	21.64%	21.67%	19.03%	21.71%	13.98%	20.08%	18.03%	16.76%	18.90%	15.00%	16.04%	15.35%	23.88%	21.19%	19.04%	18.81%	11.58%	15.15%	15.21%	17.26%	18.96%	21.33%	18.36%	15.37%	15.54%	19.63%	17.64%	12.93%	10.92%	9.98%	12.47%	11.29%	10.40%	12.59%	19.07%	15.99%	18.34%	18.75%	22.27%	17.62%	20.55%	15.05%	7.34%	12.26%	15.26%	17.84%	19.41%	12.43%	9.83%	15.49%	10.12%	7.53%	9.22%	6.17%	1.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	735	19	19	5	5	10	12	19	6	15	2	7	7	3	8	7	8	6	9	6	10	6	14	9	12	16	14	14	2	4	15	9	10	11	12	9	11	5	13	23	16	2	5	6	8	10	16	4	11	8	12	12	22	6	1	3	4	8	3	43	12	11	10	7	2	9	5	1	12	9	3	24	13	3	1	13	5	0	0	0	3					
		0.90%	1.52%	1.29%	0.79%	0.42%	0.98%	0.92%	1.61%	0.89%	2.17%	0.33%	0.57%	1.14%	0.57%	0.56%	1.01%	1.04%	0.61%	0.60%	0.55%	0.76%	0.72%	1.51%	1.17%	0.99%	1.28%	0.96%	1.07%	0.19%	0.37%	1.34%	0.75%	0.89%	0.73%	0.76%	0.67%	0.82%	0.69%	0.85%	1.43%	1.16%	0.19%	0.66%	0.46%	0.57%	0.88%	1.47%	0.48%	0.96%	0.62%	0.91%	0.72%	1.27%	0.85%	0.35%	0.61%	0.86%	0.76%	0.48%	4.07%	1.09%	0.90%	0.86%	0.54%	0.19%	0.95%	0.38%	0.12%	1.80%	0.90%	0.50%	3.51%	1.91%	0.27%	0.14%	2.14%	0.77%	0.00%	0.00%	0.00%	0.28%					
23	6.Политическая партия «Партия социальной справедливости»	194	6	7	2	2	6	5	4	1	2	0	4	2	0	1	2	1	1	0	0	1	0	2	1	1	2	3	4	0	2	2	3	0	6	3	0	3	1	9	4	0	0	3	0	1	4	5	1	2	7	9	5	7	2	0	0	1	4	3	2	0	4	1	2	5	4	4	4	0	6	1	3	0	3	1	0	0	0	1	0	6					
		0.24%	0.48%	0.47%	0.32%	0.17%	0.59%	0.38%	0.34%	0.15%	0.29%	0.00%	0.33%	0.33%	0.00%	0.07%	0.29%	0.13%	0.10%	0.00%	0.00%	0.08%	0.00%	0.22%	0.13%	0.08%	0.16%	0.20%	0.31%	0.00%	0.18%	0.18%	0.25%	0.00%	0.40%	0.19%	0.00%	0.22%	0.14%	0.59%	0.25%	0.00%	0.00%	0.39%	0.00%	0.07%	0.35%	0.46%	0.12%	0.17%	0.54%	0.69%	0.30%	0.40%	0.28%	0.00%	0.00%	0.22%	0.38%	0.48%	0.19%	0.00%	0.33%	0.09%	0.15%	0.47%	0.42%	0.30%	0.49%	0.00%	0.60%	0.17%	0.44%	0.00%	0.27%	0.14%	0.00%	0.00%	0.00%	0.17%	0.00%	0.57%					
24	7.Политическая партия «Либерально-демократическая партия России»	6248	97	126	42	94	77	102	93	62	56	52	104	60	49	118	51	62	77	106	76	103	47	59	59	77	73	100	92	70	53	70	74	63	103	86	81	80	53	99	99	74	73	54	80	90	79	73	50	70	91	76	122	117	78	21	55	43	82	56	91	86	111	83	100	58	66	90	63	61	77	54	67	59	100	72	63	62	22	45	13	376					
		7.66%	7.76%	8.54%	6.62%	7.98%	7.55%	7.83%	7.86%	9.20%	8.09%	8.60%	8.48%	9.80%	9.30%	8.26%	7.34%	8.03%	7.86%	7.10%	6.92%	7.86%	5.67%	6.36%	7.65%	6.38%	5.84%	6.83%	7.04%	6.66%	4.88%	6.27%	6.19%	5.60%	6.85%	5.44%	6.04%	5.97%	7.33%	6.50%	6.13%	5.38%	6.90%	7.11%	6.18%	6.43%	6.99%	6.68%	6.02%	6.12%	7.03%	5.79%	7.32%	6.74%	11.08%	7.39%	11.20%	9.25%	7.78%	8.96%	8.62%	7.85%	9.05%	7.11%	7.69%	5.50%	6.96%	6.85%	7.65%	9.13%	7.74%	8.96%	9.80%	8.68%	9.14%	10.11%	10.38%	9.51%	7.53%	7.83%	8.02%	35.51%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7081	86	107	48	80	82	115	99	38	73	40	90	36	33	101	98	60	82	123	95	92	69	95	59	91	131	136	94	89	99	102	129	126	157	183	170	164	62	172	175	121	102	84	125	121	109	91	54	126	149	135	178	152	29	26	18	33	71	40	84	82	122	103	111	80	76	113	59	44	80	51	48	54	86	48	32	61	19	45	18	20					
		8.68%	6.88%	7.25%	7.57%	6.79%	8.04%	8.83%	8.37%	5.64%	10.55%	6.61%	7.33%	5.88%	6.26%	7.07%	14.10%	7.77%	8.37%	8.24%	8.65%	7.02%	8.32%	10.25%	7.65%	7.55%	10.47%	9.28%	7.20%	8.47%	9.11%	9.14%	10.79%	11.19%	10.44%	11.57%	12.69%	12.24%	8.58%	11.29%	10.84%	8.79%	9.64%	11.05%	9.66%	8.64%	9.65%	8.33%	6.51%	11.01%	11.51%	10.28%	10.68%	8.76%	4.12%	9.15%	3.67%	7.10%	6.74%	6.40%	7.95%	7.48%	9.95%	8.83%	8.53%	7.58%	8.02%	8.60%	7.16%	6.59%	8.04%	8.46%	7.02%	7.94%	7.86%	6.74%	5.27%	9.36%	6.51%	7.83%	11.11%	1.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	721	14	12	9	18	10	15	9	6	4	2	18	6	2	16	1	4	4	12	23	11	8	7	6	12	11	17	10	9	17	22	6	8	5	10	11	10	3	11	20	3	5	3	5	10	9	3	9	4	15	13	26	19	4	3	3	6	10	12	10	16	8	6	11	12	6	15	9	6	7	2	5	7	9	6	2	10	2	4	1	6					
		0.88%	1.12%	0.81%	1.42%	1.53%	0.98%	1.15%	0.76%	0.89%	0.58%	0.33%	1.47%	0.98%	0.38%	1.12%	0.14%	0.52%	0.41%	0.80%	2.09%	0.84%	0.97%	0.76%	0.78%	0.99%	0.88%	1.16%	0.77%	0.86%	1.56%	1.97%	0.50%	0.71%	0.33%	0.63%	0.82%	0.75%	0.41%	0.72%	1.24%	0.22%	0.47%	0.39%	0.39%	0.71%	0.80%	0.27%	1.08%	0.35%	1.16%	0.99%	1.56%	1.10%	0.57%	1.06%	0.61%	1.29%	0.95%	1.92%	0.95%	1.46%	0.65%	0.51%	0.85%	1.14%	0.63%	1.14%	1.09%	0.90%	0.70%	0.33%	0.73%	1.03%	0.82%	0.84%	0.33%	1.53%	0.68%	0.70%	0.62%	0.57%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	47643	805	863	348	719	561	744	676	453	356	416	757	412	364	877	390	469	580	951	620	741	473	486	421	698	701	745	724	595	593	665	638	629	851	889	763	776	437	752	839	804	608	492	786	858	633	627	481	621	727	784	903	1007	450	188	339	298	706	407	630	599	660	668	701	591	560	714	504	468	653	375	380	375	698	464	384	417	212	397	115	582					
