Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Наримановская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35491	1833	218	1591	1082	320	307	211	1148	868	1555	595	735	1622	1018	1854	1109	711	836	414	1327	1695	1707	1675	1483	1539	1902	295	452	289	575	304	1010	166	1148	382	629	336	550									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32293	1850	160	1600	1100	260	246	172	928	692	1265	496	605	1600	1000	1850	1100	700	800	400	1300	1700	1344	1335	1201	1248	1900	237	450	235	469	300	1000	150	916	350	508	276	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11039	443	36	534	373	134	127	90	455	164	417	220	211	436	271	388	233	128	272	99	486	577	611	490	549	494	561	88	124	79	211	66	332	37	304	157	175	118	549									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	687	17	0	53	37	14	32	18	43	26	60	5	7	15	18	12	7	3	9	10	5	7	10	15	8	40	12	6	23	15	45	46	12	5	17	1	25	8	1									
6	Число погашенных избирательных бюллетеней	20567	1390	124	1013	690	112	87	64	430	502	788	271	387	1149	711	1450	860	569	519	291	809	1116	723	830	644	714	1327	143	303	141	213	188	656	108	595	192	308	150	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	687	17	0	53	37	14	32	18	43	26	60	5	7	15	18	12	7	3	9	10	5	7	10	15	8	40	12	6	23	15	45	46	12	5	17	1	25	8	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11020	426	36	533	373	134	127	90	455	164	417	220	211	436	271	388	233	128	272	99	486	576	611	490	549	494	561	88	124	79	211	66	332	37	304	157	175	118	549									
9	Число недействительных избирательных бюллетеней	312	5	2	5	13	2	6	2	14	8	8	9	7	5	12	13	6	4	3	6	8	18	10	9	17	18	39	2	1	6	14	1	15	1	11	6	5	1	0									
10	Число действительных избирательных бюллетеней	11395	438	34	581	397	146	153	106	484	182	469	216	211	446	277	387	234	127	278	103	483	565	611	496	540	516	534	92	146	88	242	111	329	41	310	152	195	125	550									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	62	1	24	24	24	9	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	21	24	24	24	24	24	24	24	24	24	24	24	24	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	508	51	1	24	21	7	1	3	11	10	24	22	24	24	14	24	15	6	10	3	18	19	17	21	19	8	24	4	8	4	11	10	3	0	16	8	15	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	235	1	0	4	0	1	2	0	1	3	1	10	3	8	8	3	0	1	1	2	17	4	2	3	4	3	3	3	0	0	2	1	0	3	2	27	8	0	104									
14	Число погашенных неиспользованных открепительных удостоверений	377	11	0	0	3	17	8	21	13	14	0	2	0	0	10	0	9	18	14	21	6	5	7	3	5	13	0	20	16	20	13	14	21	24	8	16	9	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	2	0	4	3	0	0	1	0	4	2	2	1	4	0	2	1	0	1	1	0	6	4	5	5	5	6	0	1	0	2	0	0	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	223	4	0	0	1	4	0	1	8	1	5	1	3	145	3	4	5	1	0	0	2	1	0	0	3	5	8	1	0	1	0	1	2	1	3	4	2	2	1									
		1.90%	0.90%	0.00%	0.00%	0.24%	2.70%	0.00%	0.93%	1.61%	0.53%	1.05%	0.44%	1.38%	32.15%	1.04%	1.00%	2.08%	0.76%	0.00%	0.00%	0.41%	0.17%	0.00%	0.00%	0.54%	0.94%	1.40%	1.06%	0.00%	1.06%	0.00%	0.89%	0.58%	2.38%	0.93%	2.53%	1.00%	1.59%	0.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	406	8	6	7	7	9	15	3	28	1	25	14	7	63	10	5	10	4	9	5	7	20	0	12	18	21	33	3	7	3	5	2	16	1	9	4	2	5	2									
		3.47%	1.81%	16.67%	1.19%	1.71%	6.08%	9.43%	2.78%	5.62%	0.53%	5.24%	6.22%	3.21%	13.97%	3.46%	1.25%	4.17%	3.05%	3.20%	4.59%	1.43%	3.43%	0.00%	2.38%	3.23%	3.93%	5.76%	3.19%	4.76%	3.19%	1.95%	1.79%	4.65%	2.38%	2.80%	2.53%	1.00%	3.97%	0.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	175	3	1	0	0	7	2	0	9	0	5	5	2	40	2	3	7	5	5	1	5	6	0	12	16	11	8	0	0	0	0	2	5	0	2	6	1	2	2									
		1.49%	0.68%	2.78%	0.00%	0.00%	4.73%	1.26%	0.00%	1.81%	0.00%	1.05%	2.22%	0.92%	8.87%	0.69%	0.75%	2.92%	3.82%	1.78%	0.92%	1.02%	1.03%	0.00%	2.38%	2.87%	2.06%	1.40%	0.00%	0.00%	0.00%	0.00%	1.79%	1.45%	0.00%	0.62%	3.80%	0.50%	1.59%	0.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5837	303	20	467	233	56	80	58	229	97	279	106	54	6	116	239	78	68	125	27	250	222	330	267	168	176	253	42	89	50	163	79	165	17	158	88	120	57	502									
		49.86%	68.40%	55.56%	79.69%	56.83%	37.84%	50.31%	53.70%	45.98%	51.05%	58.49%	47.11%	24.77%	1.33%	40.14%	59.75%	32.50%	51.91%	44.48%	24.77%	50.92%	38.08%	53.14%	52.87%	30.16%	32.96%	44.15%	44.68%	60.54%	53.19%	63.67%	70.54%	47.97%	40.48%	49.22%	55.70%	60.00%	45.24%	91.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	54	0	0	0	2	1	1	0	2	0	2	0	0	7	1	2	3	0	0	0	1	5	4	2	4	6	3	1	0	0	0	0	1	0	1	1	2	1	1									
		0.46%	0.00%	0.00%	0.00%	0.49%	0.68%	0.63%	0.00%	0.40%	0.00%	0.42%	0.00%	0.00%	1.55%	0.35%	0.50%	1.25%	0.00%	0.00%	0.00%	0.20%	0.86%	0.64%	0.40%	0.72%	1.12%	0.52%	1.06%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.31%	0.63%	1.00%	0.79%	0.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	5	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	1	0									
		0.16%	1.13%	0.00%	0.00%	0.24%	0.00%	0.63%	0.00%	0.00%	0.00%	0.21%	0.00%	0.46%	0.22%	0.35%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.18%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.31%	0.00%	0.00%	0.79%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1285	42	3	11	36	13	12	5	56	22	37	23	48	41	30	68	37	25	48	20	66	96	59	53	123	112	33	21	3	4	25	5	28	4	24	6	13	16	17									
		10.98%	9.48%	8.33%	1.88%	8.78%	8.78%	7.55%	4.63%	11.24%	11.58%	7.76%	10.22%	22.02%	9.09%	10.38%	17.00%	15.42%	19.08%	17.08%	18.35%	13.44%	16.47%	9.50%	10.50%	22.08%	20.97%	5.76%	22.34%	2.04%	4.26%	9.77%	4.46%	8.14%	9.52%	7.48%	3.80%	6.50%	12.70%	3.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	57	1	0	0	0	0	0	0	3	0	2	0	0	3	3	5	2	1	0	0	1	3	4	1	10	9	4	0	0	0	0	0	0	2	1	0	2	0	0									
		0.49%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.42%	0.00%	0.00%	0.67%	1.04%	1.25%	0.83%	0.76%	0.00%	0.00%	0.20%	0.51%	0.64%	0.20%	1.80%	1.69%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.31%	0.00%	1.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	52	1	4	0	0	0	0	0	0	0	1	0	1	7	2	4	3	0	5	0	0	3	3	3	2	3	3	0	0	0	0	2	0	1	2	1	0	1	0									
		0.44%	0.23%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.46%	1.55%	0.69%	1.00%	1.25%	0.00%	1.78%	0.00%	0.00%	0.51%	0.48%	0.59%	0.36%	0.56%	0.52%	0.00%	0.00%	0.00%	0.00%	1.79%	0.00%	2.38%	0.62%	0.63%	0.00%	0.79%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	3	0	0	2	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1									
		0.13%	0.68%	0.00%	0.00%	0.49%	0.68%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.44%	0.35%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	71	1	0	0	3	3	0	0	2	1	2	0	4	3	5	2	1	0	3	0	8	6	1	4	8	3	1	0	1	0	0	0	2	0	1	0	4	0	2									
		0.61%	0.23%	0.00%	0.00%	0.73%	2.03%	0.00%	0.00%	0.40%	0.53%	0.42%	0.00%	1.83%	0.67%	1.73%	0.50%	0.42%	0.00%	1.07%	0.00%	1.63%	1.03%	0.16%	0.79%	1.44%	0.56%	0.17%	0.00%	0.68%	0.00%	0.00%	0.00%	0.58%	0.00%	0.31%	0.00%	2.00%	0.00%	0.36%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1699	25	0	33	39	27	31	23	79	34	50	32	31	51	45	28	36	12	43	37	61	103	116	97	103	90	133	18	35	26	28	6	56	4	81	13	32	32	9									
		14.51%	5.64%	0.00%	5.63%	9.51%	18.24%	19.50%	21.30%	15.86%	17.89%	10.48%	14.22%	14.22%	11.31%	15.57%	7.00%	15.00%	9.16%	15.30%	33.94%	12.42%	17.67%	18.68%	19.21%	18.49%	16.85%	23.21%	19.15%	23.81%	27.66%	10.94%	5.36%	16.28%	9.52%	25.23%	8.23%	16.00%	25.40%	1.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	2	0	1	1	0	0	0	2	0	2	0	2	4	0	1	0	1	0	0	0	2	0	2	3	1	1	0	0	0	0	1	0	1	1	1	1	0	0									
		0.26%	0.45%	0.00%	0.17%	0.24%	0.00%	0.00%	0.00%	0.40%	0.00%	0.42%	0.00%	0.92%	0.89%	0.00%	0.25%	0.00%	0.76%	0.00%	0.00%	0.00%	0.34%	0.00%	0.40%	0.54%	0.19%	0.17%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	2.38%	0.31%	0.63%	0.50%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1472	40	0	62	72	25	11	16	66	26	57	35	58	73	58	26	50	10	40	13	82	97	94	43	81	76	53	6	11	4	21	13	53	10	25	28	16	8	13									
		12.57%	9.03%	0.00%	10.58%	17.56%	16.89%	6.92%	14.81%	13.25%	13.68%	11.95%	15.56%	26.61%	16.19%	20.07%	6.50%	20.83%	7.63%	14.23%	11.93%	16.70%	16.64%	15.14%	8.51%	14.54%	14.23%	9.25%	6.38%	7.48%	4.26%	8.20%	11.61%	15.41%	23.81%	7.79%	17.72%	8.00%	6.35%	2.36%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
