Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Мантуровская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, внесенных в списки"	5340	409	454	443	151	443	210	318	375	400	394	386	206	1151					
2	"Число бюллетеней, полученных участковыми комиссиями"	5312	400	440	440	152	440	210	325	370	400	400	385	210	1140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2377	186	268	172	80	144	112	89	176	222	183	123	99	523					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	848	64	34	105	12	99	47	99	59	39	58	101	29	102					
6	Число погашенных бюллетеней	2087	150	138	163	60	197	51	137	135	139	159	161	82	515					
7	Число бюллетеней в переносных ящиках для голосования	847	64	34	105	12	99	47	98	59	39	58	101	29	102					
8	Число бюллетеней в стационарных ящиках для голосования	2377	186	268	172	80	144	112	89	176	222	183	123	99	523					
9	Число недействительных бюллетеней	35	3	0	1	1	1	1	6	4	4	6	3	1	4					
10	Число действительных бюллетеней	3189	247	302	276	91	242	158	181	231	257	235	221	127	621					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	70	5	5	5	5	5	5	5	5	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	11	1	2	3	1	0	0	0	0	0	1	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	1	2	2	2	1	0	0	0	2	0	0	0	2					
14	Число погашенных открепительных удостоверений	59	4	3	2	4	5	5	5	5	5	4	5	2	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	43	3	4	8	3	3	1	2	0	3	3	4	1	8					
		1.33%	1.2%	1.32%	2.88%	3.26%	1.23%	0.62%	1.06%	0.0%	1.14%	1.24%	1.78%	0.78%	1.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	15	2	1	1	0	1	2	1	0	1	2	1	1	2					
		0.46%	0.8%	0.33%	0.36%	0.0%	0.41%	1.25%	0.53%	0.0%	0.38%	0.82%	0.44%	0.78%	0.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	135	7	8	9	2	7	2	9	10	6	13	16	3	43					
		4.18%	2.8%	2.64%	3.24%	2.17%	2.88%	1.25%	4.81%	4.25%	2.29%	5.39%	7.14%	2.34%	6.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	34	1	3	6	0	1	3	1	0	4	2	8	0	5					
		1.05%	0.4%	0.99%	2.16%	0.0%	0.41%	1.88%	0.53%	0.0%	1.53%	0.82%	3.57%	0.0%	0.8%					
22	"5. ""За Русь Святую"""	19	1	2	1	1	0	2	4	2	2	3	0	0	1					
		0.58%	0.4%	0.66%	0.36%	1.08%	0.0%	1.25%	2.13%	0.85%	0.76%	1.24%	0.0%	0.0%	0.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	0	1	0	0	1	0	0	1	0	0	0	0	0					
		0.09%	0.0%	0.33%	0.0%	0.0%	0.41%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	2	0	1	2	0	0	3	0	3	0	0	2	0					
		0.40%	0.8%	0.0%	0.36%	2.17%	0.0%	0.0%	1.60%	0.0%	1.14%	0.0%	0.0%	1.56%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	2	0	0	1	0	0	0	1	0	0	0					
		0.12%	0.0%	0.0%	0.72%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	2	1	0	0	1	0	0	0	0	0	1	2	1					
		0.24%	0.8%	0.33%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	1.56%	0.16%					
27	"10. ""Аграрная партия России"""	428	45	7	50	35	39	49	16	25	14	42	54	29	23					
		13.27%	18.0%	2.31%	18.05%	38.04%	16.04%	30.81%	8.55%	10.63%	5.36%	17.42%	24.10%	22.65%	3.68%					
28	"11. ""Истинные патриоты России"""	4	1	0	2	0	0	0	0	0	0	0	0	0	1					
		0.12%	0.4%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	54	4	3	4	0	3	0	8	10	1	1	2	3	15					
		1.67%	1.6%	0.99%	1.44%	0.0%	1.23%	0.0%	4.27%	4.25%	0.38%	0.41%	0.89%	2.34%	2.4%					
