Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Партизанская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №1315	УИК №1316					
1	"Число избирателей, внесенных в список"	19578	63	62	178	233	312	1069	1019	292	708	398	796	1509	1174	1088	475	1450	1471	1402	533	371	395	1394	891	269	362	612	497	555					
2	Число полученных избирательных бюллетеней	20480	70	70	200	300	400	1170	1150	330	790	430	820	1400	1300	990	420	1500	1500	1500	530	380	420	1500	950	260	400	620	510	570					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13334	61	50	145	159	225	753	708	236	499	183	529	1140	798	761	400	1040	950	768	375	226	259	937	593	141	273	397	338	390					
5	"Число избирательных бюллетеней, выданных вне помещения"	1427	0	8	8	44	57	112	99	30	121	89	22	12	103	120	13	36	78	50	22	49	22	82	64	48	53	25	45	15					
6	Число погашенных избирательных бюллетеней	5719	9	12	47	97	118	305	343	64	170	158	269	248	399	109	7	424	472	682	133	105	139	481	293	71	74	198	127	165					
7	Число избирательных бюллетеней в переносных ящиках	1427	0	8	8	44	57	112	99	30	121	89	22	12	103	120	13	36	78	50	22	49	22	82	64	48	53	25	45	15					
8	Число бюллетеней в стационарных ящиках для голосования	13330	61	50	145	159	225	753	708	236	499	183	529	1140	798	760	400	1037	950	768	375	226	259	937	593	141	273	397	338	390					
9	Число недействительных избирательных бюллетеней	157	0	1	3	3	8	16	10	5	13	3	4	5	12	5	1	15	9	10	3	0	4	12	5	1	3	5	1	0					
10	Число действительных избирательных бюллетеней	14600	61	57	150	200	274	849	797	261	607	269	547	1147	889	875	412	1058	1019	808	394	275	277	1007	652	188	323	417	382	405					
11	Число полученных открепительных  удостоверений	341	1	0	1	7	4	7	10	3	17	7	17	36	20	15	10	34	27	26	9	9	8	22	10	4	0	12	10	15					
12	Число выданных открепительных удостоверений	320	1	0	1	7	2	6	9	3	14	4	15	36	20	15	10	34	26	25	6	8	7	22	9	4	0	11	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	2	3	3	0	2	7	2	2	19	9	1	8	3	10	5	11	11	7	9	7	2	7	2	9	4	14	16	19					
14	Число неиспользованных открепительных удостоверений	21	0	0	0	0	2	1	1	0	3	3	2	0	0	0	0	0	1	1	3	1	1	0	1	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	620	5	0	3	13	11	55	37	14	30	6	19	27	35	29	16	59	36	45	22	14	15	38	15	6	9	15	21	25					
		4.20%	8.20%	0.00%	1.96%	6.40%	3.90%	6.36%	4.58%	5.26%	4.84%	2.21%	3.45%	2.34%	3.88%	3.30%	3.87%	5.50%	3.50%	5.50%	5.54%	5.09%	5.34%	3.73%	2.28%	3.17%	2.76%	3.55%	5.48%	6.17%					
19	. Малышкин Олег Александрович	746	2	7	3	8	12	47	34	11	33	7	27	38	45	54	21	49	54	66	13	5	26	39	34	18	14	25	26	28					
		5.06%	3.28%	12.07%	1.96%	3.94%	4.26%	5.43%	4.21%	4.14%	5.32%	2.57%	4.90%	3.30%	4.99%	6.14%	5.08%	4.57%	5.25%	8.07%	3.27%	1.82%	9.25%	3.83%	5.18%	9.52%	4.29%	5.92%	6.79%	6.91%					
