Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Новодеревеньковская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527					
1	"Число избирателей, внесенных в списки"	9968	1839	1758	273	256	341	481	376	153	239	267	245	487	329	469	202	201	570	421	246	287	230	298					
2	"Число бюллетеней, полученных участковыми комиссиями"	9808	1786	1715	257	248	322	482	353	154	239	258	245	473	330	469	201	196	566	423	264	287	231	309					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6748	1183	1112	154	163	246	259	320	98	160	246	206	323	305	264	159	128	341	352	163	207	200	159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	956	21	39	75	46	0	155	0	55	44	9	20	57	4	102	16	19	90	0	61	53	8	82					
6	Число погашенных бюллетеней	2104	582	564	28	39	76	68	33	1	35	3	19	93	21	103	26	49	135	71	40	27	23	68					
7	Число бюллетеней в переносных ящиках для голосования	955	21	39	75	46	0	155	0	55	44	9	20	57	4	102	16	19	90	0	61	53	8	81					
8	Число бюллетеней в стационарных ящиках для голосования	6746	1181	1112	154	163	246	259	320	98	160	246	206	323	305	264	159	128	341	352	163	207	200	159					
9	Число недействительных бюллетеней	96	11	27	0	4	5	5	2	2	0	0	0	2	8	3	9	2	9	2	0	0	1	4					
10	Число действительных бюллетеней	7605	1191	1124	229	205	241	409	318	151	204	255	226	378	301	363	166	145	422	350	224	260	207	236					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	36	34	5	5	7	10	7	3	5	5	5	10	7	9	4	4	12	9	5	6	5	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	35	15	12	0	0	0	2	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	12	5	1	0	4	0	1	1	0	3	1	2	0	2	0	0	1	0	1	1	0	0					
14	Число погашенных открепительных удостоверений	165	21	22	5	5	7	8	5	3	5	5	4	10	7	9	4	3	11	9	4	6	5	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	103	11	9	3	2	2	7	8	2	5	2	2	8	6	4	8	1	5	9	1	3	2	3					
		1.33%	0.91%	0.78%	1.31%	0.95%	0.81%	1.69%	2.5%	1.30%	2.45%	0.78%	0.88%	2.10%	1.94%	1.09%	4.57%	0.68%	1.16%	2.55%	0.44%	1.15%	0.96%	1.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	71	11	18	1	1	0	2	4	1	0	0	1	3	2	3	8	0	9	0	2	3	1	1					
		0.92%	0.91%	1.56%	0.43%	0.47%	0.0%	0.48%	1.25%	0.65%	0.0%	0.0%	0.44%	0.78%	0.64%	0.81%	4.57%	0.0%	2.08%	0.0%	0.89%	1.15%	0.48%	0.41%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	86	11	18	2	1	4	1	4	3	3	0	0	2	2	8	1	1	8	7	2	3	2	3					
		1.11%	0.91%	1.56%	0.87%	0.47%	1.62%	0.24%	1.25%	1.96%	1.47%	0.0%	0.0%	0.52%	0.64%	2.18%	0.57%	0.68%	1.85%	1.98%	0.89%	1.15%	0.96%	1.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	75	17	15	0	0	2	0	6	0	1	8	6	7	0	3	2	3	3	0	0	2	0	0					
		0.97%	1.41%	1.30%	0.0%	0.0%	0.81%	0.0%	1.87%	0.0%	0.49%	3.13%	2.65%	1.84%	0.0%	0.81%	1.14%	2.04%	0.69%	0.0%	0.0%	0.76%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	31	4	8	1	0	0	2	0	0	2	2	0	4	0	0	1	0	2	2	0	1	2	0					
		0.40%	0.33%	0.69%	0.43%	0.0%	0.0%	0.48%	0.0%	0.0%	0.98%	0.78%	0.0%	1.05%	0.0%	0.0%	0.57%	0.0%	0.46%	0.56%	0.0%	0.38%	0.96%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	2	3	1	1	2	2	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	0					
		0.22%	0.16%	0.26%	0.43%	0.47%	0.81%	0.48%	0.0%	0.0%	0.98%	0.39%	0.0%	0.26%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	30	7	9	0	1	0	1	0	2	0	3	0	1	0	1	0	3	0	0	1	0	0	1					
		0.38%	0.58%	0.78%	0.0%	0.47%	0.0%	0.24%	0.0%	1.30%	0.0%	1.17%	0.0%	0.26%	0.0%	0.27%	0.0%	2.04%	0.0%	0.0%	0.44%	0.0%	0.0%	0.41%					
