Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Суровикинская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581					
1	"Число избирателей, внесенных в списки избирателей"	25538	1847	2015	1727	1874	1627	1949	1903	1912	1698	195	782	77	90	271	446	209	75	548	85	114	386	117	484	314	100	713	173	359	456	946	572	455	90	93	464	293	79					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24215	1600	1600	1500	1600	1350	1600	1600	1600	1500	240	800	90	115	350	490	220	100	650	120	120	480	170	575	380	120	850	195	450	525	900	600	500	95	130	550	350	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15128	1046	976	940	1086	866	942	1077	1006	966	130	396	57	80	203	297	157	63	367	57	102	244	102	455	200	86	540	107	323	362	486	297	299	69	93	353	229	69					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1465	58	98	76	64	66	97	159	65	104	23	91	17	10	35	31	4	3	20	15	0	66	15	15	21	5	34	20	14	30	53	63	36	7	0	31	9	10					
6	Число погашенных избирательных бюллетеней	7619	496	526	484	450	418	561	364	526	430	87	313	16	25	112	162	59	34	263	48	18	170	53	105	159	29	276	68	113	133	361	240	165	19	37	166	112	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1465	58	98	76	64	66	97	159	65	104	23	91	17	10	35	31	4	3	20	15	0	66	15	15	21	5	34	20	14	30	53	63	36	7	0	31	9	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15125	1046	976	940	1086	866	942	1077	1003	966	130	396	57	80	203	297	157	63	367	57	102	244	102	455	200	86	540	107	323	362	486	297	299	69	93	353	229	69					
9	Число недействительных избирательных бюллетеней	87	8	7	8	6	2	6	6	4	6	1	2	0	1	1	1	0	0	6	0	2	3	0	2	2	0	4	2	2	1	0	1	0	0	1	0	2	0					
10	Число действительных избирательных бюллетеней	16503	1096	1067	1008	1144	930	1033	1230	1064	1064	152	485	74	89	237	327	161	66	381	72	100	307	117	468	219	91	570	125	335	391	539	359	335	76	92	384	236	79					
