Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Отрадненская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850	УИК №3851									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47385	2310	2896	2258	1860	2018	2381	1981	2206	1008	164	422	434	123	1179	1172	1216	1206	473	190	291	1010	431	914	728	213	379	1400	1072	328	656	790	1195	1291	114	108	202	393	1606	1146	162	830	2188	894	315	252	749	251	977	425	393	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42975	2000	2500	2250	1835	2000	2000	1700	2000	1000	150	400	400	100	1000	1000	1000	1000	450	170	250	1000	400	900	700	200	300	1200	1000	300	600	700	1000	1200	100	100	200	350	1500	1000	150	800	2000	800	300	220	700	200	900	400	400	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17425	450	763	803	679	685	737	601	505	344	84	152	160	72	352	361	339	388	242	114	150	610	142	327	221	133	87	422	467	274	283	335	525	510	92	36	76	200	810	540	83	259	841	703	78	75	354	111	403	162	201	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2687	99	56	56	61	41	27	64	50	43	28	26	59	12	50	49	92	35	22	7	15	127	74	80	122	20	76	59	39	8	47	77	74	56	0	23	43	49	125	82	23	54	79	45	71	75	68	32	73	46	24	24									
6	Число погашенных избирательных бюллетеней	22863	1451	1681	1391	1095	1274	1236	1035	1445	613	38	222	181	16	598	590	569	577	186	49	85	263	184	493	357	47	137	719	494	18	270	288	401	634	8	41	81	101	565	378	44	487	1080	52	151	70	278	57	424	192	175	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2687	99	56	56	61	41	27	64	50	43	28	26	59	12	50	49	92	35	22	7	15	127	74	80	122	20	76	59	39	8	47	77	74	56	0	23	43	49	125	82	23	54	79	45	71	75	68	32	73	46	24	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17424	450	763	803	679	685	737	601	505	344	84	152	160	72	352	361	338	388	242	114	150	610	142	327	221	133	87	422	467	274	283	335	525	510	92	36	76	200	810	540	83	259	841	703	78	75	354	111	403	162	201	84									
9	Число недействительных избирательных бюллетеней	273	13	15	9	10	14	8	8	11	10	0	9	4	2	1	4	0	0	1	1	0	5	5	3	1	0	0	10	6	0	2	14	11	15	0	0	3	0	20	12	1	9	22	0	0	2	4	1	6	0	1	0									
10	Число действительных избирательных бюллетеней	19838	536	804	850	730	712	756	657	544	377	112	169	215	82	401	406	430	423	263	120	165	732	211	404	342	153	163	471	500	282	328	398	588	551	92	59	116	249	915	610	105	304	898	748	149	148	418	142	470	208	224	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	850	40	40	35	25	30	35	25	40	15	10	10	10	10	20	20	20	20	10	10	10	15	10	15	10	10	10	20	15	10	10	15	20	20	10	10	10	10	20	15	10	15	30	15	10	10	15	10	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	337	13	10	25	20	12	16	10	10	6	2	2	0	0	4	4	5	5	5	0	6	5	4	3	1	2	2	20	3	1	4	8	6	14	0	3	10	0	11	12	9	10	10	15	10	0	6	0	3	0	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	200	2	6	14	11	7	6	4	5	5	1	3	1	2	7	1	5	1	2	3	0	3	3	2	4	0	4	7	0	1	6	2	2	7	17	0	4	2	8	8	6	3	7	0	2	2	1	2	1	6	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	513	27	30	10	5	18	19	15	30	9	8	8	10	10	16	16	15	15	5	10	4	10	6	12	9	8	8	0	12	9	6	7	14	6	10	7	0	10	9	3	1	5	20	0	0	10	9	10	12	10	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	2	2	3	0	8	3	7	1	0	0	0	1	0	1	0	1	0	2	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	3	3	1	0	0	1	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	266	5	13	17	16	11	12	15	12	8	2	2	0	1	5	6	8	5	4	5	2	8	2	5	4	1	3	3	4	0	2	0	8	5	3	1	1	0	18	7	2	1	15	4	1	1	3	0	6	4	2	3									
		1.32%	0.91%	1.59%	1.98%	2.16%	1.52%	1.57%	2.26%	2.16%	2.07%	1.79%	1.12%	0.00%	1.19%	1.24%	1.46%	1.86%	1.18%	1.52%	4.13%	1.21%	1.09%	0.93%	1.23%	1.17%	0.65%	1.84%	0.62%	0.79%	0.00%	0.61%	0.00%	1.34%	0.88%	3.26%	1.69%	0.84%	0.00%	1.93%	1.13%	1.89%	0.32%	1.63%	0.53%	0.67%	0.67%	0.71%	0.00%	1.26%	1.92%	0.89%	2.78%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	562	23	28	25	22	18	22	19	22	27	2	4	4	3	22	20	11	12	4	1	4	18	3	8	5	1	2	18	2	2	11	10	18	25	1	2	5	7	29	20	0	6	35	10	1	2	4	2	12	4	5	1									
		2.79%	4.19%	3.42%	2.91%	2.97%	2.48%	2.88%	2.86%	3.96%	6.98%	1.79%	2.25%	1.83%	3.57%	5.47%	4.88%	2.56%	2.84%	1.52%	0.83%	2.42%	2.44%	1.39%	1.97%	1.46%	0.65%	1.23%	3.74%	0.40%	0.71%	3.33%	2.43%	3.01%	4.42%	1.09%	3.39%	4.20%	2.81%	3.10%	3.22%	0.00%	1.92%	3.80%	1.34%	0.67%	1.33%	0.95%	1.40%	2.52%	1.92%	2.22%	0.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	353	10	17	6	12	18	25	5	17	3	1	2	1	0	7	7	12	5	4	0	0	14	2	1	3	1	1	15	2	0	6	4	15	14	2	2	1	3	9	8	1	5	20	40	0	0	11	0	5	5	8	3									
		1.76%	1.82%	2.08%	0.70%	1.62%	2.48%	3.27%	0.75%	3.06%	0.78%	0.89%	1.12%	0.46%	0.00%	1.74%	1.71%	2.79%	1.18%	1.52%	0.00%	0.00%	1.90%	0.93%	0.25%	0.87%	0.65%	0.61%	3.12%	0.40%	0.00%	1.82%	0.97%	2.50%	2.47%	2.17%	3.39%	0.84%	1.20%	0.96%	1.29%	0.94%	1.60%	2.17%	5.35%	0.00%	0.00%	2.61%	0.00%	1.05%	2.40%	3.56%	2.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10593	229	326	445	345	346	347	310	274	181	72	113	157	42	190	190	202	226	128	102	119	550	132	208	203	118	106	219	363	215	173	179	273	227	22	29	65	144	395	260	64	167	516	425	88	105	245	99	336	124	141	58									
		52.67%	41.71%	39.80%	51.80%	46.62%	47.66%	45.42%	46.62%	49.37%	46.77%	64.29%	63.48%	71.69%	50.00%	47.26%	46.34%	46.98%	53.43%	48.48%	84.30%	72.12%	74.63%	61.11%	51.11%	59.18%	77.12%	65.03%	45.53%	71.74%	76.24%	52.42%	43.45%	45.58%	40.11%	23.91%	49.15%	54.62%	57.83%	42.25%	41.80%	60.38%	53.35%	56.09%	56.82%	59.06%	70.00%	58.06%	69.23%	70.59%	59.62%	62.67%	53.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	101	2	4	11	10	3	6	7	2	5	1	1	0	0	1	0	4	0	1	0	0	2	0	2	2	1	0	4	1	0	0	3	1	5	1	0	1	2	1	2	1	1	1	1	0	0	4	0	3	2	1	1									
		0.50%	0.36%	0.49%	1.28%	1.35%	0.41%	0.79%	1.05%	0.36%	1.29%	0.89%	0.56%	0.00%	0.00%	0.25%	0.00%	0.93%	0.00%	0.38%	0.00%	0.00%	0.27%	0.00%	0.49%	0.58%	0.65%	0.00%	0.83%	0.20%	0.00%	0.00%	0.73%	0.17%	0.88%	1.09%	0.00%	0.84%	0.80%	0.11%	0.32%	0.94%	0.32%	0.11%	0.13%	0.00%	0.00%	0.95%	0.00%	0.63%	0.96%	0.44%	0.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	2	1	0	1	0	4	0	0	2	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	3	2	1	1	1	3	0	0	1	1	0	3	0	0									
		0.19%	0.36%	0.12%	0.00%	0.14%	0.00%	0.52%	0.00%	0.00%	0.52%	0.00%	0.56%	0.00%	0.00%	0.25%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.61%	0.62%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.32%	0.94%	0.32%	0.11%	0.40%	0.00%	0.00%	0.24%	0.70%	0.00%	1.44%	0.00%	0.00%									
