Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Нижнеилимская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049					
1	"Число избирателей, внесенных в список избирателей"	46119	1996	817	2284	2254	2208	2342	2356	1491	2295	931	1964	110	511	486	352	885	574	1060	56	544	46	775	783	109	523	62	463	1067	908	140	478	324	1958	1203	860	976	706	730	2090	2173	2067	2162					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37578	1600	650	1850	1850	1850	1900	1900	1100	1900	750	1600	108	400	400	300	750	450	850	59	450	43	650	600	112	400	61	350	900	750	145	400	250	1600	1000	750	750	600	600	1700	1750	1700	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18605	744	324	757	830	978	947	1190	643	1124	489	906	62	174	180	160	469	286	411	36	233	36	320	316	36	194	36	195	345	240	70	126	94	669	420	411	453	254	371	726	747	720	883					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1216	37	15	20	40	118	24	33	76	49	11	18	5	14	16	7	12	33	42	0	33	0	75	39	31	33	0	29	45	52	6	8	18	49	45	23	12	8	19	40	27	23	31					
6	Число погашенных избирательных бюллетеней	17757	819	311	1073	980	754	929	677	381	727	250	676	41	212	204	133	269	131	397	23	184	7	255	245	45	173	25	126	510	458	69	266	138	882	535	316	285	338	210	934	976	957	836					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1216	37	15	20	40	118	24	33	76	49	11	18	5	14	16	7	12	33	42	0	33	0	75	39	31	33	0	29	45	52	6	8	18	49	45	23	12	8	19	40	27	23	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18604	744	324	757	830	978	947	1190	643	1124	489	906	62	174	180	160	469	286	411	36	233	36	320	316	36	194	36	195	345	240	70	126	94	669	420	411	453	254	371	726	747	720	882					
9	Число недействительных избирательных бюллетеней	322	16	9	17	13	13	22	24	9	16	4	17	1	2	5	2	9	5	9	0	1	0	9	4	5	1	0	1	5	6	6	1	4	10	8	7	8	9	5	13	6	17	3					
10	Число действительных избирательных бюллетеней	19498	765	330	760	857	1083	949	1199	710	1157	496	907	66	186	191	165	472	314	444	36	265	36	386	351	62	226	36	223	385	286	70	133	108	708	457	427	457	253	385	753	768	726	910					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	772	24	21	32	39	39	39	32	22	57	17	31	5	10	8	7	13	9	16	4	14	4	13	11	4	8	3	7	16	14	4	7	5	30	21	18	15	12	11	34	25	27	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	473	20	2	18	21	32	39	23	15	55	13	31	0	1	8	1	13	3	3	0	14	0	13	3	0	1	0	0	9	7	4	4	5	16	13	18	8	5	5	11	25	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	283	20	14	10	4	17	14	8	70	17	6	18	4	3	2	1	2	1	6	0	2	5	3	3	0	5	1	2	1	5	2	1	2	6	1	3	3	2	3	5	4	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	299	4	19	14	18	7	0	9	7	2	4	0	5	9	0	6	0	6	13	4	0	4	0	8	4	7	3	7	7	7	0	3	0	14	8	0	7	7	6	23	0	19	38					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	2	0	0	3	1	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
