Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Отрадненская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850	УИК №3851					
1	"Число избирателей, внесенных в списки избирателей"	49119	2142	2854	2429	2145	2245	2144	1871	2356	988	143	415	485	192	1284	1280	1210	1065	516	150	365	1028	446	761	688	210	605	1382	1070	301	692	709	1242	1401	157	128	236	463	1779	1213	198	950	1815	1234	336	258	921	316	1132	469	504	196					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48282	1975	2703	2442	2005	2245	2121	1900	2355	975	138	415	483	193	1304	1214	1159	1064	519	144	370	1013	458	720	676	209	601	1355	1071	314	702	701	1252	1391	155	129	233	474	1730	1190	191	920	1778	1213	304	270	909	312	1114	467	502	204					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25231	990	1242	1128	1006	1026	969	985	905	663	77	277	276	120	796	707	534	506	302	89	165	500	214	549	380	154	248	858	553	137	413	402	652	766	108	70	118	291	826	571	104	460	1084	682	151	145	516	136	659	283	304	134					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2750	35	62	51	194	66	34	126	74	25	18	43	25	20	39	108	123	61	16	6	28	145	83	33	23	0	132	41	114	69	32	20	32	76	0	32	31	18	186	111	28	26	29	30	28	36	61	41	56	25	58	0					
6	Число погашенных избирательных бюллетеней	20301	950	1399	1263	805	1153	1118	789	1376	287	43	95	182	53	469	399	502	497	201	49	177	368	161	138	273	55	221	456	404	108	257	279	568	549	47	27	84	165	718	508	59	434	665	501	125	89	332	135	399	159	140	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2750	35	62	51	194	66	34	126	74	25	18	43	25	20	39	108	123	61	16	6	28	145	83	33	23	0	132	41	114	69	32	20	32	76	0	32	31	18	186	111	28	26	29	30	28	36	61	41	56	25	58	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25225	990	1242	1128	1006	1026	969	985	904	663	77	277	276	120	793	707	532	506	302	89	165	500	214	549	380	154	248	858	553	137	413	402	652	766	108	70	118	291	826	571	104	460	1084	682	151	145	516	136	659	283	304	134					
9	Число недействительных избирательных бюллетеней	519	28	17	10	22	14	10	22	19	19	0	8	8	0	9	12	10	2	20	3	10	12	2	14	6	1	0	18	7	7	12	18	11	8	0	2	2	2	12	19	4	20	31	23	8	2	4	7	13	1	10	0					
10	Число действительных избирательных бюллетеней	27456	997	1287	1169	1178	1078	993	1089	959	669	95	312	293	140	823	803	645	565	298	92	183	633	295	568	397	153	380	881	660	199	433	404	673	834	108	100	147	307	1000	663	128	466	1082	689	171	179	573	170	702	307	352	134					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	690	18	30	30	30	30	30	18	30	8	7	7	7	7	18	18	18	18	8	7	7	18	7	18	8	7	7	18	18	7	8	8	18	18	7	7	7	7	18	18	7	8	18	18	7	7	8	7	18	7	8	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	193	9	14	18	20	11	2	7	2	0	0	7	3	0	8	1	3	2	1	0	0	5	6	5	2	0	2	0	2	0	1	2	10	14	1	0	0	1	7	5	0	3	12	1	0	0	0	0	2	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	102	0	2	7	14	3	1	3	2	3	3	2	2	0	2	4	1	2	0	2	1	1	2	1	3	0	1	3	0	2	1	0	2	4	1	2	1	0	2	3	1	0	2	2	1	1	1	2	6	0	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	497	9	16	12	10	19	28	11	28	8	7	0	4	7	10	17	15	16	7	7	7	13	1	13	6	7	5	18	16	7	7	6	8	4	6	7	7	6	11	13	7	5	6	17	7	7	8	7	16	5	6	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	1.Политическая партия «Аграрная партия России»	602	3	24	14	17	18	38	26	22	18	3	3	10	5	16	34	20	11	8	2	3	10	5	19	10	1	7	33	12	0	8	12	10	10	1	0	1	5	30	9	5	10	23	11	6	3	12	4	20	15	13	2					
		2.15%	0.29%	1.84%	1.19%	1.42%	1.65%	3.79%	2.34%	2.25%	2.62%	3.16%	0.94%	3.32%	3.57%	1.92%	4.17%	3.05%	1.94%	2.52%	2.11%	1.55%	1.55%	1.68%	3.26%	2.48%	0.65%	1.84%	3.67%	1.80%	0.00%	1.80%	2.84%	1.46%	1.19%	0.93%	0.00%	0.67%	1.62%	2.96%	1.32%	3.79%	2.06%	2.07%	1.54%	3.35%	1.66%	2.08%	2.26%	2.80%	4.87%	3.59%	1.49%					
19	2.Всероссийская политическая партия «Гражданская Сила»	105	0	9	4	7	3	6	7	1	4	0	0	2	0	8	3	3	4	0	0	0	3	0	0	1	0	0	7	3	0	1	0	4	0	1	0	0	0	9	0	3	2	3	2	1	0	0	0	3	0	1	0					
		0.38%	0.00%	0.69%	0.34%	0.58%	0.27%	0.60%	0.63%	0.10%	0.58%	0.00%	0.00%	0.66%	0.00%	0.96%	0.37%	0.46%	0.71%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.25%	0.00%	0.00%	0.78%	0.45%	0.00%	0.22%	0.00%	0.58%	0.00%	0.93%	0.00%	0.00%	0.00%	0.89%	0.00%	2.27%	0.41%	0.27%	0.28%	0.56%	0.00%	0.00%	0.00%	0.42%	0.00%	0.28%	0.00%					
20	3.Политическая партия «Демократическая партия России»	29	0	1	1	2	1	1	1	1	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	1	0	1	0	1	0	0	0	1	0	0	0	2	0	2	0	0					
		0.10%	0.00%	0.08%	0.08%	0.17%	0.09%	0.10%	0.09%	0.10%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.15%	0.35%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.71%	0.00%	0.24%	0.93%	0.98%	0.00%	0.32%	0.00%	0.15%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	1.13%	0.00%	0.65%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3854	154	251	182	213	182	138	107	103	86	2	41	81	26	104	94	71	74	46	11	29	41	38	84	62	26	27	106	76	22	42	61	125	175	34	11	20	54	136	71	16	54	216	70	25	3	71	13	87	35	39	19					
		13.78%	15.02%	19.25%	15.44%	17.75%	16.67%	13.76%	9.63%	10.53%	12.50%	2.11%	12.81%	26.91%	18.57%	12.50%	11.53%	10.84%	13.05%	14.47%	11.58%	15.03%	6.36%	12.79%	14.43%	15.38%	16.88%	7.11%	11.79%	11.39%	10.68%	9.44%	14.45%	18.27%	20.78%	31.48%	10.78%	13.42%	17.48%	13.44%	10.41%	12.12%	11.11%	19.41%	9.83%	13.97%	1.66%	12.31%	7.34%	12.17%	11.36%	10.77%	14.18%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	31	2	3	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	2	3	0	1	0	0	0	0	0	1	0					
		0.11%	0.20%	0.23%	0.42%	0.25%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.16%	0.67%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.47%	0.15%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.41%	0.27%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	36	0	4	1	1	1	2	2	0	0	2	1	0	0	1	0	1	0	3	0	0	1	0	1	0	0	1	2	0	0	0	0	1	2	2	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0					
		0.13%	0.00%	0.31%	0.08%	0.08%	0.09%	0.20%	0.18%	0.00%	0.00%	2.11%	0.31%	0.00%	0.00%	0.12%	0.00%	0.15%	0.00%	0.94%	0.00%	0.00%	0.16%	0.00%	0.17%	0.00%	0.00%	0.26%	0.22%	0.00%	0.00%	0.00%	0.00%	0.15%	0.24%	1.85%	0.98%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.09%	0.14%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%					
