Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Заинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  1471	УИК  1472	УИК  1473	УИК  1474	УИК  1475	УИК  1476	УИК  1477	УИК  1478	УИК  1479	УИК  1480	УИК  1481	УИК  1482	УИК  1483	УИК  1484	УИК  1485	УИК  1486	УИК  1487	УИК  1488	УИК  1489	УИК  1490	УИК  1491	УИК  1492	УИК  1493	УИК  1494	УИК  1495	УИК  1496	УИК  1497	УИК  1498	УИК  1499	УИК  1500	УИК  1501	УИК  1502	УИК  1503	УИК  1504	УИК  1505	УИК  1506	УИК  1507	УИК  1508	УИК  1509					
1	"Число избирателей, внесенных в списки"	11290	306	114	172	142	146	247	157	84	266	318	264	187	152	165	363	112	696	223	573	297	351	364	362	566	581	314	283	744	259	216	91	307	359	427	226	270	148	140	298					
2	"Число бюллетеней, полученных участковыми комиссиями"	11267	303	114	172	142	146	248	157	84	267	318	265	184	155	165	362	112	699	223	575	296	350	362	363	572	581	314	282	731	257	221	90	307	357	428	218	263	148	138	298					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10579	303	104	164	142	146	227	143	84	219	224	257	184	152	165	348	107	653	210	555	284	347	310	348	544	570	314	282	683	257	173	81	276	353	358	209	245	148	129	281					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	308	0	10	0	0	0	20	12	0	28	48	0	0	0	0	12	5	9	6	10	9	0	23	8	10	10	0	0	15	0	41	9	0	0	0	1	5	0	0	17					
6	Число погашенных бюллетеней	380	0	0	8	0	0	1	2	0	20	46	8	0	3	0	2	0	37	7	10	3	3	29	7	18	1	0	0	33	0	7	0	31	4	70	8	13	0	9	0					
7	Число бюллетеней в переносных ящиках для голосования	308	0	10	0	0	0	20	12	0	28	48	0	0	0	0	12	5	9	6	10	9	0	23	8	10	10	0	0	15	0	41	9	0	0	0	1	5	0	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	10579	303	104	164	142	146	227	143	84	219	224	257	184	152	165	348	107	653	210	555	284	347	310	348	544	570	314	282	683	257	173	81	276	353	358	209	245	148	129	281					
9	Число недействительных бюллетеней	40	0	0	0	0	0	0	0	0	3	4	3	0	0	0	0	0	6	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2	3	0	3	1	1	0	10					
10	Число действительных бюллетеней	10847	303	114	164	142	146	247	155	84	244	268	254	184	152	165	360	112	656	216	565	292	347	333	356	552	580	314	282	698	257	214	89	274	350	358	207	249	147	129	288					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	2	0	5	1	5	0	3	1	0	0	1	0	0	2	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	2	1	0	0	0	0	0	0	0	2	2	3	1	1	2	3	3	2	0	4	2	3	2	6	2	0	3	12	3	3	1	1	5	0	6	5	0	3	4					
14	Число погашенных открепительных удостоверений	320	8	9	9	9	9	9	9	9	9	9	7	9	6	9	9	9	7	9	9	7	9	4	8	4	9	6	8	9	9	8	9	9	7	8	8	9	9	8	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	17	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	1.55%	0.54%	0.0%	0.0%	0.0%	0.0%	0.60%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.95%	0.4%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	18	0	0	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	2	0	0	0					
		0.16%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.38%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	2.54%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0					
