Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Куйбышевская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11217	175	1631	429	2198	413	197	193	305	475	676	279	201	371	496	165	175	465	154	377	179	851	146	666									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	150	1300	350	1700	300	150	150	250	350	650	200	150	300	400	150	150	450	150	350	150	800	150	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4376	64	635	185	817	157	70	78	131	237	294	88	91	128	172	62	71	220	72	159	58	325	59	203									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	348	0	13	5	28	6	15	5	8	22	27	18	18	18	20	4	14	19	5	20	13	29	6	35									
6	Число погашенных избирательных бюллетеней	4576	86	652	160	855	137	65	67	111	91	329	94	41	154	208	84	65	211	73	171	79	446	85	312									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	348	0	13	5	28	6	15	5	8	22	27	18	18	18	20	4	14	19	5	20	13	29	6	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4376	64	635	185	817	157	70	78	131	237	294	88	91	128	172	62	71	220	72	159	58	325	59	203									
9	Число недействительных избирательных бюллетеней	104	1	14	6	14	3	1	2	1	15	3	1	2	4	2	2	1	3	4	8	0	7	2	8									
10	Число действительных избирательных бюллетеней	4620	63	634	184	831	160	84	81	138	244	318	105	107	142	190	64	84	236	73	171	71	347	63	230									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	5	25	10	25	10	5	5	10	10	10	10	5	10	10	5	5	10	5	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	0	4	5	10	6	0	2	4	4	1	2	4	0	0	0	1	4	1	2	1	11	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	2	5	0	2	1	1	3	0	0	0	0	0	2	0	0	3	1	2	2	5	4	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	167	5	21	5	15	4	5	3	6	6	9	8	1	10	10	5	4	6	4	8	9	9	7	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	3	0	2	3	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	0	13	2	9	3	2	1	0	2	2	0	1	2	2	0	0	0	0	0	2	7	4	5									
		1.21%	0.00%	2.01%	1.05%	1.07%	1.84%	2.35%	1.20%	0.00%	0.77%	0.62%	0.00%	0.92%	1.37%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	2.82%	1.98%	6.15%	2.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	168	0	15	7	23	9	4	2	4	4	16	6	3	7	15	6	4	10	3	5	1	11	2	11									
