Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Свердловская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13122	991	995	1301	1387	933	408	567	220	193	322	231	628	379	510	483	317	348	210	224	246	219	581	252	323	854									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12160	950	950	1250	1250	900	400	500	200	180	300	200	600	300	500	450	300	300	200	200	210	200	500	210	300	810									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6035	475	415	641	643	385	197	229	82	105	183	102	294	121	155	270	154	150	113	123	109	90	347	116	145	391									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1448	29	62	61	44	133	55	118	65	28	35	53	76	99	148	55	34	33	25	22	45	30	45	59	30	64									
6	Число погашенных избирательных бюллетеней	4677	446	473	548	563	382	148	153	53	47	82	45	230	80	197	125	112	117	62	55	56	80	108	35	125	355									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1448	29	62	61	44	133	55	118	65	28	35	53	76	99	148	55	34	33	25	22	45	30	45	59	30	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6035	475	415	641	643	385	197	229	82	105	183	102	294	121	155	270	154	150	113	123	109	90	347	116	145	391									
9	Число недействительных избирательных бюллетеней	147	25	16	2	11	0	14	7	0	4	3	3	3	1	5	5	4	1	1	3	6	2	6	1	4	20									
10	Число действительных избирательных бюллетеней	7336	479	461	700	676	518	238	340	147	129	215	152	367	219	298	320	184	182	137	142	148	118	386	174	171	435									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	257	30	30	30	30	10	10	5	5	5	13	6	5	3	5	9	13	5	5	5	8	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	9	7	16	7	4	2	1	0	1	11	5	3	1	1	7	12	0	0	5	8	1	5	1	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	4	3	4	3	2	2	1	1	2	1	2	3	0	4	0	1	3	0	1	2	0	3	0	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	142	21	23	14	23	6	8	4	5	4	2	1	2	2	4	2	1	5	5	0	0	4	0	4	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	1	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	7	3	8	9	4	1	2	0	1	1	0	5	0	2	2	4	4	0	1	1	1	3	0	2	3									
		0.86%	1.39%	0.63%	1.14%	1.31%	0.77%	0.40%	0.58%	0.00%	0.75%	0.46%	0.00%	1.35%	0.00%	0.66%	0.62%	2.13%	2.19%	0.00%	0.69%	0.65%	0.83%	0.77%	0.00%	1.14%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	222	21	2	5	28	18	0	8	1	6	2	7	16	6	15	7	2	4	7	5	6	4	13	9	13	17									
		2.97%	4.17%	0.42%	0.71%	4.08%	3.47%	0.00%	2.31%	0.68%	4.51%	0.92%	4.52%	4.32%	2.73%	4.95%	2.15%	1.06%	2.19%	5.07%	3.45%	3.90%	3.33%	3.32%	5.14%	7.43%	3.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	6	9	6	16	9	11	10	1	0	1	6	9	0	5	3	0	2	2	1	2	3	5	0	3	6									
		1.55%	1.19%	1.89%	0.85%	2.33%	1.74%	4.37%	2.88%	0.68%	0.00%	0.46%	3.87%	2.43%	0.00%	1.65%	0.92%	0.00%	1.09%	1.45%	0.69%	1.30%	2.50%	1.28%	0.00%	1.71%	1.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3722	198	195	261	330	291	160	182	107	90	134	98	200	123	171	180	77	85	53	80	70	70	218	88	78	183									
		49.74%	39.29%	40.88%	37.18%	48.03%	56.18%	63.49%	52.45%	72.79%	67.67%	61.47%	63.23%	54.05%	55.91%	56.44%	55.38%	40.96%	46.45%	38.41%	55.17%	45.45%	58.33%	55.61%	50.29%	44.57%	40.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	5	1	4	6	0	1	3	0	1	0	1	3	1	1	2	1	0	0	2	0	0	2	2	0	2									
		0.51%	0.99%	0.21%	0.57%	0.87%	0.00%	0.40%	0.86%	0.00%	0.75%	0.00%	0.65%	0.81%	0.45%	0.33%	0.62%	0.53%	0.00%	0.00%	1.38%	0.00%	0.00%	0.51%	1.14%	0.00%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	1	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	0	1	0	1	2	1									
		0.19%	0.20%	0.21%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.45%	0.00%	0.31%	0.00%	0.55%	0.00%	0.69%	0.00%	0.83%	0.00%	0.57%	1.14%	0.22%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1368	81	82	119	135	93	38	68	14	18	41	21	58	37	60	82	42	50	17	24	41	22	79	38	17	91									
