Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Тюльганская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748					
1	"Число избирателей, внесенных в список избирателей"	17763	2704	2406	2700	318	991	86	363	205	852	539	118	636	207	501	534	299	366	367	122	104	464	159	408	629	306	235	482	662					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17859	2690	2430	2740	325	1000	87	365	210	855	550	117	635	210	495	545	300	365	365	120	105	470	160	400	640	310	230	480	660					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8745	1353	1072	1259	141	421	60	196	99	399	280	70	319	102	264	246	191	243	229	71	56	254	75	188	329	129	111	248	340					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	970	112	34	35	40	82	0	30	35	47	18	4	43	31	21	43	25	15	17	7	6	22	30	46	39	34	31	76	47					
6	Число погашенных избирательных бюллетеней	8144	1225	1324	1446	144	497	27	139	76	409	252	43	273	77	210	256	84	107	119	42	43	194	55	166	272	147	88	156	273					
7	Число избирательных бюллетеней в переносных ящиках для голосования	970	112	34	35	40	82	0	30	35	47	18	4	43	31	21	43	25	15	17	7	6	22	30	46	39	34	31	76	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8745	1353	1072	1259	141	421	60	196	99	399	280	70	319	102	264	246	191	243	229	71	56	254	75	188	329	129	111	248	340					
9	Число недействительных избирательных бюллетеней	99	18	9	10	3	11	0	0	5	2	7	0	3	0	4	2	2	1	1	0	0	5	1	0	4	4	1	3	3					
10	Число действительных избирательных бюллетеней	9616	1447	1097	1284	178	492	60	226	129	444	291	74	359	133	281	287	214	257	245	78	62	271	104	234	364	159	141	321	384					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	193	25	20	30	6	5	1	10	6	16	7	1	4	1	4	6	2	4	4	2	3	6	3	2	10	3	1	6	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	176	24	18	30	6	3	1	8	6	16	7	0	4	1	4	6	0	0	4	2	2	6	3	0	10	3	1	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	8	12	14	4	5	1	2	1	1	1	2	3	1	2	0	0	3	1	2	1	2	1	3	1	1	1	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	17	1	2	0	0	2	0	2	0	0	0	1	0	0	0	0	2	4	0	0	1	0	0	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1349	228	171	185	41	45	17	40	9	63	38	14	50	19	36	33	28	38	25	14	2	32	5	34	64	21	22	29	46					
		13.89%	15.56%	15.46%	14.30%	22.65%	8.95%	28.33%	17.70%	6.72%	14.13%	12.75%	18.92%	13.81%	14.29%	12.63%	11.42%	12.96%	14.73%	10.16%	17.95%	3.23%	11.59%	4.76%	14.53%	17.39%	12.88%	15.49%	8.95%	11.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1341	186	167	197	20	83	13	44	12	59	31	10	41	19	32	31	19	15	27	3	5	60	37	36	44	15	24	63	48					
		13.80%	12.70%	15.10%	15.22%	11.05%	16.50%	21.67%	19.47%	8.96%	13.23%	10.40%	13.51%	11.33%	14.29%	11.23%	10.73%	8.80%	5.81%	10.98%	3.85%	8.06%	21.74%	35.24%	15.38%	11.96%	9.20%	16.90%	19.44%	12.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	11	13	18	2	3	0	1	0	4	2	0	2	1	4	1	1	1	5	0	3	3	1	1	6	0	2	2	1					
		0.91%	0.75%	1.18%	1.39%	1.10%	0.60%	0.00%	0.44%	0.00%	0.90%	0.67%	0.00%	0.55%	0.75%	1.40%	0.35%	0.46%	0.39%	2.03%	0.00%	4.84%	1.09%	0.95%	0.43%	1.63%	0.00%	1.41%	0.62%	0.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3097	550	367	500	29	135	12	48	61	132	120	22	80	41	71	102	68	89	45	20	17	71	12	70	93	78	40	83	141					
		31.88%	37.54%	33.18%	38.64%	16.02%	26.84%	20.00%	21.24%	45.52%	29.60%	40.27%	29.73%	22.10%	30.83%	24.91%	35.29%	31.48%	34.50%	18.29%	25.64%	27.42%	25.72%	11.43%	29.91%	25.27%	47.85%	28.17%	25.62%	36.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	133	36	18	20	0	6	0	1	0	7	1	0	3	0	2	5	2	2	4	0	2	2	5	3	1	0	1	6	6					
		1.37%	2.46%	1.63%	1.55%	0.00%	1.19%	0.00%	0.44%	0.00%	1.57%	0.34%	0.00%	0.83%	0.00%	0.70%	1.73%	0.93%	0.78%	1.63%	0.00%	3.23%	0.72%	4.76%	1.28%	0.27%	0.00%	0.70%	1.85%	1.55%					
