Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Бирская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45201	1660	1704	2834	1647	1747	1611	1596	2797	1620	1692	1639	1841	1563	1559	1581	1753	1600	1965	668	623	430	324	252	380	360	895	392	961	300	355	363	171	463	718	157	693	965	690	335	606	441	409	424	417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43785	1600	1650	2765	1550	1700	1550	1550	2650	1600	1650	1600	1750	1400	1500	1500	1700	1550	1900	650	660	415	315	250	360	350	870	385	950	290	340	350	165	450	700	150	680	1000	680	320	645	430	395	410	410									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25986	382	729	1818	634	612	1108	1206	933	1113	1167	471	1318	1095	1021	597	819	746	1324	451	410	287	165	161	327	297	319	223	766	240	211	298	148	355	487	79	527	839	473	265	241	380	269	351	324									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1669	14	10	36	102	6	8	10	79	19	18	7	30	88	19	81	17	5	16	63	10	23	62	45	26	38	75	21	47	45	42	32	7	84	34	40	49	66	72	33	48	9	73	12	48									
6	Число погашенных избирательных бюллетеней	16130	1204	911	911	814	1082	434	334	1638	468	465	1122	402	217	460	822	864	799	560	136	240	105	88	44	7	15	476	141	137	5	87	20	10	11	179	31	104	95	135	22	356	41	53	47	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1669	14	10	36	102	6	8	10	79	19	18	7	30	88	19	81	17	5	16	63	10	23	62	45	26	38	75	21	47	45	42	32	7	84	34	40	49	66	72	33	48	9	73	12	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25983	382	729	1818	634	612	1108	1206	933	1113	1167	471	1318	1095	1021	597	819	746	1324	451	410	287	165	161	327	297	319	223	765	240	211	298	148	355	487	79	527	837	473	265	241	380	269	351	324									
9	Число недействительных избирательных бюллетеней	313	7	7	0	7	12	0	4	21	0	1	17	25	0	6	9	17	3	18	20	6	0	9	2	4	0	33	7	0	2	13	0	7	0	6	0	4	3	4	0	7	16	0	6	10									
10	Число действительных избирательных бюллетеней	27339	389	732	1854	729	606	1116	1212	991	1132	1184	461	1323	1183	1034	669	819	748	1322	494	414	310	218	204	349	335	361	237	812	283	240	330	148	439	515	119	572	900	541	298	282	373	342	357	362									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	339	8	5	10	10	10	10	5	10	10	11	5	5	8	10	10	15	10	5	5	15	5	10	10	10	5	10	5	5	10	5	5	5	2	5	2	5	15	10	10	5	5	5	5	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	204	8	2	10	4	7	4	5	10	10	11	5	5	7	6	9	15	7	5	2	7	0	10	8	3	1	0	5	0	2	1	3	2	0	1	0	5	1	9	0	3	0	0	5	6									
