Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    ТИК Пригородного района																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в списки избирателей"	65029	1688	696	1198	1972	531	527	1277	1245	1122	2403	2048	2579	2624	1235	1600	1699	1797	1628	1218	606	2653	2650	1702	1008	1381	1408	364	1259	1647	2890	2487	2258	2462	2122	682	691	256	240	180	1984	2244	1771	622	375					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61816	1644	585	988	1940	498	538	1140	1057	1085	2259	2048	2423	2472	1188	1656	1584	1568	1628	1034	546	2488	2490	1653	1008	1388	1367	329	1191	1645	2763	2430	2144	2414	2018	610	678	256	213	180	1984	2292	1490	560	344					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	36148	605	552	822	1341	272	342	791	1041	871	860	851	801	958	500	1041	747	556	1075	882	244	936	1120	555	648	1283	917	258	855	1140	2208	1718	1062	1035	1095	465	365	132	166	161	1600	1268	1382	333	294					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	985	0	0	0	51	0	13	39	16	22	40	47	28	29	21	27	15	37	24	0	3	14	18	30	47	30	30	17	25	12	28	16	20	56	60	23	24	20	0	0	29	25	13	27	9					
6	Число погашенных избирательных бюллетеней	24018	1039	33	166	534	226	183	310	0	192	1359	1150	1594	1485	667	588	822	520	529	152	299	1538	1350	1068	313	75	420	54	311	298	527	696	1062	1323	863	122	289	104	47	19	355	999	95	200	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1635	0	0	0	51	0	13	39	16	22	40	47	28	29	21	27	15	492	24	0	3	14	18	30	47	30	30	17	25	207	28	16	20	56	60	23	24	20	0	0	29	25	13	27	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36066	605	552	822	1341	272	342	791	1041	871	860	851	801	958	485	1041	747	556	1075	882	244	936	1120	555	648	1283	917	258	855	1140	2207	1718	1062	1035	1095	465	365	132	166	161	1540	1268	1376	333	294					
9	Число недействительных избирательных бюллетеней	1088	36	7	25	14	45	0	38	124	16	4	16	94	75	17	45	9	57	9	0	16	14	0	46	10	10	6	3	18	126	14	40	10	38	10	7	14	0	1	2	29	0	31	1	11					
10	Число действительных избирательных бюллетеней	36613	569	545	797	1378	227	355	792	933	877	896	882	735	912	489	1023	753	991	1090	882	231	936	1138	539	685	1303	941	272	862	1221	2221	1694	1072	1053	1145	481	375	152	165	159	1540	1293	1358	359	292					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2500	66	23	40	78	20	22	46	42	45	90	85	100	100	50	67	63	70	65	41	22	100	100	66	40	56	55	13	48	70	111	97	86	97	83	24	27	10	9	7	79	92	60	22	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	347	0	0	0	9	0	1	1	1	8	12	15	6	19	3	6	8	2	15	0	0	15	17	7	5	12	12	1	7	15	21	13	16	16	15	7	8	0	0	0	18	16	18	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	90	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	3	1	1	3	1	3	1	2	0	2	0	0	2	0	0	0	0	2	31	0	2	3	6	10	2	5	2	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	2153	66	23	40	69	20	21	45	41	37	78	70	94	81	47	61	55	68	50	41	22	85	83	59	35	44	43	12	41	55	90	84	70	81	68	17	19	10	9	7	61	76	42	20	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	16	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	672	14	12	7	112	6	0	7	10	3	7	16	9	27	10	78	14	7	16	0	3	19	78	8	7	7	13	2	14	13	24	20	0	10	48	4	5	4	3	1	0	18	11	2	3					
		1.78%	2.31%	2.17%	0.85%	8.05%	2.21%	0.00%	0.84%	0.95%	0.34%	0.78%	1.78%	1.09%	2.74%	1.98%	7.30%	1.84%	0.67%	1.46%	0.00%	1.21%	2.00%	6.85%	1.37%	1.01%	0.53%	1.37%	0.73%	1.59%	0.97%	1.07%	1.15%	0.00%	0.92%	4.16%	0.82%	1.29%	2.63%	1.81%	0.62%	0.00%	1.39%	0.79%	0.56%	0.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	161	3	4	2	8	0	3	3	0	0	0	0	4	2	0	0	8	4	0	0	0	9	0	2	0	3	2	1	1	6	4	0	0	17	60	4	3	0	0	0	0	2	2	2	2					
		0.43%	0.50%	0.72%	0.24%	0.57%	0.00%	0.85%	0.36%	0.00%	0.00%	0.00%	0.00%	0.48%	0.20%	0.00%	0.00%	1.05%	0.38%	0.00%	0.00%	0.00%	0.95%	0.00%	0.34%	0.00%	0.23%	0.21%	0.36%	0.11%	0.45%	0.18%	0.00%	0.00%	1.56%	5.19%	0.82%	0.77%	0.00%	0.00%	0.00%	0.00%	0.15%	0.14%	0.56%	0.66%					
20	3.Политическая партия «Демократическая партия России»	74	0	0	5	20	0	0	2	16	4	0	3	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	4	0	0	2	1	0	0	0	2	2	0	3					
		0.20%	0.00%	0.00%	0.61%	1.44%	0.00%	0.00%	0.24%	1.51%	0.45%	0.00%	0.33%	0.24%	0.20%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.07%	0.09%	0.00%	0.00%	0.37%	0.00%	0.00%	0.51%	0.66%	0.00%	0.00%	0.00%	0.15%	0.14%	0.00%	0.99%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2692	44	69	24	88	7	15	43	30	20	70	85	80	106	49	158	69	80	77	30	6	108	75	44	101	48	57	15	59	69	151	151	119	97	59	24	25	5	23	2	74	101	99	18	18					
