Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Манская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594					
1	"Число избирателей, внесенных в списки"	13630	95	229	1510	159	103	318	1556	597	401	75	1505	1660	465	182	118	81	193	371	433	103	255	368	676	112	376	602	247	231	104	48	364	93					
2	"Число бюллетеней, полученных участковыми комиссиями"	13542	101	229	1493	154	102	320	1557	595	402	77	1470	1632	464	179	118	81	191	366	435	105	249	371	661	109	377	609	250	234	106	50	361	94					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6295	40	126	645	64	49	124	593	276	167	50	680	740	258	97	35	48	111	163	210	59	146	188	316	50	168	259	110	173	76	24	195	55					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	571	10	4	37	10	27	11	21	6	27	0	28	37	28	11	40	12	28	49	30	10	13	17	15	15	13	33	11	11	0	9	8	0					
6	Число погашенных бюллетеней	6676	51	99	811	80	26	185	943	313	208	27	762	855	178	71	43	21	52	154	195	36	90	166	330	44	196	317	129	50	30	17	158	39					
7	Число бюллетеней в переносных ящиках для голосования	571	10	4	37	10	27	11	21	6	27	0	28	37	28	11	40	12	28	49	30	10	13	17	15	15	13	33	11	11	0	9	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	6295	40	126	645	64	49	124	593	276	167	50	680	740	258	97	35	48	111	163	210	59	146	188	316	50	168	259	110	173	76	24	195	55					
9	Число недействительных бюллетеней	124	0	1	9	0	0	0	12	7	5	5	11	17	6	2	2	2	1	6	2	1	5	0	7	3	2	8	2	3	0	2	2	1					
10	Число действительных бюллетеней	6742	50	129	673	74	76	135	602	275	189	45	697	760	280	106	73	58	138	206	238	68	154	205	324	62	179	284	119	181	76	31	201	54					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	116	4	4	4	4	2	4	10	4	4	2	4	7	4	2	2	2	4	4	5	2	3	4	4	3	4	4	3	2	4	2	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	0	0	2	0	0	2	5	1	0	0	2	6	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	0	0	6	5	5	0	3	4	0	0	2	5	1	0	0	0	1	0	0	0	1	0	2	0	3	2	1	1	0	0	1	0					
