Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Канская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №2269					
1	"Число избирателей, внесенных в список избирателей"	18440	1038	87	101	180	218	48	550	149	138	319	1113	204	706	175	127	139	467	48	91	551	34	45	130	669	70	88	227	78	149	345	95	230	96	751	284	146	229	88	210	931	86	1739	193	198	300	733	345	158	275	166	170	210	2419	104					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18162	1020	83	98	182	211	48	541	149	130	308	1076	200	679	171	129	152	459	49	87	541	34	46	123	662	72	89	228	78	144	316	90	230	93	739	273	145	220	81	205	913	88	1716	190	192	300	725	333	150	276	167	171	211	2449	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9513	432	38	62	117	106	39	294	90	100	208	554	116	434	106	80	84	345	41	62	335	23	30	87	327	50	63	122	54	89	273	83	118	55	373	179	79	135	66	155	492	38	703	56	84	102	361	204	111	88	77	46	71	1027	49					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	475	5	2	0	0	6	0	11	1	0	6	9	12	38	0	0	3	26	0	3	13	1	4	0	20	0	0	25	0	10	14	5	10	3	18	2	0	2	0	0	18	0	28	1	0	29	61	5	0	5	3	0	7	62	7					
6	Число погашенных избирательных бюллетеней	8174	583	43	36	65	99	9	236	58	30	94	513	72	207	65	49	65	88	8	22	193	10	12	36	315	22	26	81	24	45	29	2	102	35	348	92	66	83	15	50	403	50	985	133	108	169	303	124	39	183	87	125	133	1360	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	475	5	2	0	0	6	0	11	1	0	6	9	12	38	0	0	3	26	0	3	13	1	4	0	20	0	0	25	0	10	14	5	10	3	18	2	0	2	0	0	18	0	28	1	0	29	61	5	0	5	3	0	7	62	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9513	432	38	62	117	106	39	294	90	100	208	554	116	434	106	80	84	345	41	62	335	23	30	87	327	50	63	122	54	89	273	83	118	55	373	179	79	135	66	155	492	38	703	56	84	102	361	204	111	88	77	46	71	1027	49					
9	Число недействительных избирательных бюллетеней	198	9	0	5	2	5	0	6	5	1	3	14	1	7	3	0	3	4	1	0	12	1	4	3	4	1	3	3	1	0	3	0	4	0	6	3	0	6	1	5	16	0	18	1	0	1	5	1	0	3	2	0	4	18	0					
10	Число действительных избирательных бюллетеней	9790	428	40	57	115	107	39	299	86	99	211	549	127	465	103	80	84	367	40	65	336	23	30	84	343	49	60	144	53	99	284	88	124	58	385	178	79	131	65	150	494	38	713	56	84	130	417	208	111	90	78	46	74	1071	56					
