Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Тахтамукайская 																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №276									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55175	1539	2087	2326	810	555	268	2672	2113	1555	1856	1946	1664	1138	1504	207	373	686	303	1520	1859	2660	1577	2739	2117	2950	1316	1602	1780	1200	159	2070	1140	1462	336	1576	1171	493	207	271	1368									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51800	1500	1900	2200	800	500	272	2400	2000	1500	1700	1800	1600	1100	1400	201	362	650	301	1400	1800	2500	1500	2400	2000	2653	1300	1500	1700	1100	156	2000	1100	1300	324	1500	1200	489	206	286	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26960	623	846	980	417	254	193	2135	1643	1329	1487	803	596	435	1251	131	185	448	146	882	918	629	494	912	756	847	430	514	749	493	49	654	643	515	229	1161	1139	344	142	162	396									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	920	30	69	95	16	16	7	12	36	5	30	15	13	5	31	5	24	5	2	49	14	10	16	13	43	15	21	37	41	48	0	17	36	23	7	22	32	21	23	7	9									
6	Число погашенных избирательных бюллетеней	23920	847	985	1125	367	230	72	253	321	166	183	982	991	660	118	65	153	197	153	469	868	1861	990	1475	1201	1791	849	949	910	559	107	1329	421	762	88	317	29	124	41	117	795									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	920	30	69	95	16	16	7	12	36	5	30	15	13	5	31	5	24	5	2	49	14	10	16	13	43	15	21	37	41	48	0	17	36	23	7	22	32	21	23	7	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26914	623	846	980	417	254	193	2135	1643	1329	1487	803	593	435	1251	131	185	448	146	882	918	629	494	912	713	847	430	514	749	493	49	654	643	515	229	1161	1139	344	142	162	396									
9	Число недействительных избирательных бюллетеней	669	39	40	24	19	6	0	28	20	16	7	20	23	18	31	5	11	13	11	37	1	17	11	23	18	31	16	16	15	16	0	13	38	21	9	24	22	2	0	3	5									
10	Число действительных избирательных бюллетеней	27165	614	875	1051	414	264	200	2119	1659	1318	1510	798	583	422	1251	131	198	440	137	894	931	622	499	902	738	831	435	535	775	525	49	658	641	517	227	1159	1149	363	165	166	400									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	474	9	10	15	10	5	5	15	15	15	15	15	15	15	15	5	5	10	5	15	20	20	15	20	20	25	15	15	15	10	5	15	5	10	5	10	5	5	5	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	181	8	4	3	1	2	0	9	4	11	6	7	7	2	0	0	0	2	3	3	3	8	3	10	10	20	6	5	10	3	0	9	2	8	0	4	3	0	0	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	1	4	4	4	1	0	8	4	2	0	6	5	1	0	0	2	0	0	6	14	3	2	1	3	2	4	1	3	4	3	5	1	7	1	0	0	4	0	0	17									
14	Число погашенных неиспользованных открепительных удостоверений	293	1	6	12	9	3	5	6	11	4	9	8	8	13	15	5	5	8	2	12	17	12	12	10	10	5	9	10	5	7	5	6	3	2	5	6	2	5	5	5	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	0	0	1	0	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	2	0	2	0	1	2	1	2	1	1	1	0	2	0	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	268	4	7	8	5	6	2	9	4	9	19	12	6	4	10	0	4	8	3	8	9	13	10	8	16	11	5	4	4	8	1	13	4	6	3	4	4	4	0	2	11									
		0.96%	0.61%	0.77%	0.74%	1.15%	2.22%	1.00%	0.42%	0.24%	0.67%	1.25%	1.47%	0.99%	0.91%	0.78%	0.00%	1.91%	1.77%	2.03%	0.86%	0.97%	2.03%	1.96%	0.86%	2.12%	1.28%	1.11%	0.73%	0.51%	1.48%	2.04%	1.94%	0.59%	1.12%	1.27%	0.34%	0.34%	1.10%	0.00%	1.18%	2.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	546	30	31	33	5	8	3	25	17	12	29	18	12	12	11	2	3	3	3	17	17	19	8	25	28	12	15	9	13	15	1	8	32	9	4	18	17	8	8	1	5									
		1.96%	4.59%	3.39%	3.07%	1.15%	2.96%	1.50%	1.16%	1.01%	0.90%	1.91%	2.20%	1.98%	2.73%	0.86%	1.47%	1.44%	0.66%	2.03%	1.83%	1.82%	2.97%	1.57%	2.70%	3.70%	1.39%	3.33%	1.63%	1.65%	2.77%	2.04%	1.19%	4.71%	1.67%	1.69%	1.52%	1.45%	2.19%	4.85%	0.59%	1.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	283	9	5	11	6	6	2	14	13	6	11	9	10	6	8	2	1	0	1	0	10	19	7	13	11	17	6	7	5	8	0	11	15	10	2	7	4	1	1	1	8									
		1.02%	1.38%	0.55%	1.02%	1.39%	2.22%	1.00%	0.65%	0.77%	0.45%	0.73%	1.10%	1.65%	1.36%	0.62%	1.47%	0.48%	0.00%	0.68%	0.00%	1.07%	2.97%	1.37%	1.41%	1.46%	1.97%	1.33%	1.27%	0.63%	1.48%	0.00%	1.64%	2.21%	1.86%	0.85%	0.59%	0.34%	0.27%	0.61%	0.59%	1.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16779	368	593	789	308	184	151	1356	1045	791	939	523	321	267	833	106	154	356	105	628	687	275	231	383	386	404	210	280	546	306	26	328	394	298	140	724	730	227	86	104	197									
