Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Кологривская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175					
1	"Число избирателей, внесенных в список избирателей"	5965	91	1222	140	196	235	116	279	181	279	82	195	74	272	337	918	183	977	188					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6066	95	1252	141	194	225	119	277	192	286	87	199	75	279	334	942	180	990	199					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3077	50	645	74	90	91	68	152	76	139	52	104	41	154	168	494	117	470	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	516	10	62	11	33	52	12	8	16	31	4	15	8	33	13	46	5	136	21					
6	Число погашенных избирательных бюллетеней	2473	35	545	56	71	82	39	117	100	116	31	80	26	92	153	402	58	384	86					
7	Число избирательных бюллетеней в переносных ящиках для голосования	516	10	62	11	33	52	12	8	16	31	4	15	8	33	13	46	5	136	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3077	50	645	74	90	91	68	152	76	139	52	104	41	154	168	494	117	470	92					
9	Число недействительных избирательных бюллетеней	44	1	11	2	1	0	2	1	4	2	0	0	0	1	3	4	4	5	3					
10	Число действительных избирательных бюллетеней	3549	59	696	83	122	143	78	159	88	168	56	119	49	186	178	536	118	601	110					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	115	8	17	5	5	5	5	5	5	5	5	5	5	5	5	10	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	51	3	12	0	0	0	5	0	2	1	3	2	0	5	0	7	3	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	1	5	1	2	1	1	1	2	4	1	0	1	1	0	5	8	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	64	5	5	5	5	5	0	5	3	4	2	3	5	0	5	3	2	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	619	7	136	12	14	20	12	36	16	25	13	32	6	33	19	95	17	93	33					
		17.23%	11.67%	19.24%	14.12%	11.38%	13.99%	15.00%	22.50%	17.39%	14.71%	23.21%	26.89%	12.24%	17.65%	10.50%	17.59%	13.93%	15.35%	29.20%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	554	8	102	21	24	36	7	26	9	27	7	18	3	34	38	89	25	65	15					
		15.42%	13.33%	14.43%	24.71%	19.51%	25.17%	8.75%	16.25%	9.78%	15.88%	12.50%	15.13%	6.12%	18.18%	20.99%	16.48%	20.49%	10.73%	13.27%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	1	9	0	3	1	2	0	0	4	0	1	1	2	0	6	1	11	0					
		1.17%	1.67%	1.27%	0.00%	2.44%	0.70%	2.50%	0.00%	0.00%	2.35%	0.00%	0.84%	2.04%	1.07%	0.00%	1.11%	0.82%	1.82%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	988	17	184	21	30	37	35	45	8	61	22	25	7	36	50	163	37	183	27					
		27.50%	28.33%	26.03%	24.71%	24.39%	25.87%	43.75%	28.13%	8.70%	35.88%	39.29%	21.01%	14.29%	19.25%	27.62%	30.19%	30.33%	30.20%	23.89%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	0	18	2	1	2	2	3	2	2	0	1	0	1	2	8	2	10	1					
		1.59%	0.00%	2.55%	2.35%	0.81%	1.40%	2.50%	1.88%	2.17%	1.18%	0.00%	0.84%	0.00%	0.53%	1.10%	1.48%	1.64%	1.65%	0.88%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1276	26	239	27	50	46	20	49	52	49	14	42	31	80	67	175	36	239	34					
		35.51%	43.33%	33.80%	31.76%	40.65%	32.17%	25.00%	30.63%	56.52%	28.82%	25.00%	35.29%	63.27%	42.78%	37.02%	32.41%	29.51%	39.44%	30.09%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	0	8	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0					
		0.36%	0.00%	1.13%	0.00%	0.00%	0.70%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	2.04%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
