Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Южно-Сухокумская городская											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702					
1	"Число избирателей, внесенных в списки"	6121	2313	1967	1592	249					
2	"Число бюллетеней, полученных участковыми комиссиями"	5453	2076	1770	1400	207					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3790	1342	1172	1131	145					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0					
6	Число погашенных бюллетеней	1663	734	598	269	62					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	3790	1342	1172	1131	145					
9	Число недействительных бюллетеней	20	11	4	5	0					
10	Число действительных бюллетеней	3770	1331	1168	1126	145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	4	0	0	0	4					
		0.10%	0.0%	0.0%	0.0%	2.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	172	93	0	79	0					
		4.53%	6.92%	0.0%	6.98%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	15	12	0	0	3					
		0.39%	0.89%	0.0%	0.0%	2.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	252	147	80	25	0					
		6.64%	10.95%	6.82%	2.21%	0.0%					
30	"13. ""Демократическая партия России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	13	0	0	13	0					
		0.34%	0.0%	0.0%	1.14%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1	0	0	0	1					
		0.02%	0.0%	0.0%	0.0%	0.68%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2382	812	755	689	126					
		62.84%	60.50%	64.41%	60.91%	86.89%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	897	253	320	315	9					
		23.66%	18.85%	27.30%	27.85%	6.20%					
											
41	Против всех	34	14	13	5	2					
		0.89%	1.04%	1.10%	0.44%	1.37%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
