Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Гурьевская - 98															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6236	1043	1257	3130	806									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	1000	1200	3000	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2530	458	569	1056	447									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	88	18	16	28	26									
6	Число погашенных избирательных бюллетеней	3382	524	615	1916	327									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	88	18	16	28	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2530	458	569	1056	447									
9	Число недействительных избирательных бюллетеней	113	25	22	48	18									
10	Число действительных избирательных бюллетеней	2505	451	563	1036	455									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	47	10	10	17	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	3	10	17	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	17	12	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	15	7	0	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	52	8	18	20	6									
		1.99%	1.68%	3.08%	1.85%	1.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	41	6	12	20	3									
		1.57%	1.26%	2.05%	1.85%	0.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	30	7	1	7	15									
		1.15%	1.47%	0.17%	0.65%	3.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1579	315	364	608	292									
		60.31%	66.18%	62.22%	56.09%	61.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	3	3	5	5									
		0.61%	0.63%	0.51%	0.46%	1.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	5	1									
		0.23%	0.00%	0.00%	0.46%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	378	61	69	195	53									
		14.44%	12.82%	11.79%	17.99%	11.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	1	1	8	3									
		0.50%	0.21%	0.17%	0.74%	0.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	5	8	12	10									
		1.34%	1.05%	1.37%	1.11%	2.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	3	0									
		0.11%	0.00%	0.00%	0.28%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	2	8	18	4									
		1.22%	0.42%	1.37%	1.66%	0.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	192	24	52	77	39									
		7.33%	5.04%	8.89%	7.10%	8.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	10	15	29	7									
		2.33%	2.10%	2.56%	2.68%	1.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	67	9	12	29	17									
		2.56%	1.89%	2.05%	2.68%	3.59%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
