Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Кожевниковская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16262	305	533	180	172	1730	1836	1442	1516	329	123	379	188	258	1041	118	878	295	365	197	582	284	425	282	253	286	284	335	931	300	138	277									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15120	300	500	150	150	1400	1600	1400	1400	300	120	380	190	250	1000	110	800	250	350	190	550	280	400	290	250	280	280	330	900	300	140	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6398	151	340	124	112	616	764	385	401	179	55	130	99	81	408	65	341	78	165	77	243	131	134	120	89	108	128	186	308	164	100	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	541	36	13	8	11	15	26	9	60	9	2	4	9	20	66	0	17	13	19	6	19	20	32	6	12	22	20	0	30	13	3	21									
6	Число погашенных избирательных бюллетеней	8181	113	147	18	27	769	810	1006	939	112	63	246	82	149	526	45	442	159	166	107	288	129	234	164	149	150	132	144	562	123	37	143									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	541	36	13	8	11	15	26	9	60	9	2	4	9	20	66	0	17	13	19	6	19	20	32	6	12	22	20	0	30	13	3	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6397	151	340	124	112	616	764	385	401	179	55	130	99	81	408	65	340	78	165	77	243	131	134	120	89	108	128	186	308	164	100	116									
9	Число недействительных избирательных бюллетеней	159	3	3	0	1	35	18	14	3	0	1	3	5	0	9	1	7	0	5	1	6	2	19	4	0	1	2	5	8	2	1	0									
10	Число действительных избирательных бюллетеней	6779	184	350	132	122	596	772	380	458	188	56	131	103	101	465	64	350	91	179	82	256	149	147	122	101	129	146	181	330	175	102	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	5	10	5	5	15	15	12	13	5	5	10	5	5	10	5	10	5	5	5	10	5	5	5	5	5	5	5	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	0	2	0	0	7	11	4	13	0	0	2	0	0	4	0	3	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	1	4	3	2	1	8	4	1	6	1	1	1	4	5	2	2	4	1	1	3	0	1	0	0	2	1	3	3	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	169	5	8	5	5	8	4	8	0	5	5	8	5	5	6	5	7	5	5	5	10	4	2	5	5	5	5	5	9	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	0	1	1	0	8	9	4	7	5	0	0	0	1	3	1	1	3	3	3	3	0	1	0	1	2	0	1	3	1	0	2									
		0.92%	0.00%	0.28%	0.76%	0.00%	1.27%	1.14%	1.02%	1.52%	2.66%	0.00%	0.00%	0.00%	0.99%	0.63%	1.54%	0.28%	3.30%	1.63%	3.61%	1.15%	0.00%	0.60%	0.00%	0.99%	1.54%	0.00%	0.54%	0.89%	0.56%	0.00%	1.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	251	4	5	3	1	33	35	11	23	6	1	11	1	1	16	4	5	2	12	6	6	8	3	4	1	11	4	2	14	11	2	5									
		3.62%	2.14%	1.42%	2.27%	0.81%	5.23%	4.43%	2.79%	4.99%	3.19%	1.75%	8.21%	0.93%	0.99%	3.38%	6.15%	1.40%	2.20%	6.52%	7.23%	2.29%	5.30%	1.81%	3.17%	0.99%	8.46%	2.70%	1.08%	4.14%	6.21%	1.94%	3.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	1	2	1	2	6	21	11	14	1	1	1	4	2	14	1	4	0	0	5	5	0	1	1	1	5	0	2	3	0	0	7									
		1.67%	0.53%	0.57%	0.76%	1.63%	0.95%	2.66%	2.79%	3.04%	0.53%	1.75%	0.75%	3.70%	1.98%	2.95%	1.54%	1.12%	0.00%	0.00%	6.02%	1.91%	0.00%	0.60%	0.79%	0.99%	3.85%	0.00%	1.08%	0.89%	0.00%	0.00%	5.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3813	140	247	109	87	290	338	182	186	102	28	80	62	58	218	47	213	48	105	53	148	98	71	69	61	60	96	129	184	134	86	84									
		54.96%	74.87%	69.97%	82.58%	70.73%	45.96%	42.78%	46.19%	40.35%	54.26%	49.12%	59.70%	57.41%	57.43%	45.99%	72.31%	59.66%	52.75%	57.07%	63.86%	56.49%	64.90%	42.77%	54.76%	60.40%	46.15%	64.86%	69.35%	54.44%	75.71%	83.50%	61.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	1	1	1	1	3	3	3	7	0	1	3	0	2	0	0	2	0	2	0	2	0	0	1	1	0	2	0	1	0	1	0									
		0.55%	0.53%	0.28%	0.76%	0.81%	0.48%	0.38%	0.76%	1.52%	0.00%	1.75%	2.24%	0.00%	1.98%	0.00%	0.00%	0.56%	0.00%	1.09%	0.00%	0.76%	0.00%	0.00%	0.79%	0.99%	0.00%	1.35%	0.00%	0.30%	0.00%	0.97%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1									
		0.12%	0.00%	0.28%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.28%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.30%	0.00%	0.00%	0.73%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1309	22	57	8	22	130	165	96	107	49	11	11	23	20	118	4	54	24	24	11	43	18	34	33	19	29	30	27	68	21	10	21									
		18.87%	11.76%	16.15%	6.06%	17.89%	20.60%	20.89%	24.37%	23.21%	26.06%	19.30%	8.21%	21.30%	19.80%	24.89%	6.15%	15.13%	26.37%	13.04%	13.25%	16.41%	11.92%	20.48%	26.19%	18.81%	22.31%	20.27%	14.52%	20.12%	11.86%	9.71%	15.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	30	0	2	1	0	4	10	0	3	0	0	1	1	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	1	1	0	0									
		0.43%	0.00%	0.57%	0.76%	0.00%	0.63%	1.27%	0.00%	0.65%	0.00%	0.00%	0.75%	0.93%	0.00%	0.00%	0.00%	0.28%	0.00%	1.09%	0.00%	0.38%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.30%	0.56%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	0	3	0	0	5	9	1	9	1	0	0	1	0	4	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0									
		0.59%	0.00%	0.85%	0.00%	0.00%	0.79%	1.14%	0.25%	1.95%	0.53%	0.00%	0.00%	0.93%	0.00%	0.84%	0.00%	0.56%	2.20%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.66%	0.00%	0.00%	1.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	2	2	1	0	14	13	11	5	0	0	4	0	1	3	0	0	0	2	0	2	2	0	0	1	0	0	2	5	0	0	0									
		1.01%	1.07%	0.57%	0.76%	0.00%	2.22%	1.65%	2.79%	1.08%	0.00%	0.00%	2.99%	0.00%	0.99%	0.63%	0.00%	0.00%	0.00%	1.09%	0.00%	0.76%	1.32%	0.00%	0.00%	0.99%	0.00%	0.00%	1.08%	1.48%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	835	8	25	5	8	79	137	43	75	20	9	14	9	12	69	5	60	9	25	3	39	18	31	13	9	20	14	13	39	5	2	17									
		12.04%	4.28%	7.08%	3.79%	6.50%	12.52%	17.34%	10.91%	16.27%	10.64%	15.79%	10.45%	8.33%	11.88%	14.56%	7.69%	16.81%	9.89%	13.59%	3.61%	14.89%	11.92%	18.67%	10.32%	8.91%	15.38%	9.46%	6.99%	11.54%	2.82%	1.94%	12.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	1	0	1	1	3	2	2	0	0	1	2	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	2	1	0	0	0									
		0.30%	0.53%	0.00%	0.76%	0.81%	0.48%	0.25%	0.51%	0.00%	0.00%	1.75%	1.49%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.79%	0.99%	0.00%	0.00%	1.08%	0.30%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	172	5	4	1	0	20	28	16	21	4	4	4	2	4	16	2	7	3	3	1	4	1	4	0	4	0	0	2	10	2	0	0									
		2.48%	2.67%	1.13%	0.76%	0.00%	3.17%	3.54%	4.06%	4.56%	2.13%	7.02%	2.99%	1.85%	3.96%	3.38%	3.08%	1.96%	3.30%	1.63%	1.20%	1.53%	0.66%	2.41%	0.00%	3.96%	0.00%	0.00%	1.08%	2.96%	1.13%	0.00%	0.00%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
