Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84908	1264	2447	2657	2113	1351	1404	2226	2230	2290	2274	2324	2594	2489	2339	2347	1402	1198	1619	1324	1042	2400	2535	2336	2091	2105	2201	2509	1886	2210	2194	1743	2074	1554	2625	2793	2473	2534	2635	1049	1678	2349									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76520	1200	1900	1900	2000	1130	485	1700	2200	2200	2100	2300	2500	2500	2300	2300	1300	1100	1600	319	910	2200	2500	2300	2000	2000	2200	2500	1800	2100	2100	1700	1500	1500	2100	2200	2400	2500	2600	476	1600	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26248	544	648	658	835	430	383	539	790	843	581	708	729	631	695	683	325	236	403	316	229	700	886	659	763	783	715	784	586	930	871	593	634	539	675	1274	738	829	915	204	432	532									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9240	2	500	590	502	82	102	507	176	220	94	4	258	495	8	4	7	251	4	3	2	353	265	3	408	249	10	5	5	251	510	179	510	155	755	502	231	3	254	272	3	506									
6	Число погашенных избирательных бюллетеней	41032	654	752	652	663	618	0	654	1234	1137	1425	1588	1513	1374	1597	1613	968	613	1193	0	679	1147	1349	1638	829	968	1475	1711	1209	919	719	928	356	806	670	424	1431	1668	1431	0	1165	1262									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9125	2	500	590	502	82	102	506	176	220	94	4	249	495	8	4	7	251	4	3	2	353	263	3	408	249	10	5	5	251	459	176	483	155	745	502	231	3	254	270	3	496									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25586	533	641	656	833	430	382	524	790	791	581	708	729	631	695	683	325	236	403	316	228	700	839	658	761	783	712	783	583	930	841	593	568	539	675	859	738	829	914	202	432	532									
9	Число недействительных избирательных бюллетеней	692	6	22	24	25	8	9	8	22	17	19	21	20	10	22	20	13	10	15	5	5	30	29	21	17	13	13	22	17	32	24	4	19	13	19	28	14	20	18	3	7	28									
10	Число действительных избирательных бюллетеней	34019	529	1119	1222	1310	504	475	1022	944	994	656	691	958	1116	681	667	319	477	392	314	225	1023	1073	640	1152	1019	709	766	571	1149	1276	765	1032	681	1401	1333	955	812	1150	469	428	1000									
