Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Кетовская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502					
1	"Число избирателей, внесенных в список"	40680	1099	1020	1309	1225	1141	374	1824	1398	998	555	368	746	389	1105	492	593	513	348	710	197	663	919	175	164	247	795	234	1371	257	1839	1373	101	290	1860	1346	420	583	182	1973	654	1559	852	1134	300	467	473	485	1009	366	1646	319	95	125					
2	Число полученных избирательных бюллетеней	40492	1106	1034	1311	1253	1151	371	1515	1345	1030	552	376	750	383	1085	493	599	514	349	720	190	660	901	174	156	257	798	236	1371	251	1868	1390	95	281	1882	1356	416	585	184	1973	641	1581	844	1140	310	464	473	482	1009	377	1648	324	100	138					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23006	650	555	630	645	683	238	1366	943	553	258	150	408	249	703	338	310	263	216	447	102	428	614	134	122	148	411	157	646	206	1024	702	73	155	955	729	236	283	125	1008	363	675	453	632	132	212	324	328	512	183	986	177	64	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	1673	23	33	63	27	28	0	5	13	24	45	114	40	43	37	15	30	56	15	40	13	14	42	15	14	23	44	4	70	0	20	72	0	26	46	24	11	21	3	41	37	89	23	65	24	42	21	37	38	90	32	21	0	0					
6	Число погашенных избирательных бюллетеней	15813	433	446	618	581	440	133	144	389	453	249	112	302	91	345	140	259	195	118	233	75	218	245	25	20	86	343	75	655	45	824	616	22	100	881	603	169	281	56	924	241	817	368	443	154	210	128	117	459	104	630	126	36	36					
7	Число избирательных бюллетеней в переносных ящиках	1673	23	33	63	27	28	0	5	13	24	45	114	40	43	37	15	30	56	15	40	13	14	42	15	14	23	44	4	70	0	20	72	0	26	46	24	11	21	3	41	37	89	23	65	24	42	21	37	38	90	32	21	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	23006	650	555	630	645	683	238	1366	943	553	258	150	408	249	703	338	310	263	216	447	102	428	614	134	122	148	411	157	646	206	1024	702	73	155	955	729	236	283	125	1008	363	675	453	632	132	212	324	328	512	183	986	177	64	102					
9	Число недействительных избирательных бюллетеней	165	3	2	4	3	1	2	0	0	7	0	0	5	6	5	2	4	1	0	5	0	7	10	0	0	3	5	2	10	1	8	0	0	3	7	6	3	1	1	13	0	7	3	5	1	3	6	3	3	1	2	1	0	0					
10	Число действительных избирательных бюллетеней	24514	670	586	689	669	710	236	1371	956	570	303	264	443	286	735	351	336	318	231	482	115	435	646	149	136	168	450	159	706	205	1036	774	73	178	994	747	244	303	127	1036	400	757	473	692	155	251	339	362	547	272	1016	197	64	102					
