Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Морозовская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34650	1709	883	875	1083	1746	1652	1077	1728	1683	2343	1682	1628	1256	1635	1731	548	485	652	235	359	1058	304	165	816	484	714	169	481	553	947	388	458	640	345	490	295	192	390	284	295	192									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34738	1712	890	877	1092	1754	1669	1082	1729	1694	2414	1688	1624	1267	1631	1738	510	491	664	232	358	1062	301	163	810	484	721	171	480	510	949	388	459	644	343	490	294	193	390	283	296	191									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12490	569	357	231	326	498	490	174	400	401	1086	616	959	524	531	465	158	179	216	83	204	279	85	36	256	274	346	85	270	233	318	109	199	514	112	205	164	96	136	144	90	72									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	942	20	11	20	23	40	29	10	38	28	34	11	26	2	24	14	57	2	31	17	6	48	0	42	54	15	24	2	30	30	13	23	12	53	15	15	8	0	30	28	19	38									
6	Число погашенных избирательных бюллетеней	21306	1123	522	626	743	1216	1150	898	1291	1265	1294	1061	639	741	1076	1259	295	310	417	132	148	735	216	85	500	195	351	84	180	247	618	256	248	77	216	270	122	97	224	111	187	81									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	942	20	11	20	23	40	29	10	38	28	34	11	26	2	24	14	57	2	31	17	6	48	0	42	54	15	24	2	30	30	13	23	12	53	15	15	8	0	30	28	19	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12472	569	357	230	326	498	484	174	400	401	1086	616	956	524	527	464	158	179	216	83	204	279	85	36	256	274	346	84	270	233	318	109	199	514	112	205	164	96	136	144	90	70									
9	Число недействительных избирательных бюллетеней	288	6	14	9	5	48	5	4	1	2	42	9	12	5	10	9	6	0	6	8	0	8	2	0	5	0	19	3	15	4	1	5	0	4	5	5	0	0	3	4	2	2									
10	Число действительных избирательных бюллетеней	13126	583	354	241	344	490	508	180	437	427	1078	618	970	521	541	469	209	181	241	92	210	319	83	78	305	289	351	83	285	259	330	127	211	563	122	215	172	96	163	168	107	106									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	668	30	10	20	20	30	30	20	30	30	68	30	30	30	30	30	10	10	10	5	10	15	10	10	15	10	15	5	10	10	15	5	5	10	10	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	190	4	6	1	8	5	16	6	3	7	60	10	2	7	6	9	3	3	9	0	0	3	0	0	1	1	4	1	0	3	5	1	1	2	1	2	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	126	5	0	4	3	6	6	6	1	4	2	9	12	2	2	4	3	2	3	2	1	1	3	3	6	4	3	2	3	3	4	2	1	2	5	4	1	1	0	0	0	1									
