Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Семеновская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2488					
1	"Число избирателей, внесенных в списки"	39939	1387	1465	1638	1721	1503	1790	1332	1460	1707	1590	1562	1675	1730	1041	226	210	104	782	365	218	261	233	759	514	700	266	426	320	1217	361	707	1251	252	440	379	294	341	806	1144	202	260	267	646	316	386	2051	1457	177					
2	"Число бюллетеней, полученных участковыми комиссиями"	35185	1200	1260	1450	1495	1320	1560	1105	1260	1470	1380	1335	1460	1510	910	200	185	100	675	320	190	240	210	650	445	650	240	405	305	1090	340	640	1125	230	405	340	260	300	715	1030	190	230	250	580	285	360	1825	1285	175					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17161	576	559	816	836	662	654	618	635	822	759	564	691	830	462	114	68	59	346	146	64	162	82	290	191	265	165	253	104	626	77	338	468	107	146	94	132	163	293	491	70	101	118	242	61	123	983	603	132					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3061	63	58	27	36	18	29	26	39	39	43	138	26	29	23	19	73	19	50	94	72	25	91	151	54	197	0	40	108	27	103	47	167	53	127	113	57	63	100	38	52	35	41	141	90	131	33	56	0					
6	Число погашенных бюллетеней	14963	561	643	607	623	640	877	461	586	609	578	633	743	651	425	67	44	22	279	80	54	53	37	209	200	188	75	112	93	437	160	255	490	70	132	133	71	74	322	501	68	94	91	197	134	106	809	626	43					
7	Число бюллетеней в переносных ящиках для голосования	3061	63	58	27	36	18	29	26	39	39	43	138	26	29	23	19	73	19	50	94	72	25	91	151	54	197	0	40	108	27	103	47	167	53	127	113	57	63	100	38	52	35	41	141	90	131	33	56	0					
8	Число бюллетеней в стационарных ящиках для голосования	17161	576	559	816	836	662	654	618	635	822	759	564	691	830	462	114	68	59	346	146	64	162	82	290	191	265	165	253	104	626	77	338	468	107	146	94	132	163	293	491	70	101	118	242	61	123	983	603	132					
9	Число недействительных бюллетеней	472	12	14	18	10	22	27	16	17	17	10	12	20	6	12	7	0	2	11	12	3	4	9	4	10	10	0	9	4	11	8	18	13	7	6	3	2	6	6	19	1	2	4	10	4	12	24	15	3					
10	Число действительных бюллетеней	19750	627	603	825	862	658	656	628	657	844	792	690	697	853	473	126	141	76	385	228	133	183	164	437	235	452	165	284	208	642	172	367	622	153	267	204	187	220	387	510	121	134	155	373	147	242	992	644	129					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	425	15	15	15	15	15	15	15	15	15	15	15	15	15	15	3	3	3	8	4	3	3	3	8	5	13	4	5	4	10	4	8	15	3	5	4	4	4	10	15	3	4	4	6	3	6	15	20	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	126	5	2	6	4	10	7	11	10	10	2	1	6	7	8	0	0	0	3	0	0	0	0	3	2	7	0	0	2	2	1	0	3	1	0	0	1	2	0	3	0	0	0	1	1	0	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	4	5	9	2	1	5	8	2	14	1	0	4	5	0	1	1	3	2	1	1	1	1	2	2	3	2	2	0	3	0	1	3	3	0	2	2	1	2	4	1	0	1	2	1	2	4	0	1					
14	Число погашенных открепительных удостоверений	299	10	13	9	11	5	8	4	5	5	13	14	9	8	7	3	3	3	5	4	3	3	3	5	3	6	4	5	2	8	3	8	12	2	5	4	3	2	10	12	3	4	4	5	2	6	14	16	3					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	377	14	14	15	12	10	10	4	9	9	12	8	13	9	7	2	5	6	15	9	4	4	5	5	5	9	6	6	8	7	2	13	12	5	6	1	5	5	5	22	5	5	8	8	1	5	16	7	4					
		1.86%	2.19%	2.26%	1.77%	1.37%	1.47%	1.46%	0.62%	1.33%	1.04%	1.49%	1.13%	1.81%	1.04%	1.44%	1.50%	3.54%	7.69%	3.78%	3.75%	2.94%	2.13%	2.89%	1.13%	2.04%	1.94%	3.63%	2.04%	3.77%	1.07%	1.11%	3.37%	1.88%	3.12%	2.19%	0.48%	2.64%	2.21%	1.27%	4.15%	4.09%	3.67%	5.03%	2.08%	0.66%	1.96%	1.57%	1.06%	3.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	533	45	24	22	61	19	37	29	20	31	41	23	25	25	0	1	1	2	7	4	0	4	1	3	2	8	1	3	1	8	3	3	13	2	0	0	2	2	9	11	7	2	3	3	0	2	14	6	3					
		2.63%	7.04%	3.88%	2.60%	6.99%	2.79%	5.41%	4.50%	2.96%	3.60%	5.11%	3.27%	3.48%	2.91%	0.0%	0.75%	0.70%	2.56%	1.76%	1.66%	0.0%	2.13%	0.57%	0.68%	0.81%	1.73%	0.60%	1.02%	0.47%	1.22%	1.66%	0.77%	2.04%	1.25%	0.0%	0.0%	1.05%	0.88%	2.29%	2.07%	5.73%	1.47%	1.88%	0.78%	0.0%	0.78%	1.37%	0.91%	2.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	524	24	17	28	16	12	18	16	18	20	25	24	24	21	6	6	1	2	12	6	4	2	5	10	10	17	10	4	3	13	9	17	9	9	5	6	4	3	6	16	6	4	5	2	1	3	28	17	0					
		2.59%	3.75%	2.75%	3.32%	1.83%	1.76%	2.63%	2.48%	2.67%	2.32%	3.11%	3.41%	3.34%	2.44%	1.23%	4.51%	0.70%	2.56%	3.03%	2.5%	2.94%	1.06%	2.89%	2.26%	4.08%	3.67%	6.06%	1.36%	1.41%	1.99%	5.0%	4.41%	1.41%	5.62%	1.83%	2.89%	2.11%	1.32%	1.52%	3.02%	4.91%	2.94%	3.14%	0.52%	0.66%	1.18%	2.75%	2.57%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	283	10	10	22	10	12	13	9	13	9	14	11	6	14	16	2	0	0	4	3	3	0	1	0	4	5	0	1	1	3	1	6	8	2	1	1	4	6	5	18	2	1	1	4	1	5	12	9	0					
		1.39%	1.56%	1.62%	2.60%	1.14%	1.76%	1.90%	1.39%	1.92%	1.04%	1.74%	1.56%	0.83%	1.62%	3.29%	1.50%	0.0%	0.0%	1.01%	1.25%	2.20%	0.0%	0.57%	0.0%	1.63%	1.08%	0.0%	0.34%	0.47%	0.45%	0.55%	1.55%	1.25%	1.25%	0.36%	0.48%	2.11%	2.65%	1.27%	3.40%	1.63%	0.73%	0.62%	1.04%	0.66%	1.96%	1.18%	1.36%	0.0%					
22	"5. ""За Русь Святую"""	125	5	4	9	4	4	7	3	6	3	2	9	4	5	4	1	1	1	2	1	3	2	2	1	0	3	1	1	1	1	3	1	1	3	0	2	0	4	3	1	1	0	1	1	1	4	3	5	1					
		0.61%	0.78%	0.64%	1.06%	0.45%	0.58%	1.02%	0.46%	0.89%	0.34%	0.24%	1.28%	0.55%	0.58%	0.82%	0.75%	0.70%	1.28%	0.50%	0.41%	2.20%	1.06%	1.15%	0.22%	0.0%	0.64%	0.60%	0.34%	0.47%	0.15%	1.66%	0.25%	0.15%	1.87%	0.0%	0.96%	0.0%	1.76%	0.76%	0.18%	0.81%	0.0%	0.62%	0.26%	0.66%	1.57%	0.29%	0.75%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	0	1	1	1	2	2	1	0	4	0	5	3	1	0	1	1	0	0	0	5	0	2	0	0	1	0	3	1	2	2	1	0	0	1	0	1	1	0	2	0	0	1	1	0	0	0	1	0					
		0.23%	0.0%	0.16%	0.11%	0.11%	0.29%	0.29%	0.15%	0.0%	0.46%	0.0%	0.71%	0.41%	0.11%	0.0%	0.75%	0.70%	0.0%	0.0%	0.0%	3.67%	0.0%	1.15%	0.0%	0.0%	0.21%	0.0%	1.02%	0.47%	0.30%	1.11%	0.25%	0.0%	0.0%	0.36%	0.0%	0.52%	0.44%	0.0%	0.37%	0.0%	0.0%	0.62%	0.26%	0.0%	0.0%	0.0%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	118	11	2	7	14	8	4	5	6	5	4	2	5	5	2	0	0	1	0	3	0	0	2	0	2	0	0	0	1	4	0	2	1	0	0	2	1	0	3	3	0	1	1	2	1	0	5	2	1					
		0.58%	1.72%	0.32%	0.83%	1.60%	1.17%	0.58%	0.77%	0.89%	0.58%	0.49%	0.28%	0.69%	0.58%	0.41%	0.0%	0.0%	1.28%	0.0%	1.25%	0.0%	0.0%	1.15%	0.0%	0.81%	0.0%	0.0%	0.0%	0.47%	0.61%	0.0%	0.51%	0.15%	0.0%	0.0%	0.96%	0.52%	0.0%	0.76%	0.56%	0.0%	0.73%	0.62%	0.52%	0.66%	0.0%	0.49%	0.30%	0.75%					
25	"8. ""Народно-республиканская партия России"""	44	0	0	5	0	0	1	0	0	2	1	0	9	2	0	2	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	4	2	0	0	0	2	0	0	0	0	2	1	0	1	3	0	0					
		0.21%	0.0%	0.0%	0.59%	0.0%	0.0%	0.14%	0.0%	0.0%	0.23%	0.12%	0.0%	1.25%	0.23%	0.0%	1.50%	0.0%	0.0%	0.25%	0.41%	0.73%	0.53%	0.0%	0.0%	0.40%	0.21%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.62%	1.25%	0.0%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.0%	1.25%	0.26%	0.0%	0.39%	0.29%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	55	0	2	0	3	2	0	2	1	3	3	6	2	2	2	2	0	0	0	0	1	0	2	0	2	1	0	1	0	0	0	1	0	1	1	1	0	1	2	0	0	1	1	2	0	0	3	4	0					
		0.27%	0.0%	0.32%	0.0%	0.34%	0.29%	0.0%	0.31%	0.14%	0.34%	0.37%	0.85%	0.27%	0.23%	0.41%	1.50%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	1.15%	0.0%	0.81%	0.21%	0.0%	0.34%	0.0%	0.0%	0.0%	0.25%	0.0%	0.62%	0.36%	0.48%	0.0%	0.44%	0.50%	0.0%	0.0%	0.73%	0.62%	0.52%	0.0%	0.0%	0.29%	0.60%	0.0%					
27	"10. ""Аграрная партия России"""	1621	44	29	37	62	36	22	31	31	46	48	29	37	34	58	14	10	6	13	28	5	14	4	67	57	37	7	68	24	134	49	20	119	23	33	26	20	43	44	24	6	7	25	25	3	14	47	41	20					
		8.01%	6.88%	4.70%	4.38%	7.11%	5.29%	3.22%	4.81%	4.59%	5.34%	5.98%	4.13%	5.16%	3.95%	11.95%	10.52%	7.09%	7.69%	3.28%	11.66%	3.67%	7.48%	2.31%	15.19%	23.26%	8.00%	4.24%	23.20%	11.32%	20.52%	27.22%	5.19%	18.74%	14.37%	12.08%	12.56%	10.58%	19.02%	11.19%	4.53%	4.91%	5.14%	15.72%	6.52%	1.98%	5.51%	4.62%	6.22%	15.15%					
28	"11. ""Истинные патриоты России"""	54	0	0	2	0	0	1	1	1	1	0	3	2	1	0	1	1	0	3	0	1	1	0	0	0	0	0	2	13	2	1	4	3	2	0	0	0	0	1	2	0	2	0	0	0	0	1	2	0					
		0.26%	0.0%	0.0%	0.23%	0.0%	0.0%	0.14%	0.15%	0.14%	0.11%	0.0%	0.42%	0.27%	0.11%	0.0%	0.75%	0.70%	0.0%	0.75%	0.0%	0.73%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	6.13%	0.30%	0.55%	1.03%	0.47%	1.25%	0.0%	0.0%	0.0%	0.0%	0.25%	0.37%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	0.09%	0.30%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	382	14	10	31	22	22	16	12	9	20	12	13	19	19	1	3	1	2	9	0	3	3	5	4	2	3	1	9	4	6	5	9	4	10	1	2	2	4	7	20	3	3	6	5	0	7	14	5	0					
		1.88%	2.19%	1.62%	3.67%	2.52%	3.23%	2.34%	1.86%	1.33%	2.32%	1.49%	1.85%	2.64%	2.21%	0.20%	2.25%	0.70%	2.56%	2.27%	0.0%	2.20%	1.60%	2.89%	0.90%	0.81%	0.64%	0.60%	3.07%	1.88%	0.91%	2.77%	2.33%	0.62%	6.25%	0.36%	0.96%	1.05%	1.76%	1.78%	3.78%	2.45%	2.20%	3.77%	1.30%	0.0%	2.75%	1.37%	0.75%	0.0%					
30	"13. ""Демократическая партия России"""	56	3	4	4	3	1	3	1	2	2	4	4	0	1	0	0	0	1	5	0	1	0	0	1	0	0	0	1	0	1	3	0	1	2	2	0	0	1	1	0	0	0	1	0	0	0	2	1	0					
		0.27%	0.46%	0.64%	0.47%	0.34%	0.14%	0.43%	0.15%	0.29%	0.23%	0.49%	0.56%	0.0%	0.11%	0.0%	0.0%	0.0%	1.28%	1.26%	0.0%	0.73%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.34%	0.0%	0.15%	1.66%	0.0%	0.15%	1.25%	0.73%	0.0%	0.0%	0.44%	0.25%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.19%	0.15%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	51	2	0	3	2	1	1	1	3	2	1	2	3	1	0	0	1	0	2	1	2	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	3	0	1	3	0	0	0	1	0	2	1	2	1					
		0.25%	0.31%	0.0%	0.35%	0.22%	0.14%	0.14%	0.15%	0.44%	0.23%	0.12%	0.28%	0.41%	0.11%	0.0%	0.0%	0.70%	0.0%	0.50%	0.41%	1.47%	0.53%	0.0%	0.22%	0.40%	0.21%	0.0%	0.34%	0.0%	0.15%	0.55%	0.25%	0.15%	0.0%	0.0%	0.0%	1.58%	0.0%	0.25%	0.56%	0.0%	0.0%	0.0%	0.26%	0.0%	0.78%	0.09%	0.30%	0.75%					
32	"15. ""Партия СЛОН"""	39	3	2	4	6	2	1	2	0	1	1	2	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	2	1	0	0	1	2	0	0	0	0	0					
		0.19%	0.46%	0.32%	0.47%	0.68%	0.29%	0.14%	0.31%	0.0%	0.11%	0.12%	0.28%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.21%	0.0%	0.68%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.50%	0.18%	0.0%	0.0%	0.62%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1016	44	33	53	71	43	29	51	41	49	45	57	45	43	18	1	6	4	17	5	0	10	3	20	3	15	5	12	4	27	0	29	21	3	3	12	3	12	12	36	4	6	9	7	2	13	64	25	1					
		5.02%	6.88%	5.34%	6.28%	8.14%	6.32%	4.24%	7.91%	6.08%	5.69%	5.61%	8.11%	6.27%	5.00%	3.71%	0.75%	4.25%	5.12%	4.29%	2.08%	0.0%	5.34%	1.73%	4.53%	1.22%	3.24%	3.03%	4.09%	1.88%	4.13%	0.0%	7.53%	3.30%	1.87%	1.09%	5.79%	1.58%	5.30%	3.05%	6.80%	3.27%	4.41%	5.66%	1.82%	1.32%	5.11%	6.29%	3.79%	0.75%					
