Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Прионежская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №3	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в списки избирателей"	19512	1726	1861	219	1153	603	1933	914	2074	1552	1024	206	1316	870	1139	149	203	972	117	832	649					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18760	1450	1800	210	1100	600	1900	850	2050	1500	1000	200	1300	850	1100	100	200	950	100	850	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9009	1016	877	63	480	276	833	375	1031	710	453	97	626	423	498	71	92	381	48	358	301					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	639	7	71	39	70	31	35	13	12	58	53	17	33	29	56	5	11	2	14	45	38					
6	Число погашенных избирательных бюллетеней	9112	427	852	108	550	293	1032	462	1007	732	494	86	641	398	546	24	97	567	38	447	311					
7	Число избирательных бюллетеней в переносных ящиках для голосования	639	7	71	39	70	31	35	13	12	58	53	17	33	29	56	5	11	2	14	45	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8998	1010	877	63	478	276	833	374	1031	709	452	97	626	423	498	71	92	381	48	358	301					
9	Число недействительных избирательных бюллетеней	100	21	7	0	2	1	10	1	19	4	6	0	5	5	3	2	2	4	0	5	3					
10	Число действительных избирательных бюллетеней	9537	996	941	102	546	306	858	386	1024	763	499	114	654	447	551	74	101	379	62	398	336					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	306	40	20	10	15	10	15	12	15	25	15	10	15	15	15	7	7	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	175	34	20	4	13	6	14	5	8	22	4	1	13	7	3	1	0	10	0	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	113	7	12	5	4	7	6	2	4	8	1	5	16	5	4	3	3	4	1	9	7					
14	Число погашенных неиспользованных открепительных удостоверений	131	6	0	6	2	4	1	7	7	3	11	9	2	8	12	6	7	5	15	7	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	1	0	1	0	0	9	0	0	1	1	0	0	1	0	0	2	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	150	10	20	1	8	0	12	5	21	12	4	1	14	13	9	0	0	2	0	11	7					
		1.56%	0.98%	2.11%	0.98%	1.46%	0.00%	1.38%	1.29%	2.01%	1.56%	0.79%	0.88%	2.12%	2.88%	1.62%	0.00%	0.00%	0.52%	0.00%	2.73%	2.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	77	13	2	0	1	0	10	5	17	7	2	0	9	5	1	0	2	2	0	0	1					
