Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Михайловская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18738	1152	173	117	804	746	722	120	1248	415	537	285	1041	92	377	275	199	722	122	111	422	1419	294	1019	138	274	153	707	229	911	1033	288	908	226	99	1082	278									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19360	1200	180	210	830	770	740	125	1280	420	550	290	1050	155	390	280	210	740	130	120	435	1450	300	1040	145	290	170	700	235	840	1050	285	950	240	110	1150	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8014	466	63	67	316	332	363	79	475	153	172	133	361	86	167	114	92	300	52	43	191	588	101	458	72	164	73	307	119	372	453	104	451	92	38	488	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2212	117	42	50	131	138	24	7	134	24	110	25	146	6	25	28	9	82	18	44	23	210	68	96	7	24	15	60	22	100	76	49	85	33	31	112	41									
6	Число погашенных избирательных бюллетеней	9134	617	75	93	383	300	353	39	671	243	268	132	543	63	198	138	109	358	60	33	221	652	131	486	66	102	82	333	94	368	521	132	414	115	41	550	150									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2212	117	42	50	131	138	24	7	134	24	110	25	146	6	25	28	9	82	18	44	23	210	68	96	7	24	15	60	22	100	76	49	85	33	31	112	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8014	466	63	67	316	332	363	79	475	153	172	133	361	86	167	114	92	300	52	43	191	588	101	458	72	164	73	307	119	372	453	104	451	92	38	488	109									
9	Число недействительных избирательных бюллетеней	168	9	0	0	4	10	8	1	9	7	1	4	10	1	4	2	1	8	2	1	5	10	1	16	3	1	2	4	3	16	8	2	7	0	0	6	2									
10	Число действительных избирательных бюллетеней	10058	574	105	117	443	460	379	85	600	170	281	154	497	91	188	140	100	374	68	86	209	788	168	538	76	187	86	363	138	456	521	151	529	125	69	594	148									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	483	30	5	5	20	22	15	5	25	5	10	5	10	5	11	5	9	20	5	5	10	40	5	20	5	5	10	15	5	15	20	5	33	8	5	50	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	456	30	5	5	20	22	15	5	25	5	10	5	10	5	11	1	9	20	5	5	10	40	0	20	5	5	10	2	5	15	20	0	33	8	5	50	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	7	2	0	6	8	4	3	1	1	1	3	3	1	4	1	2	5	2	2	1	12	2	3	2	2	2	6	2	10	9	6	2	1	3	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	13	0	0	0	5	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	0	4	2	2	0	6	0	2	0	4	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	3	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	4	1	0	3	12	7	0	7	6	3	0	7	1	0	0	1	1	1	0	1	8	0	7	0	1	0	3	2	5	3	0	1	3	2	4	1									
		0.93%	0.69%	0.95%	0.00%	0.67%	2.55%	1.81%	0.00%	1.15%	3.39%	1.06%	0.00%	1.38%	1.09%	0.00%	0.00%	0.99%	0.26%	1.43%	0.00%	0.47%	1.00%	0.00%	1.26%	0.00%	0.53%	0.00%	0.82%	1.42%	1.06%	0.57%	0.00%	0.19%	2.40%	2.90%	0.67%	0.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	313	11	3	4	5	3	14	1	13	9	11	10	17	2	4	5	1	8	0	5	12	15	2	19	3	10	2	14	3	16	28	3	13	2	3	31	11									
