Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Баксанская городская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №357	УИК №358					
1	"Число избирателей, внесенных в списки избирателей"	32283	2558	2351	2194	2767	1669	1756	1517	1816	2176	2330	2031	1777	1666	2086	1875	1714					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32310	2545	2362	2204	2760	1677	1748	1501	1806	2175	2341	2031	1777	1674	2096	1878	1735					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31941	2527	2327	2191	2734	1655	1736	1501	1793	2150	2311	1992	1759	1651	2067	1833	1714					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	61	2	4	0	0	0	3	0	1	4	0	12	0	0	0	35	0					
6	Число погашенных избирательных бюллетеней	308	16	31	13	26	22	9	0	12	21	30	27	18	23	29	10	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	61	2	4	0	0	0	3	0	1	4	0	12	0	0	0	35	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31941	2527	2327	2191	2734	1655	1736	1501	1793	2150	2311	1992	1759	1651	2067	1833	1714					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	32002	2529	2331	2191	2734	1655	1739	1501	1794	2154	2311	2004	1759	1651	2067	1868	1714					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	35	4	2	1	4	1	4	1	1	8	2	1	6	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	115	5	7	8	5	8	5	8	8	1	7	9	4	10	10	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
