Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																															
Дата голосования: 04.12.2011																																															
																																															
Наименование Избирательной комиссии:    район Бирюлево Восточное																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631					
1	"Число избирателей, внесенных в список избирателей"	84664	2309	2392	2012	2169	2162	2231	2819	2077	2035	2162	1723	2070	2335	2201	2326	2115	2257	1967	2184	1913	2395	2327	2277	2204	2378	2160	1887	2088	1953	2008	1638	1659	2111	2421	2220	2373	2356	2038	2039	673					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76850	2000	2200	1800	2000	2000	2000	2600	2000	1900	2000	1500	1800	2100	2000	2100	2000	2100	1800	2000	1800	2100	2100	2000	2000	2100	1900	1700	2000	1800	1800	1500	1500	2000	2200	2000	2000	2100	1900	1800	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54768	1323	1548	943	1364	1313	934	1803	1454	1348	1456	1216	1503	1597	1393	1521	1327	970	1404	1273	1370	1598	1401	1548	1153	1504	1179	1267	1705	1509	1179	1059	993	1360	2091	1463	1877	1637	1301	1433	451					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1416	20	58	24	30	31	22	71	32	54	35	30	37	63	54	47	44	26	39	28	56	35	46	44	40	65	32	54	27	14	28	7	15	30	13	24	17	45	21	19	39					
6	Число погашенных избирательных бюллетеней	20666	657	594	833	606	656	1044	726	514	498	509	254	260	440	553	532	629	1104	357	699	374	467	653	408	807	531	689	379	268	277	593	434	492	610	96	513	106	418	578	348	160					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1414	19	58	24	30	31	22	71	32	54	35	30	37	63	54	47	44	26	39	28	55	35	46	44	40	65	32	54	27	14	28	7	15	30	13	24	17	45	21	19	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54409	1323	1548	943	1362	1313	926	1803	1454	1348	1456	1216	1490	1597	1393	1520	1296	942	1404	1273	1361	1468	1399	1548	1149	1504	1179	1267	1705	1509	1179	1022	993	1360	2090	1463	1869	1567	1286	1433	451					
9	Число недействительных избирательных бюллетеней	861	27	19	19	16	38	25	22	20	13	23	20	13	3	24	20	24	0	17	24	19	30	15	26	31	0	21	29	17	3	26	25	13	27	24	12	17	36	97	21	5					
10	Число действительных избирательных бюллетеней	54962	1315	1587	948	1376	1306	923	1852	1466	1389	1468	1226	1514	1657	1423	1547	1316	968	1426	1277	1397	1473	1430	1566	1158	1569	1190	1292	1715	1520	1181	1004	995	1363	2079	1475	1869	1576	1210	1431	485					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2011	50	50	50	55	40	40	56	50	50	55	30	50	55	50	55	40	55	45	50	55	55	55	55	50	55	50	40	45	65	50	30	50	50	55	45	45	55	50	50	80					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1952	50	50	50	50	30	40	56	50	50	55	21	50	55	50	55	33	50	45	45	51	54	55	55	50	55	47	40	45	65	50	30	50	50	55	45	45	55	50	50	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1011	44	11	32	27	35	110	33	9	8	6	32	62	10	6	3	13	18	5	6	28	22	9	17	22	37	80	19	23	0	7	7	6	8	19	19	115	28	12	29	34					
14	Число погашенных неиспользованных открепительных удостоверений	59	0	0	0	5	10	0	0	0	0	0	9	0	0	0	0	7	5	0	5	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	489	12	5	17	19	7	17	10	12	6	13	21	12	7	5	11	10	17	10	14	10	11	15	5	11	16	12	11	15	16	18	25	11	21	23	7	12	8	12	3	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5673	151	167	172	126	184	143	194	80	167	153	120	130	124	148	149	92	114	164	167	141	193	190	128	170	130	194	90	178	21	133	115	60	152	221	199	113	204	108	175	13					
		10.16%	11.25%	10.40%	17.79%	9.05%	13.69%	15.08%	10.35%	5.38%	11.91%	10.26%	9.63%	8.51%	7.47%	10.23%	9.51%	6.87%	11.78%	11.37%	12.84%	9.96%	12.84%	13.15%	8.04%	14.30%	8.29%	16.02%	6.81%	10.28%	1.38%	11.02%	11.18%	5.95%	10.94%	10.51%	13.38%	5.99%	12.66%	8.26%	12.05%	2.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5352	201	161	129	193	178	174	188	65	101	178	96	150	172	152	148	107	118	127	141	130	148	130	131	144	79	141	91	154	148	114	129	129	177	218	44	22	191	85	125	43					
		9.59%	14.98%	10.02%	13.34%	13.86%	13.24%	18.35%	10.03%	4.37%	7.20%	11.94%	7.70%	9.82%	10.36%	10.50%	9.44%	7.99%	12.19%	8.80%	10.84%	9.18%	9.85%	8.99%	8.23%	12.11%	5.04%	11.64%	6.89%	8.89%	9.72%	9.44%	12.54%	12.80%	12.73%	10.37%	2.96%	1.17%	11.85%	6.50%	8.61%	8.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	643	15	23	10	17	10	15	25	11	14	12	9	15	18	25	19	34	5	18	16	14	13	10	13	16	4	21	27	15	17	13	10	13	26	23	9	12	18	16	36	6					
		1.15%	1.12%	1.43%	1.03%	1.22%	0.74%	1.58%	1.33%	0.74%	0.99%	0.80%	0.72%	0.98%	1.08%	1.73%	1.21%	2.54%	0.52%	1.25%	1.23%	0.99%	0.86%	0.69%	0.82%	1.35%	0.25%	1.73%	2.04%	0.87%	1.12%	1.08%	0.97%	1.29%	1.87%	1.09%	0.61%	0.64%	1.12%	1.22%	2.48%	1.22%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9636	209	306	210	223	250	217	253	125	208	274	136	277	333	205	301	273	148	175	267	240	248	246	235	262	488	360	242	229	123	173	152	159	251	341	268	496	257	157	271	48					
		17.26%	15.57%	19.05%	21.72%	16.02%	18.60%	22.89%	13.50%	8.41%	14.84%	18.38%	10.91%	18.14%	20.06%	14.17%	19.21%	20.37%	15.29%	12.13%	20.52%	16.95%	16.50%	17.02%	14.76%	22.04%	31.10%	29.73%	18.32%	13.22%	8.08%	14.33%	14.77%	15.77%	18.06%	16.21%	18.02%	26.30%	15.94%	12.01%	18.66%	9.80%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2703	92	144	111	89	25	57	134	28	89	44	64	30	44	27	101	86	51	108	91	87	104	60	31	99	3	97	76	71	19	82	46	55	70	50	12	20	107	71	119	9					
