Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Кинешемская городская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №783									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69571	1741	1121	1086	1703	1606	1789	1130	996	1396	1392	1795	1992	1584	1558	1887	1766	1907	1775	1913	1813	1761	1549	1874	1218	1170	1061	1009	1324	1333	1157	1274	1892	1058	1116	993	1915	1487	1453	1302	1226	1715	1797	1715	1510	1718	1898	96									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24135	454	258	309	1300	428	483	353	266	402	461	526	558	459	421	627	526	553	1500	628	511	522	478	508	366	335	1000	1000	448	504	420	457	615	241	306	236	437	323	406	312	306	391	523	441	387	450	1600	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18857	439	252	299	429	412	465	348	261	391	453	511	546	446	407	612	507	531	490	614	498	507	453	479	352	310	316	320	433	496	404	449	615	216	306	231	385	316	361	268	238	365	512	412	374	388	348	92									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	924	15	6	10	43	16	18	5	5	11	8	15	12	13	14	15	19	22	21	14	13	15	25	29	14	25	22	7	15	8	16	8	0	25	0	5	52	7	45	44	68	26	11	29	13	62	54	4									
6	Число погашенных избирательных бюллетеней	4354	0	0	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	662	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1198	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	919	15	6	10	43	16	18	5	5	11	8	15	12	13	14	15	19	22	21	14	13	15	25	29	14	25	22	7	15	8	16	8	0	23	0	5	50	7	45	44	68	25	11	29	13	62	54	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18837	437	252	299	429	412	465	348	260	391	453	510	545	445	407	612	507	527	490	613	498	507	452	477	352	310	316	320	432	496	404	448	615	216	306	231	385	316	360	268	238	365	512	412	374	385	348	92									
9	Число недействительных избирательных бюллетеней	161	4	1	2	5	4	6	5	2	6	3	3	11	2	4	2	1	5	5	4	4	5	2	4	4	0	7	5	5	2	5	3	0	2	1	3	0	3	6	0	0	0	4	2	5	3	3	8									
10	Число действительных избирательных бюллетеней	19595	448	257	307	467	424	477	348	263	396	458	522	546	456	417	625	525	544	506	623	507	517	475	502	362	335	331	322	442	502	415	453	615	237	305	233	435	320	399	312	306	390	519	439	382	444	399	88									
