Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Новокубанская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65181	182	254	2151	1819	2411	417	117	1087	547	208	431	570	629	282	434	197	1422	1743	1485	1202	1621	2146	1664	1615	868	1625	1622	1189	1678	1612	2379	926	1825	986	1147	372	298	1855	1747	2145	268	393	93	292	164	861	2620	405	675	1229	1130	1274	1580	1106	1110	854	175	1334	1912	798									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64832	178	265	2100	1800	2400	412	115	1020	535	205	430	560	620	280	430	200	1415	1740	1490	1190	1640	2150	1665	1600	870	1620	1650	1220	1680	1550	2370	920	1820	960	1140	360	290	1870	1730	2140	270	390	92	290	162	870	2630	401	660	1220	1130	1280	1570	1100	1110	850	177	1300	1900	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25645	118	110	857	733	728	139	81	418	379	140	192	235	281	249	312	115	550	576	394	408	633	638	497	412	285	426	350	361	474	457	679	271	585	246	482	131	113	496	422	796	148	285	82	188	105	356	1399	195	384	678	527	451	523	457	520	392	132	990	1485	579									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3195	4	21	72	38	99	51	5	41	62	3	41	22	12	13	0	11	47	41	44	46	40	333	84	144	47	13	82	39	65	113	111	30	42	73	54	57	42	46	63	109	17	29	3	18	15	75	76	32	37	59	86	42	97	160	78	36	8	20	30	17									
6	Число погашенных избирательных бюллетеней	35992	56	134	1171	1029	1573	222	29	561	94	62	197	303	327	18	118	74	818	1123	1052	736	967	1179	1084	1044	538	1181	1218	820	1141	980	1580	619	1193	641	604	172	135	1328	1245	1235	105	76	7	84	42	439	1155	174	239	483	517	787	950	483	512	422	37	290	385	204									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3195	4	21	72	38	99	51	5	41	62	3	41	22	12	13	0	11	47	41	44	46	40	333	84	144	47	13	82	39	65	113	111	30	42	73	54	57	42	46	63	109	17	29	3	18	15	75	76	32	37	59	86	42	97	160	78	36	8	20	30	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25624	118	110	857	733	728	139	81	418	379	140	192	235	281	249	312	115	548	576	394	408	633	630	497	412	285	425	350	360	474	457	679	271	585	246	482	131	113	496	422	796	148	285	82	188	105	356	1399	195	384	678	527	451	514	457	520	392	132	990	1485	579									
9	Число недействительных избирательных бюллетеней	551	3	5	20	22	17	7	2	12	5	3	4	8	9	4	6	2	11	10	10	8	19	23	9	9	7	7	7	8	4	14	16	2	14	9	10	2	5	13	7	18	4	0	0	2	0	14	28	1	3	14	0	15	25	26	12	14	2	14	0	6									
10	Число действительных избирательных бюллетеней	28268	119	126	909	749	810	183	84	447	436	140	229	249	284	258	306	124	584	607	428	446	654	940	572	547	325	431	425	391	535	556	774	299	613	310	526	186	150	529	478	887	161	314	85	204	120	417	1447	226	418	723	613	478	586	591	586	414	138	996	1515	590									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	10	10	15	20	20	10	10	20	10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	10	20	20	20	20	20	25	20	20	20	10	10	10	15	10	25	10	10	5	10	10	25	20	10	10	10	10	15	10	10	10	10	10	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	356	0	10	10	9	8	0	1	3	0	0	5	0	3	1	0	10	14	10	4	8	20	8	7	11	10	10	20	20	20	7	12	2	6	5	2	0	1	7	7	10	0	0	0	1	0	9	20	1	1	10	9	6	4	2	2	4	0	0	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	155	2	1	5	1	6	1	2	5	3	0	5	3	1	1	1	0	5	0	0	11	0	6	1	6	3	1	6	0	4	9	2	3	3	0	3	0	2	2	0	5	1	1	1	4	1	1	4	2	1	2	5	7	6	0	0	6	0	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	504	10	0	5	11	12	10	9	17	10	10	5	10	7	9	10	0	6	10	16	12	0	12	13	9	0	10	0	0	0	13	13	18	14	15	8	10	9	8	3	15	10	10	5	9	10	16	0	9	9	0	1	9	6	8	8	6	10	10	15	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	0	0	3	2	5	0	0	0	1	0	0	0	0	0	0	0	2	1	1	2	4	0	5	1	3	2	3	3	1	2	3	1	1	3	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	373	3	4	13	12	15	2	0	4	3	1	1	1	3	1	1	0	10	13	4	14	12	11	9	5	7	10	8	6	13	11	10	2	12	3	2	0	1	5	10	21	3	0	0	2	2	8	15	3	4	0	5	10	7	16	1	5	2	11	12	4									
		1.29%	2.46%	3.05%	1.40%	1.56%	1.81%	1.05%	0.00%	0.87%	0.68%	0.70%	0.43%	0.39%	1.02%	0.38%	0.32%	0.00%	1.68%	2.11%	0.91%	3.08%	1.78%	1.14%	1.55%	0.90%	2.11%	2.28%	1.85%	1.50%	2.41%	1.93%	1.27%	0.66%	1.91%	0.94%	0.37%	0.00%	0.65%	0.92%	2.06%	2.32%	1.82%	0.00%	0.00%	0.97%	1.67%	1.86%	1.02%	1.32%	0.95%	0.00%	0.82%	2.03%	1.15%	2.59%	0.17%	1.17%	1.43%	1.09%	0.79%	0.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	680	2	0	27	21	24	3	4	13	0	2	3	2	10	5	2	3	14	20	14	11	13	24	25	10	10	16	11	4	13	16	12	5	13	12	14	3	4	16	11	28	5	1	0	4	2	5	44	3	15	15	16	12	19	20	5	15	3	19	25	12									
		2.36%	1.64%	0.00%	2.91%	2.72%	2.90%	1.58%	4.65%	2.83%	0.00%	1.40%	1.29%	0.78%	3.41%	1.91%	0.64%	2.38%	2.35%	3.24%	3.20%	2.42%	1.93%	2.49%	4.30%	1.80%	3.01%	3.65%	2.55%	1.00%	2.41%	2.81%	1.52%	1.66%	2.07%	3.76%	2.61%	1.60%	2.58%	2.95%	2.27%	3.09%	3.03%	0.32%	0.00%	1.94%	1.67%	1.16%	2.98%	1.32%	3.56%	2.04%	2.61%	2.43%	3.11%	3.24%	0.84%	3.50%	2.14%	1.88%	1.65%	2.01%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	589	4	1	18	15	9	4	1	12	4	1	3	7	6	5	2	2	22	15	14	6	20	15	16	2	17	11	7	13	17	18	26	9	29	10	9	3	6	9	16	25	1	6	0	2	0	18	23	5	5	6	6	17	13	9	2	17	2	12	14	2									
		2.04%	3.28%	0.76%	1.94%	1.95%	1.09%	2.11%	1.16%	2.61%	0.91%	0.70%	1.29%	2.72%	2.05%	1.91%	0.64%	1.59%	3.70%	2.43%	3.20%	1.32%	2.97%	1.56%	2.75%	0.36%	5.12%	2.51%	1.62%	3.26%	3.15%	3.16%	3.29%	2.99%	4.63%	3.13%	1.68%	1.60%	3.87%	1.66%	3.30%	2.76%	0.61%	1.91%	0.00%	0.97%	0.00%	4.18%	1.56%	2.20%	1.19%	0.81%	0.98%	3.45%	2.13%	1.46%	0.33%	3.97%	1.43%	1.19%	0.92%	0.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16059	53	77	469	360	380	101	55	172	303	84	160	138	166	201	243	79	253	220	193	194	319	583	266	308	139	173	198	195	208	234	348	176	269	146	298	154	90	281	231	462	86	258	69	149	75	252	880	119	269	450	429	253	287	343	420	202	100	859	1117	463									
		55.72%	43.44%	58.78%	50.48%	46.69%	45.95%	53.16%	63.95%	37.47%	68.71%	58.74%	68.67%	53.70%	56.66%	76.72%	77.88%	62.70%	42.52%	35.66%	44.06%	42.73%	47.40%	60.54%	45.78%	55.40%	41.87%	39.50%	45.83%	48.87%	38.59%	41.05%	44.05%	58.47%	42.90%	45.77%	55.60%	81.91%	58.06%	51.85%	47.63%	51.05%	52.12%	82.17%	81.18%	72.33%	62.50%	58.47%	59.66%	52.42%	63.90%	61.06%	69.98%	51.32%	46.97%	55.59%	70.23%	47.20%	71.43%	85.05%	73.73%	77.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	149	0	0	5	6	6	2	0	2	3	0	2	0	0	0	3	0	8	6	5	3	6	5	4	4	2	1	3	2	4	3	4	1	1	4	1	0	1	3	3	10	0	0	0	0	2	1	5	1	1	1	3	3	2	1	0	4	0	5	7	0									
		0.52%	0.00%	0.00%	0.54%	0.78%	0.73%	1.05%	0.00%	0.44%	0.68%	0.00%	0.86%	0.00%	0.00%	0.00%	0.96%	0.00%	1.34%	0.97%	1.14%	0.66%	0.89%	0.52%	0.69%	0.72%	0.60%	0.23%	0.69%	0.50%	0.74%	0.53%	0.51%	0.33%	0.16%	1.25%	0.19%	0.00%	0.65%	0.55%	0.62%	1.10%	0.00%	0.00%	0.00%	0.00%	1.67%	0.23%	0.34%	0.44%	0.24%	0.14%	0.49%	0.61%	0.33%	0.16%	0.00%	0.93%	0.00%	0.50%	0.46%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	63	0	0	2	0	2	0	0	3	0	0	0	2	0	0	0	0	1	0	1	3	1	3	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	4	0	1	8	7	2	1	2	0	4	0	3	0	0									
		0.22%	0.00%	0.00%	0.22%	0.00%	0.24%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.23%	0.66%	0.15%	0.31%	0.34%	0.00%	0.00%	0.23%	0.23%	0.25%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.18%	0.00%	0.33%	1.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.24%	1.09%	1.14%	0.41%	0.16%	0.32%	0.00%	0.93%	0.00%	0.30%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5008	18	26	200	164	196	32	13	133	64	27	30	53	59	26	27	17	118	154	89	91	147	149	126	109	60	125	75	93	120	131	185	46	137	53	87	18	27	86	89	132	29	31	1	22	24	90	242	41	68	96	65	81	111	90	63	110	12	40	199	61									
		17.38%	14.75%	19.85%	21.53%	21.27%	23.70%	16.84%	15.12%	28.98%	14.51%	18.88%	12.88%	20.62%	20.14%	9.92%	8.65%	13.49%	19.83%	24.96%	20.32%	20.04%	21.84%	15.47%	21.69%	19.60%	18.07%	28.54%	17.36%	23.31%	22.26%	22.98%	23.42%	15.28%	21.85%	16.61%	16.23%	9.57%	17.42%	15.87%	18.35%	14.59%	17.58%	9.87%	1.18%	10.68%	20.00%	20.88%	16.41%	18.06%	16.15%	13.03%	10.60%	16.43%	18.17%	14.59%	10.54%	25.70%	8.57%	3.96%	13.14%	10.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	121	1	0	3	4	3	0	0	6	0	0	2	0	0	3	0	0	2	5	2	1	3	3	4	1	2	2	5	0	4	6	10	3	5	1	0	0	2	0	2	6	0	2	0	0	0	1	5	2	0	3	1	2	4	4	0	3	1	2	0	0									
