Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Анивская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в список"	11684	2363	300	137	251	199	318	174	109	795	318	126	2907	2275	1412					
2	Число полученных избирательных бюллетеней	11161	2290	340	150	265	208	340	160	116	750	323	129	2870	1780	1440					
3	"Число избирательных бюллетеней, выданных  досрочно"	34	0	0	0	0	0	0	0	0	34	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7644	1511	244	92	218	170	253	112	87	468	256	104	1679	1624	826					
5	"Число избирательных бюллетеней, выданных вне помещения"	592	64	9	23	6	23	16	18	16	182	30	6	100	60	39					
6	Число погашенных избирательных бюллетеней	2891	715	87	35	41	15	71	30	13	66	37	19	1091	96	575					
7	Число избирательных бюллетеней в переносных ящиках	626	64	9	23	6	23	16	18	16	216	30	6	100	60	39					
8	Число бюллетеней в стационарных ящиках для голосования	7643	1511	244	92	218	170	253	112	87	468	256	104	1679	1624	825					
9	Число недействительных избирательных бюллетеней	79	13	4	0	7	2	3	0	4	6	2	0	18	12	8					
10	Число действительных избирательных бюллетеней	8190	1562	249	115	217	191	266	130	99	678	284	110	1761	1672	856					
11	Число полученных открепительных  удостоверений	190	20	6	12	6	8	7	6	6	22	3	1	33	41	19					
12	Число выданных открепительных удостоверений	156	18	1	12	0	6	5	3	5	22	3	1	25	40	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	15	4	6	3	2	4	3	8	6	4	5	12	11	4					
14	Число неиспользованных открепительных удостоверений	34	2	5	0	6	2	2	3	1	0	0	0	8	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	0	0	0	0	0	0	2	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	226	50	7	8	7	7	5	6	3	10	3	4	45	42	29					
		2.73%	3.17%	2.77%	6.96%	3.12%	3.63%	1.86%	4.62%	2.91%	1.46%	1.05%	3.64%	2.53%	2.49%	3.36%					
19	. Малышкин Олег Александрович	187	28	0	6	10	2	5	8	3	18	9	3	53	28	14					
		2.26%	1.78%	0.00%	5.22%	4.46%	1.04%	1.86%	6.15%	2.91%	2.63%	3.15%	2.73%	2.98%	1.66%	1.62%					
20	. Миронов Сергей Михайлович	52	12	2	1	3	1	2	1	1	4	5	0	7	9	4					
		0.63%	0.76%	0.79%	0.87%	1.34%	0.52%	0.74%	0.77%	0.97%	0.58%	1.75%	0.00%	0.39%	0.53%	0.46%					
21	. Путин Владимир Владимирович	5856	1162	206	85	149	134	193	65	75	538	212	54	1108	1287	588					
		70.82%	73.78%	81.42%	73.91%	66.52%	69.43%	71.75%	50.00%	72.82%	78.65%	74.13%	49.09%	62.28%	76.43%	68.06%					
22	. Хакамада Ирина Муцуовна	282	56	3	2	6	7	8	2	1	25	8	2	62	52	48					
		3.41%	3.56%	1.19%	1.74%	2.68%	3.63%	2.97%	1.54%	0.97%	3.65%	2.80%	1.82%	3.49%	3.09%	5.56%					
23	. Харитонов Николай Михайлович	1222	181	22	8	27	31	43	46	13	60	35	45	398	182	131					
		14.78%	11.49%	8.70%	6.96%	12.05%	16.06%	15.99%	35.38%	12.62%	8.77%	12.24%	40.91%	22.37%	10.81%	15.16%					
																					
24	Против всех	365	73	9	5	15	9	10	2	3	23	12	2	88	72	42					
		4.41%	4.63%	3.56%	4.35%	6.70%	4.66%	3.72%	1.54%	2.91%	3.36%	4.20%	1.82%	4.95%	4.28%	4.86%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
