Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Гунибская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362					
1	"Число избирателей, внесенных в списки избирателей"	13701	529	35	213	301	630	1374	271	230	112	121	467	263	61	501	114	45	464	456	422	334	70	122	38	670	238	198	393	20	621	61	422	648	652	321	393	252	401	209	94	180	452	228	75					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13458	500	30	200	300	620	1320	270	220	120	118	470	260	60	490	110	50	450	450	410	330	65	120	40	670	230	190	390	20	620	55	420	640	640	305	400	260	380	205	115	180	430	230	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10976	301	30	199	276	617	1060	254	220	101	118	325	171	60	435	105	41	343	382	301	322	65	119	34	536	142	169	281	19	411	48	199	561	552	250	357	231	380	189	86	180	282	175	49					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1139	82	0	0	0	0	68	0	0	0	0	65	38	0	13	5	0	93	66	72	8	0	0	0	84	0	8	21	0	84	4	221	9	62	50	6	0	0	0	0	0	30	24	26					
6	Число погашенных избирательных бюллетеней	1343	117	0	1	24	3	192	16	0	19	0	80	51	0	42	0	9	14	2	37	0	0	1	6	50	88	13	88	1	125	3	0	70	26	5	37	29	0	16	29	0	118	31	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1139	82	0	0	0	0	68	0	0	0	0	65	38	0	13	5	0	93	66	72	8	0	0	0	84	0	8	21	0	84	4	221	9	62	50	6	0	0	0	0	0	30	24	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10974	301	30	199	276	617	1060	254	220	101	118	325	171	60	433	105	41	343	382	301	322	65	119	34	536	142	169	281	19	411	48	199	561	552	250	357	231	380	189	86	180	282	175	49					
9	Число недействительных избирательных бюллетеней	44	0	2	0	0	3	3	0	4	0	4	0	0	1	5	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	4	0	3	0	2	0	0	0	5	0	0					
10	Число действительных избирательных бюллетеней	12069	383	28	199	276	614	1125	254	216	101	114	390	209	59	441	107	41	435	448	373	330	65	117	34	620	142	177	302	19	495	51	420	569	610	300	360	231	378	189	86	180	307	199	75					
