Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Целинная																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14464	516	395	1512	716	207	481	850	305	236	170	1345	1328	644	1618	1451	1148	840	702									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14890	530	420	1550	720	250	520	870	350	280	200	1370	1370	670	1570	1470	1200	850	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7621	266	302	673	307	179	298	520	242	195	158	577	694	311	943	497	438	733	288									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	418	15	28	32	20	17	48	40	25	7	2	3	5	23	28	20	45	39	21									
6	Число погашенных избирательных бюллетеней	6851	249	90	845	393	54	174	310	83	78	40	790	671	336	599	953	717	78	391									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	418	15	28	32	20	17	48	40	25	7	2	3	5	23	28	20	45	39	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7621	266	302	673	307	179	298	520	242	195	158	577	694	311	943	497	438	733	288									
9	Число недействительных избирательных бюллетеней	130	4	0	13	0	1	3	6	4	4	0	24	4	7	31	15	4	0	10									
10	Число действительных избирательных бюллетеней	7909	277	330	692	327	195	343	554	263	198	160	556	695	327	940	502	479	772	299									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	552	22	12	50	12	30	38	28	15	35	25	42	43	30	40	47	33	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	477	22	12	50	12	20	38	19	15	35	25	25	43	26	33	34	33	15	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	284	12	4	12	6	15	9	10	15	10	9	11	13	9	93	13	9	17	17									
14	Число погашенных неиспользованных открепительных удостоверений	75	0	0	0	0	10	0	9	0	0	0	17	0	4	7	13	0	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	178	4	0	24	4	39	5	3	23	0	15	7	7	2	19	8	8	9	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	6	1	9	4	0	2	1	0	0	0	4	6	2	7	5	5	0	3									
		0.68%	2.14%	0.30%	1.28%	1.22%	0.00%	0.58%	0.18%	0.00%	0.00%	0.00%	0.69%	0.86%	0.60%	0.72%	0.97%	1.04%	0.00%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	199	12	8	25	11	0	8	18	1	4	2	24	13	16	12	16	6	3	20									
		2.48%	4.27%	2.42%	3.55%	3.36%	0.00%	2.31%	3.21%	0.37%	1.98%	1.25%	4.14%	1.86%	4.79%	1.24%	3.09%	1.24%	0.39%	6.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	157	9	3	8	1	1	6	18	1	1	2	21	12	11	34	14	1	0	14									
		1.95%	3.20%	0.91%	1.13%	0.31%	0.51%	1.73%	3.21%	0.37%	0.50%	1.25%	3.62%	1.72%	3.29%	3.50%	2.71%	0.21%	0.00%	4.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5181	163	246	372	194	148	257	407	217	168	146	249	541	174	608	233	371	538	149									
		64.45%	58.01%	74.55%	52.77%	59.33%	75.51%	74.28%	72.68%	81.27%	83.17%	91.25%	42.93%	77.40%	52.10%	62.62%	45.07%	76.81%	69.69%	48.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	57	3	0	7	0	0	2	1	1	1	0	11	3	3	12	5	1	5	2									
		0.71%	1.07%	0.00%	0.99%	0.00%	0.00%	0.58%	0.18%	0.37%	0.50%	0.00%	1.90%	0.43%	0.90%	1.24%	0.97%	0.21%	0.65%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	5	0	3	2	0	0	1	1	1	0	3	5	2	4	1	2	0	1									
		0.39%	1.78%	0.00%	0.43%	0.61%	0.00%	0.00%	0.18%	0.37%	0.50%	0.00%	0.52%	0.72%	0.60%	0.41%	0.19%	0.41%	0.00%	0.32%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	428	8	11	102	14	5	33	13	9	4	0	29	19	40	32	55	20	5	29									
		5.32%	2.85%	3.33%	14.47%	4.28%	2.55%	9.54%	2.32%	3.37%	1.98%	0.00%	5.00%	2.72%	11.98%	3.30%	10.64%	4.14%	0.65%	9.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	0	1	1	0	1	1	1	2	1	4	1	0	2	1	1	0	3									
		0.25%	0.00%	0.00%	0.14%	0.31%	0.00%	0.29%	0.18%	0.37%	0.99%	0.63%	0.69%	0.14%	0.00%	0.21%	0.19%	0.21%	0.00%	0.97%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	43	4	1	8	3	1	1	2	2	0	0	5	4	3	2	2	3	0	2									
		0.53%	1.42%	0.30%	1.13%	0.92%	0.51%	0.29%	0.36%	0.75%	0.00%	0.00%	0.86%	0.57%	0.90%	0.21%	0.39%	0.62%	0.00%	0.65%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	2	1	2	1	1	0	2	0	0	0	1	1	2	3	0	0	0	0									
		0.20%	0.71%	0.30%	0.28%	0.31%	0.51%	0.00%	0.36%	0.00%	0.00%	0.00%	0.17%	0.14%	0.60%	0.31%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	0	0	10	8	9	3	5	3	2	1	11	12	4	17	10	3	0	2									
		1.24%	0.00%	0.00%	1.42%	2.45%	4.59%	0.87%	0.89%	1.12%	0.99%	0.63%	1.90%	1.72%	1.20%	1.75%	1.93%	0.62%	0.00%	0.65%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	768	40	30	120	62	13	19	52	12	11	4	106	32	40	82	82	25	2	36									
		9.55%	14.23%	9.09%	17.02%	18.96%	6.63%	5.49%	9.29%	4.49%	5.45%	2.50%	18.28%	4.58%	11.98%	8.44%	15.86%	5.18%	0.26%	11.65%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	277	16	3	12	5	6	3	20	2	0	2	46	22	4	56	39	20	2	19									
		3.45%	5.69%	0.91%	1.70%	1.53%	3.06%	0.87%	3.57%	0.75%	0.00%	1.25%	7.93%	3.15%	1.20%	5.77%	7.54%	4.14%	0.26%	6.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	577	9	26	13	21	11	8	13	13	4	2	42	24	26	69	39	21	217	19									
		7.18%	3.20%	7.88%	1.84%	6.42%	5.61%	2.31%	2.32%	4.87%	1.98%	1.25%	7.24%	3.43%	7.78%	7.11%	7.54%	4.35%	28.11%	6.15%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
