Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Тацинская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28876	2061	1167	1090	1101	1036	1801	1787	893	699	710	386	442	753	91	565	1189	1885	1230	407	653	354	617	491	289	174	563	1483	717	280	979	505	584	1894									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29351	2089	1179	1109	1114	1044	1852	1806	910	703	719	390	445	776	90	561	1224	1976	1260	406	657	354	624	491	287	176	577	1527	720	285	995	508	591	1906									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15708	1368	584	563	616	446	765	1078	615	482	429	227	254	342	82	347	676	1025	693	181	381	212	296	293	164	94	146	586	418	197	635	347	372	794									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1936	30	135	37	104	29	29	145	86	16	34	32	57	92	5	62	75	49	79	24	37	26	25	50	38	36	122	174	70	11	101	19	21	86									
6	Число погашенных избирательных бюллетеней	11707	691	460	509	394	569	1058	583	209	205	256	131	134	342	3	152	473	902	488	201	239	116	303	148	85	46	309	767	232	77	259	142	198	1026									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1936	30	135	37	104	29	29	145	86	16	34	32	57	92	5	62	75	49	79	24	37	26	25	50	38	36	122	174	70	11	101	19	21	86									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15677	1368	584	563	585	446	765	1078	615	482	429	227	254	342	82	347	676	1025	693	181	381	212	296	293	164	94	146	586	418	197	635	347	372	794									
9	Число недействительных избирательных бюллетеней	301	24	11	32	14	13	60	9	5	2	6	0	4	5	0	7	3	3	21	5	4	5	1	5	0	0	0	8	6	3	2	6	4	33									
10	Число действительных избирательных бюллетеней	17312	1374	708	568	675	462	734	1214	696	496	457	259	307	429	87	402	748	1071	751	200	414	233	320	338	202	130	268	752	482	205	734	360	389	847									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	630	30	15	20	20	10	30	40	20	10	10	15	10	20	5	25	30	74	20	10	5	20	6	5	15	5	15	35	10	5	15	10	20	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	345	17	7	20	6	10	26	17	2	1	1	5	2	20	0	1	30	74	18	1	1	0	4	1	0	0	15	35	0	5	8	4	4	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	9	1	2	3	5	3	3	0	0	0	2	0	2	2	2	2	3	2	2	1	1	5	2	2	0	2	0	1	3	1	1	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	285	13	8	0	14	0	4	23	18	9	9	10	8	0	5	24	0	0	2	9	4	20	2	4	15	5	0	0	10	0	7	6	16	40									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	10	4	0	2	2	7	2	4	0	4	0	0	2	0	0	0	5	0	0	0	0	7	0	0	0	1	5	4	4	5	0	0	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	207	31	6	8	16	5	11	11	10	3	4	2	4	5	0	4	7	14	8	2	4	7	2	2	2	0	0	13	1	1	8	2	3	11									
		1.18%	2.22%	0.83%	1.33%	2.32%	1.05%	1.39%	0.90%	1.43%	0.60%	0.86%	0.77%	1.29%	1.15%	0.00%	0.98%	0.93%	1.30%	1.04%	0.98%	0.96%	2.94%	0.62%	0.58%	0.99%	0.00%	0.00%	1.71%	0.20%	0.48%	1.09%	0.55%	0.76%	1.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	463	39	37	15	37	16	13	28	5	13	16	3	10	17	1	11	17	16	20	7	10	4	8	8	3	7	1	22	9	9	13	6	4	38									
		2.63%	2.79%	5.15%	2.50%	5.37%	3.37%	1.64%	2.29%	0.71%	2.61%	3.46%	1.16%	3.22%	3.92%	1.15%	2.69%	2.26%	1.49%	2.59%	3.41%	2.39%	1.68%	2.49%	2.33%	1.49%	5.38%	0.37%	2.89%	1.84%	4.33%	1.77%	1.64%	1.02%	4.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	325	51	13	15	21	18	21	15	5	1	5	4	3	7	0	10	5	19	5	6	6	1	8	5	2	0	5	17	4	5	8	6	4	30									
		1.85%	3.65%	1.81%	2.50%	3.05%	3.79%	2.64%	1.23%	0.71%	0.20%	1.08%	1.54%	0.96%	1.61%	0.00%	2.44%	0.67%	1.77%	0.65%	2.93%	1.44%	0.42%	2.49%	1.46%	0.99%	0.00%	1.87%	2.24%	0.82%	2.40%	1.09%	1.64%	1.02%	3.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11689	859	462	403	343	236	399	939	570	379	289	172	200	286	81	293	488	707	489	109	296	167	234	248	155	105	178	530	395	153	552	294	289	389									
		66.37%	61.44%	64.26%	67.17%	49.78%	49.68%	50.25%	76.78%	81.31%	76.10%	62.42%	66.41%	64.31%	65.90%	93.10%	71.64%	64.98%	65.83%	63.34%	53.17%	70.81%	70.17%	72.90%	72.30%	76.73%	80.77%	66.42%	69.74%	80.94%	73.56%	75.00%	80.33%	73.54%	44.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	85	14	3	3	12	0	2	4	2	1	2	3	0	0	0	2	8	2	0	1	1	0	0	0	0	0	0	8	4	0	2	0	3	8									
		0.48%	1.00%	0.42%	0.50%	1.74%	0.00%	0.25%	0.33%	0.29%	0.20%	0.43%	1.16%	0.00%	0.00%	0.00%	0.49%	1.07%	0.19%	0.00%	0.49%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.82%	0.00%	0.27%	0.00%	0.76%	0.91%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	4	0	0	13	0	2	1	2	1	3	0	1	0	1	1	1	4	1	1	3	0	0	0	0	0	1	0	0	0	2	0	0	1									
