Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Среднеканская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список избирателей"	2900	1031	1603	266					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2943	1024	1650	269					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	602	0	602	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1043	489	406	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	188	114	25	49					
6	Число погашенных избирательных бюллетеней	1110	421	617	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	790	114	627	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1043	489	406	148					
9	Число недействительных избирательных бюллетеней	31	17	11	3					
10	Число действительных избирательных бюллетеней	1802	586	1022	194					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	50	50	47					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	12	4	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	7	2	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	135	46	45	44					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	155	73	61	21					
		8.46%	12.11%	5.91%	10.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	220	102	100	18					
		12.00%	16.92%	9.68%	9.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	10	11	2					
		1.25%	1.66%	1.06%	1.02%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	252	117	112	23					
		13.75%	19.40%	10.84%	11.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	14	26	2					
		2.29%	2.32%	2.52%	1.02%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1100	267	705	128					
		60.01%	44.28%	68.25%	64.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	3	7	0					
		0.55%	0.50%	0.68%	0.00%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
