Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    г.Ростов-на-Дону, Кировская"																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1611	УИК  1612	УИК  1613	УИК  1614	УИК  1615	УИК  1616	УИК  1617	УИК  1618	УИК  1619	УИК  1620	УИК  1621	УИК  1622	УИК  1623	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1639					
1	"Число избирателей, внесенных в списки"	56133	1982	1619	1974	2628	2262	3516	2040	1794	2269	2450	2557	2448	1721	2254	2033	2655	2350	1710	2075	2380	2734	2122	2656	1221	1696	987					
2	"Число бюллетеней, полученных участковыми комиссиями"	54137	2000	1600	1850	2500	2200	3200	2000	1800	2100	2400	2500	2300	1700	2200	2000	2600	2250	1650	1950	2400	2600	2050	2550	1150	1600	987					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26874	764	649	862	1300	1142	1882	1236	824	1111	943	943	1109	855	1146	1012	1310	1086	639	949	1266	1378	1059	1207	526	694	982					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3337	156	86	73	264	144	566	71	128	83	66	294	100	96	97	53	178	83	131	111	119	96	114	67	46	115	0					
6	Число погашенных бюллетеней	23926	1080	865	915	936	914	752	693	848	906	1391	1263	1091	749	957	935	1112	1081	880	890	1015	1126	877	1276	578	791	5					
7	Число бюллетеней в переносных ящиках для голосования	3336	156	86	73	264	144	566	71	128	83	66	294	100	96	97	53	178	83	131	111	118	96	114	67	46	115	0					
8	Число бюллетеней в стационарных ящиках для голосования	26842	764	649	862	1300	1142	1882	1234	824	1109	941	928	1108	855	1144	1012	1310	1086	639	945	1264	1377	1059	1206	526	694	982					
9	Число недействительных бюллетеней	247	10	12	10	5	12	21	8	10	7	12	7	11	6	5	12	12	16	13	11	6	10	3	9	6	8	5					
10	Число действительных бюллетеней	29931	910	723	925	1559	1274	2427	1297	942	1185	995	1215	1197	945	1236	1053	1476	1153	757	1045	1376	1463	1170	1264	566	801	977					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1994	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	74	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	797	21	15	21	29	65	38	30	27	48	46	21	32	35	35	30	38	32	21	23	54	38	23	41	14	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	713	13	47	29	42	26	34	14	13	25	13	187	19	35	21	22	23	18	12	22	10	17	15	20	16	13	7					
14	Число погашенных открепительных удостоверений	1197	59	65	59	51	15	42	50	53	32	34	59	48	45	45	50	42	48	59	57	26	42	57	39	66	54	0					
15	Число открепительных удостоверений выданных ТИК	6	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	218	5	6	8	7	8	35	8	6	9	7	10	9	5	13	3	6	6	8	13	6	5	5	13	9	8	0					
		0.72%	0.54%	0.81%	0.85%	0.44%	0.62%	1.42%	0.61%	0.63%	0.75%	0.69%	0.81%	0.74%	0.52%	1.04%	0.28%	0.40%	0.51%	1.03%	1.23%	0.43%	0.33%	0.42%	1.02%	1.57%	0.98%	0.0%					
