Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Труновская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180					
1	"Число избирателей, внесенных в список"	26387	386	2595	2753	1501	1820	1486	1805	341	1169	846	1671	788	189	720	265	416	1523	1833	537	1161	192	277	159	176	1209	569					
2	Число полученных избирательных бюллетеней	26036	370	2525	2640	1480	1830	1466	1830	337	1180	835	1652	777	208	720	260	408	1506	1791	545	1146	185	276	155	167	1186	561					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13545	206	1266	1309	646	987	561	896	167	582	550	805	438	130	302	150	195	760	960	268	761	133	226	117	112	684	334					
5	"Число избирательных бюллетеней, выданных вне помещения"	1386	27	201	144	46	55	150	53	58	32	73	58	10	6	135	19	26	54	55	35	14	4	10	0	4	76	41					
6	Число погашенных избирательных бюллетеней	11105	137	1058	1187	788	788	755	881	112	566	212	789	329	72	283	91	187	692	776	242	371	48	40	38	51	426	186					
7	Число избирательных бюллетеней в переносных ящиках	1386	27	201	144	46	55	150	53	58	32	73	58	10	6	135	19	26	54	55	35	14	4	10	0	4	76	41					
8	Число бюллетеней в стационарных ящиках для голосования	13545	206	1266	1309	646	987	561	896	167	582	550	805	438	130	302	150	195	760	960	268	761	133	226	117	112	684	334					
9	Число недействительных избирательных бюллетеней	124	1	25	7	8	6	4	4	0	5	8	7	5	0	4	3	1	10	4	1	3	1	4	1	1	10	1					
10	Число действительных избирательных бюллетеней	14807	232	1442	1446	684	1036	707	945	225	609	615	856	443	136	433	166	220	804	1011	302	772	136	232	116	115	750	374					
11	Число полученных открепительных  удостоверений	197	5	12	15	10	10	10	10	5	10	5	10	5	5	5	5	5	10	10	5	10	5	5	5	5	10	5					
12	Число выданных открепительных удостоверений	96	0	12	15	4	7	3	10	0	3	3	2	1	0	0	0	1	8	7	4	2	0	0	0	4	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	0	8	3	5	4	2	0	3	0	1	8	0	3	4	1	1	4	4	0	4	2	0	2	1	4	0					
14	Число неиспользованных открепительных удостоверений	101	5	0	0	6	3	7	0	5	7	2	8	4	5	5	5	4	2	3	1	8	5	5	5	1	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	479	0	71	54	26	47	21	41	0	12	4	20	5	0	11	8	4	15	42	13	32	5	4	2	2	30	10					
		3.21%	0.00%	4.84%	3.72%	3.76%	4.51%	2.95%	4.32%	0.00%	1.95%	0.64%	2.32%	1.12%	0.00%	2.52%	4.73%	1.81%	1.84%	4.14%	4.29%	4.13%	3.65%	1.69%	1.71%	1.72%	3.95%	2.67%					
