Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45759	208	1937	2216	2073	1351	1737	2070	1501	2193	747	861	159	403	860	414	184	190	2617	2373	2073	741	248	141	658	227	222	538	225	188	119	868	124	885	505	664	778	528	207	591	148	223	735	399	769	448	657	381	836	910	591	556	119	552	232	32	268	696	98	101	370	440	1574									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41313	190	1770	2010	1820	1240	1580	1890	1360	2070	670	780	130	370	770	370	160	170	2330	2140	1860	670	230	120	620	200	190	480	200	170	100	780	100	790	460	610	710	480	190	530	130	200	660	360	670	410	590	310	750	810	520	500	100	530	210	33	240	630	90	90	330	390	1450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16225	97	633	776	947	518	617	738	506	729	270	241	43	113	306	141	59	94	1003	831	770	319	108	67	209	79	76	202	66	70	31	225	68	315	107	194	271	194	94	178	48	56	246	111	261	151	255	79	337	249	132	239	58	272	102	23	111	212	42	41	144	171	580									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2275	10	31	28	102	60	53	127	44	109	43	65	23	9	29	36	10	4	34	105	49	34	13	14	27	24	8	23	25	46	28	164	6	53	21	22	99	20	10	11	4	8	55	18	39	23	13	53	72	15	35	83	6	21	28	8	12	34	2	6	12	16	93									
6	Число погашенных избирательных бюллетеней	22813	83	1106	1206	771	662	910	1025	810	1232	357	474	64	248	435	193	91	72	1293	1204	1041	317	109	39	384	97	106	255	109	54	41	391	26	422	332	394	340	266	86	341	78	136	359	231	370	236	322	178	341	546	353	178	36	237	80	2	117	384	46	43	174	203	777									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2275	10	31	28	102	60	53	127	44	109	43	65	23	9	29	36	10	4	34	105	49	34	13	14	27	24	8	23	25	46	28	164	6	53	21	22	99	20	10	11	4	8	55	18	39	23	13	53	72	15	35	83	6	21	28	8	12	34	2	6	12	16	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16201	97	632	773	947	518	617	718	506	729	270	241	43	113	306	141	59	94	1003	831	770	319	108	67	209	79	76	202	66	70	31	225	68	315	107	194	271	194	94	178	48	56	246	111	261	151	255	79	337	249	132	239	58	272	102	23	111	212	42	41	144	171	580									
9	Число недействительных избирательных бюллетеней	550	5	23	37	31	23	24	20	25	35	9	5	1	6	6	3	1	1	26	32	28	10	2	0	5	8	1	3	0	4	0	4	3	11	6	10	5	2	1	3	1	2	5	4	11	12	8	3	25	7	2	4	0	6	2	0	2	5	0	0	8	6	18									
10	Число действительных избирательных бюллетеней	17926	102	640	764	1018	555	646	825	525	803	304	301	65	116	329	174	68	97	1011	904	791	343	119	81	231	95	83	222	91	112	59	385	71	357	122	206	365	212	103	186	51	62	296	125	289	162	260	129	384	257	165	318	64	287	128	31	121	241	44	47	148	181	655									
