Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
"Наименование Избирательной комиссии:    Краснодар, Прикубанская"																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
1	"Число избирателей, внесенных в список избирателей"	201523	2235	1924	429	1877	2432	2110	2560	2650	2126	2724	3240	1858	3071	2032	2955	3183	2235	2915	1729	2789	2165	1510	957	2552	1841	1907	2415	1508	2706	2653	2882	3163	2089	2248	2297	2203	2297	2538	2529	2135	2019	2262	2088	1778	2506	1885	2019	2025	1929	1927	2509	2753	2608	1916	2517	1672	3018	2455	2641	2486	2531	1956	2753	1972	1981	2361	2646	2527	1584	1647	2344	2113	1438	3366	1361	3063	2831	2125	3236	1583	2507	1628	2062	2139	2861	1549	1699	2331	558	1469	178	225	217					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	185470	2200	1900	450	1700	2300	2000	2300	2300	2100	2400	2800	1600	2700	1900	2500	2600	2100	2700	1600	2500	1750	1600	950	2400	1750	1800	2200	1500	2200	2400	2400	3000	2100	2100	2100	2100	2100	2300	2500	2000	1900	2100	1800	1700	2100	1750	1800	1750	1700	1750	2400	2400	2300	1900	2200	1500	2750	2500	2600	2300	2300	2100	2500	1900	1900	2000	2600	2400	1400	1500	2100	1950	1300	3250	1300	2700	2700	2100	2800	1750	2200	1750	2050	2100	1950	1400	1600	2100	600	1470	155	225	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	129628	1966	1714	267	1504	2073	1660	1444	1461	1508	1586	1890	1187	1806	1048	1584	1639	1687	1413	1133	1680	1375	893	636	1757	1210	1225	1145	872	1511	1699	2334	2045	1496	1849	1130	1445	1486	1565	2055	1289	1265	1339	1633	1275	1501	1333	1471	1364	1174	1137	1588	1387	1538	1313	1498	889	2713	1498	1810	1440	1265	1062	1656	1212	1278	1518	1769	1664	938	1125	1356	1081	846	3106	1019	1650	1546	1220	1934	1054	1330	1140	1941	1039	1737	781	1144	1562	488	1189	146	220	179					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8100	53	21	16	107	113	114	117	137	85	31	31	43	39	75	48	43	59	107	54	73	79	91	65	62	63	76	57	63	213	30	5	113	107	10	112	45	28	30	49	115	49	200	66	29	25	154	83	55	138	46	24	83	225	198	74	375	10	63	41	150	194	221	69	101	51	82	73	76	26	28	284	350	73	48	122	96	113	255	27	59	178	70	28	11	24	148	14	21	68	280	0	5	38					
6	Число погашенных избирательных бюллетеней	47742	181	165	167	89	114	226	739	702	507	783	879	370	855	777	868	918	354	1180	413	747	296	616	249	581	477	499	998	565	476	671	61	842	497	241	858	610	586	705	396	596	586	561	101	396	574	263	246	331	388	567	788	930	537	389	628	236	27	939	749	710	841	817	775	587	571	400	758	660	436	347	460	519	381	96	159	954	1041	625	839	637	692	540	81	1050	189	471	442	517	44	1	9	0	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8100	53	21	16	107	113	114	117	137	85	31	31	43	39	75	48	43	59	107	54	73	79	91	65	62	63	76	57	63	213	30	5	113	107	10	112	45	28	30	49	115	49	200	66	29	25	154	83	55	138	46	24	83	225	198	74	375	10	63	41	150	194	221	69	101	51	82	73	76	26	28	284	350	73	48	122	96	113	255	27	59	178	70	28	11	24	148	14	21	68	280	0	5	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	129544	1966	1713	266	1504	2073	1660	1440	1461	1508	1583	1890	1187	1806	1048	1584	1639	1687	1412	1133	1680	1375	893	636	1757	1210	1225	1144	872	1511	1699	2315	2045	1496	1844	1130	1445	1486	1565	2054	1289	1265	1339	1633	1275	1501	1325	1467	1364	1174	1137	1588	1387	1537	1313	1498	889	2710	1498	1810	1440	1265	1062	1653	1212	1278	1518	1769	1664	938	1125	1356	1081	844	3104	1019	1650	1544	1220	1929	1054	1330	1140	1940	1025	1737	781	1143	1562	488	1187	146	220	179					
9	Число недействительных избирательных бюллетеней	2136	23	18	14	18	17	43	30	27	24	20	40	12	22	10	20	25	26	32	17	7	23	8	54	25	25	26	20	14	18	30	90	52	20	23	17	27	19	35	31	28	17	13	23	31	16	38	19	13	24	13	21	30	18	28	33	22	41	31	32	19	0	22	28	33	24	4	21	20	9	20	10	14	17	54	31	17	21	26	38	0	13	34	24	11	35	11	19	17	18	16	6	7	4					
10	Число действительных избирательных бюллетеней	135508	1996	1716	268	1593	2169	1731	1527	1571	1569	1594	1881	1218	1823	1113	1612	1657	1720	1487	1170	1746	1431	976	647	1794	1248	1275	1181	921	1706	1699	2230	2106	1583	1831	1225	1463	1495	1560	2072	1376	1297	1526	1676	1273	1510	1441	1531	1406	1288	1170	1591	1440	1744	1483	1539	1242	2679	1530	1819	1571	1459	1261	1694	1280	1305	1596	1821	1720	955	1133	1630	1417	900	3098	1110	1729	1636	1449	1918	1113	1495	1176	1944	1025	1726	918	1138	1566	538	1451	140	218	213					
