Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																
Дата голосования: 18.09.2016																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Сызранская городская																																																																																																
																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																
																																																																																																
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3751	УИК №3752	УИК №3753	УИК №3754	УИК №3755	УИК №3756	УИК №3757	УИК №3758	УИК №3759	УИК №3760	УИК №3761	УИК №3762	УИК №3763	УИК №3764	УИК №3765	УИК №3766	УИК №3767	УИК №3768	УИК №3769	УИК №3770	УИК №3771	УИК №3772	УИК №3773	УИК №3774	УИК №3775	УИК №3776	УИК №3777	УИК №3778	УИК №3779	УИК №3780	УИК №3781	УИК №3782	УИК №3783	УИК №3784	УИК №3785									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	132606	382	2288	1933	724	1675	957	2041	1661	2430	1893	2182	1286	2377	1574	1592	2011	2460	2071	1382	1889	2666	2676	1741	2573	2091	2665	1833	1325	2494	1588	2121	703	1251	1868	879	1147	1897	1203	1416	920	2159	995	1707	1499	1698	1692	1391	2030	976	2501	2326	1096	1331	2258	1354	1683	439	2022	1594	429	61	1897	2197	1629	1033	1602	559	2872	2554	2044	1651	1530	1306	1154	1066	1241	1061	890	1006	948	2025	698	389	84	64									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	125424	400	2000	1800	600	1500	800	2000	1500	2300	1800	2000	1200	2000	1500	1500	1800	2500	2000	2500	1800	2500	2500	1700	2500	2000	2500	1700	1200	2500	1500	2000	600	1200	1700	700	1000	1800	1000	1300	800	2000	800	1600	1500	1500	1500	1300	2000	1000	2500	2000	1000	1200	2000	1200	1600	400	2000	1500	406	61	1800	2000	1600	1000	1500	596	2800	2500	2000	1500	1500	1200	1000	1000	1200	1000	700	1000	900	2000	600	596	89	76									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	59256	173	973	729	202	668	457	860	663	1049	712	900	549	1020	642	666	1054	1349	1069	1337	881	1237	1314	916	1212	1035	1387	951	639	1078	759	834	281	612	735	287	466	732	582	645	360	701	516	827	627	778	710	598	851	397	1086	1131	551	570	878	452	786	188	825	551	286	26	720	781	651	453	540	98	1494	1637	980	602	657	696	505	405	541	569	342	317	382	806	261	322	83	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4571	22	105	59	115	65	30	34	15	41	24	23	37	43	81	44	69	65	51	45	59	41	37	95	46	81	55	52	22	174	35	62	47	40	55	12	36	52	31	13	39	61	57	56	16	44	34	19	53	63	44	57	18	56	51	39	42	17	81	35	118	35	42	0	84	33	52	461	23	39	64	105	46	45	46	44	50	51	41	56	48	108	26	59	0	0									
6	Число погашенных избирательных бюллетеней	61596	205	922	1012	283	767	313	1106	821	1210	1064	1077	614	937	777	790	677	1086	880	1118	860	1222	1149	689	1242	884	1058	697	539	1248	706	1104	272	548	910	401	498	1016	387	642	401	1238	227	717	857	678	756	683	1096	540	1370	812	431	574	1071	709	772	195	1094	914	2	0	1038	1219	865	514	908	37	1283	824	956	793	797	459	449	551	609	380	317	627	470	1086	313	215	6	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4560	22	102	59	115	65	30	34	15	41	21	23	36	43	81	44	69	65	51	45	59	41	37	95	46	81	55	52	22	173	35	62	47	40	55	12	36	52	31	13	39	61	57	56	16	44	34	19	53	63	44	57	18	56	51	39	42	17	80	35	118	35	42	0	84	33	52	461	23	39	64	105	46	45	46	44	50	51	41	56	48	106	26	59	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	59051	173	973	729	202	668	457	826	663	1049	712	900	549	1020	642	666	1054	1284	1067	1337	881	1237	1278	915	1212	1035	1387	951	639	1078	759	832	281	612	734	287	466	732	582	645	360	701	516	827	627	778	710	579	851	397	1086	1131	551	570	878	452	786	188	823	551	286	26	678	781	651	453	540	98	1494	1637	980	602	657	696	505	405	541	568	342	317	382	806	261	322	83	64									
9	Число недействительных избирательных бюллетеней	2195	8	46	33	9	14	20	34	20	43	17	27	28	35	31	20	27	43	38	33	29	115	43	39	49	35	61	33	26	33	35	37	9	25	24	11	15	26	12	23	12	25	6	19	11	17	36	21	25	12	48	49	12	17	25	16	23	12	20	24	71	0	34	29	15	21	9	24	42	49	25	22	26	15	7	12	29	11	12	11	17	31	15	21	8	3									
10	Число действительных избирательных бюллетеней	61416	187	1029	755	308	719	467	826	658	1047	716	896	557	1028	692	690	1096	1306	1080	1349	911	1163	1272	971	1209	1081	1381	970	635	1218	759	857	319	627	765	288	487	758	601	635	387	737	567	864	632	805	708	577	879	448	1082	1139	557	609	904	475	805	193	883	562	333	61	686	752	720	465	583	535	1475	1627	1019	685	677	726	544	437	562	608	371	362	413	881	272	360	75	61									
