Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Курганинская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759					
1	"Число избирателей, внесенных в список избирателей"	70111	2020	2350	2337	1948	1437	1317	2330	1367	1240	2506	1670	1507	2526	2271	2319	490	404	1382	1310	1517	1043	81	123	142	791	884	981	1373	1151	744	403	1199	1293	1395	1138	1039	1162	441	1023	102	124	224	69	690	243	336	211	1375	916	2158	1193	998	1386	1285	1920	1824	2160	1093	1150					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75204	2276	2689	2438	1996	1564	1477	2742	1498	1308	2616	1891	1494	2757	2838	2486	649	485	1487	1400	1621	1120	75	142	176	961	915	1002	1450	1197	717	450	1234	1350	1433	1198	1039	1341	472	1028	99	118	213	75	685	289	345	218	1358	864	2197	1268	1111	1603	1210	1920	1918	2403	1084	1214					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36395	820	1090	1082	804	652	636	1203	475	629	1332	870	700	1189	1096	1251	276	268	818	719	629	367	75	114	127	535	308	416	559	640	393	263	466	581	991	573	739	745	243	625	86	108	104	54	555	204	272	123	825	447	1010	1047	653	958	630	985	924	904	592	615					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7044	563	176	111	128	86	194	309	248	113	175	111	302	250	206	120	99	39	146	112	270	281	0	0	0	72	156	123	307	187	92	37	98	61	30	39	44	50	43	91	0	0	60	10	32	39	16	14	55	130	133	86	107	67	88	85	106	348	132	67					
6	Число погашенных избирательных бюллетеней	31765	893	1423	1245	1064	826	647	1230	775	566	1109	910	492	1318	1536	1115	274	178	523	569	722	472	0	28	49	354	451	463	584	370	232	150	670	708	412	586	256	546	186	312	13	10	49	11	98	46	57	81	478	287	1054	135	351	578	492	850	888	1151	360	532					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7043	563	176	111	128	86	194	309	248	113	175	111	302	250	206	120	99	39	146	112	270	281	0	0	0	72	156	123	307	187	92	37	98	61	30	39	44	50	43	91	0	0	60	10	32	39	16	14	55	130	133	86	107	67	88	85	106	348	132	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36386	820	1090	1082	804	652	636	1203	475	629	1332	870	700	1189	1096	1251	276	268	818	719	629	367	75	114	127	535	308	416	559	639	393	263	466	581	991	573	739	745	243	625	86	108	104	54	555	204	272	123	825	447	1009	1047	653	958	630	985	924	904	592	608					
9	Число недействительных избирательных бюллетеней	764	24	22	2	13	10	0	31	12	10	18	14	14	24	17	3	1	10	10	16	11	7	3	0	1	7	8	8	13	8	11	8	5	17	38	10	6	22	4	7	0	0	2	0	2	36	43	17	12	6	29	24	25	27	15	21	19	28	6	7					
10	Число действительных избирательных бюллетеней	42665	1359	1244	1191	919	728	830	1481	711	732	1489	967	988	1415	1285	1368	374	297	954	815	888	641	72	114	126	600	456	531	853	818	474	292	559	625	983	602	777	773	282	709	86	108	162	64	585	207	245	120	868	571	1113	1109	735	998	703	1049	1011	1224	718	667					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	999	31	35	26	24	17	10	34	22	31	30	21	20	40	40	75	10	10	50	22	23	10	5	8	5	10	1	0	9	15	5	17	16	20	22	12	2	25	5	15	5	5	5	5	5	5	5	5	10	13	16	18	16	20	17	15	15	26	15	5					
