Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Нововаршавская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724					
1	"Число избирателей, внесенных в списки"	19980	2463	2491	322	594	299	150	691	408	1110	1671	445	186	134	832	247	102	160	343	1116	65	97	1432	1410	792	237	265	221	365	928	80	99	225					
2	"Число бюллетеней, полученных участковыми комиссиями"	19200	2195	2204	317	596	293	154	678	410	1110	1606	438	187	134	819	244	101	160	341	1110	66	93	1410	1392	764	226	266	223	361	889	79	114	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11998	1347	1311	170	355	164	93	481	241	569	865	290	129	123	589	197	79	115	216	674	46	78	714	753	654	161	199	182	296	599	63	97	148					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	431	32	31	9	43	12	3	15	44	30	34	5	4	0	19	0	0	0	11	24	4	7	23	26	15	0	3	4	5	26	0	2	0					
6	Число погашенных бюллетеней	6771	816	862	138	198	117	58	182	125	511	707	143	54	11	211	47	22	45	114	412	16	8	673	613	95	65	64	37	60	264	16	15	72					
7	Число бюллетеней в переносных ящиках для голосования	431	32	31	9	43	12	3	15	44	30	34	5	4	0	19	0	0	0	11	24	4	7	23	26	15	0	3	4	5	26	0	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	11996	1345	1311	170	355	164	93	481	241	569	865	290	129	123	589	197	79	115	216	674	46	78	714	753	654	161	199	182	296	599	63	97	148					
9	Число недействительных бюллетеней	201	10	8	4	12	6	2	12	0	8	21	3	1	0	11	11	0	2	5	18	3	8	16	7	1	15	8	0	1	2	2	3	1					
10	Число действительных бюллетеней	12226	1367	1334	175	386	170	94	484	285	591	878	292	132	123	597	186	79	113	222	680	47	77	721	772	668	146	194	186	300	623	61	96	147					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	20	20	5	15	5	5	15	5	15	15	15	5	5	15	5	5	5	5	15	5	5	15	15	15	5	5	5	5	15	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	12	16	0	5	0	2	2	0	7	2	0	0	0	1	0	0	0	0	3	0	0	2	2	2	0	0	0	0	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	6	1	1	1	0	0	2	2	2	1	5	1	2	0	0	2	0	2	2	1	3	7	0	7	1	1	1	1	2	0	0	1					
14	Число погашенных открепительных удостоверений	242	8	4	5	10	5	3	13	5	8	13	15	5	5	14	5	5	5	5	12	5	5	13	13	13	5	5	5	5	14	5	4	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	408	30	30	11	13	9	5	21	16	17	30	9	10	4	22	8	16	8	19	15	1	0	15	12	10	16	3	14	9	18	4	4	9					
		3.28%	2.17%	2.23%	6.14%	3.26%	5.11%	5.20%	4.23%	5.61%	2.83%	3.33%	3.05%	7.51%	3.25%	3.61%	4.06%	20.25%	6.95%	8.37%	2.14%	2.0%	0.0%	2.03%	1.54%	1.49%	9.93%	1.48%	7.52%	2.99%	2.88%	6.34%	4.04%	6.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	139	24	12	1	3	0	1	4	1	4	10	9	3	1	9	5	3	0	2	8	0	0	1	9	3	0	7	2	1	6	1	5	4					
		1.11%	1.74%	0.89%	0.55%	0.75%	0.0%	1.04%	0.80%	0.35%	0.66%	1.11%	3.05%	2.25%	0.81%	1.48%	2.53%	3.79%	0.0%	0.88%	1.14%	0.0%	0.0%	0.13%	1.15%	0.44%	0.0%	3.46%	1.07%	0.33%	0.96%	1.58%	5.05%	2.70%					
