Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Подольская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196					
1	"Число избирателей, внесенных в списки"	62976	2461	2669	2305	2809	2146	621	2365	1977	408	966	1600	727	1466	2519	822	2072	1935	2590	2174	1980	1959	2058	1944	1975	2306	560	2147	2680	1162	1737	1316	2006	1888	1490	520	616					
2	"Число бюллетеней, полученных участковыми комиссиями"	61679	2547	2400	2194	2650	2000	600	2200	1900	360	900	1600	700	1500	2500	800	1800	1900	2500	2000	2000	1900	2000	1898	1890	2490	950	1900	2700	1000	1700	2000	1900	1900	1300	500	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32373	1274	1234	1169	1446	1097	292	1187	813	168	462	702	368	759	1201	373	1056	956	1342	1203	1284	1062	1011	1057	1002	1315	221	1184	1298	575	850	1215	918	1014	768	285	212					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1733	9	40	25	0	61	75	82	133	101	41	47	5	15	27	41	0	56	43	48	179	34	42	158	14	44	21	5	23	33	54	101	9	16	23	24	104					
6	Число погашенных бюллетеней	27573	1264	1126	1000	1204	842	233	931	954	91	397	851	327	726	1272	386	744	888	1115	749	537	804	947	683	874	1131	708	711	1379	392	796	684	973	870	509	191	284					
7	Число бюллетеней в переносных ящиках для голосования	1731	9	40	25	0	61	75	82	133	101	41	47	5	15	27	41	0	56	43	48	179	34	42	158	14	44	21	5	23	33	52	101	9	16	23	24	104					
8	Число бюллетеней в стационарных ящиках для голосования	32220	1274	1234	1169	1446	1092	292	1184	813	168	462	702	368	759	1201	372	988	956	1342	1155	1284	1062	1011	1057	988	1315	221	1184	1295	575	845	1215	918	1014	762	285	212					
9	Число недействительных бюллетеней	1034	0	64	81	25	38	17	11	24	3	15	21	13	22	55	23	16	43	18	29	14	23	37	43	49	48	13	16	62	31	21	36	45	33	31	14	0					
10	Число действительных бюллетеней	32917	1283	1210	1113	1421	1115	350	1255	922	266	488	728	360	752	1173	390	972	969	1367	1174	1449	1073	1016	1172	953	1311	229	1173	1256	577	876	1280	882	997	754	295	316					
