Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Убинская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1104	УИК №1105	УИК №1106	УИК №1107									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12665	1628	1792	1496	64	314	79	389	57	305	170	1071	335	154	102	379	75	393	290	150	256	249	191	737	132	92	116	783	109	330	427									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12767	1650	1825	1500	57	315	78	390	57	300	175	1080	340	150	100	390	75	390	295	150	260	245	195	740	135	95	115	795	105	330	435									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4785	515	597	454	31	150	37	141	39	153	83	334	132	36	51	153	23	172	128	91	110	88	75	335	58	51	29	249	73	185	212									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	419	22	14	35	4	19	0	14	2	6	4	54	13	14	5	37	8	7	13	10	2	14	6	14	9	1	12	30	4	9	37									
6	Число погашенных избирательных бюллетеней	7563	1113	1214	1011	22	146	41	235	16	141	88	692	195	100	44	200	44	211	154	49	148	143	114	391	68	43	74	516	28	136	186									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	419	22	14	35	4	19	0	14	2	6	4	54	13	14	5	37	8	7	13	10	2	14	6	14	9	1	12	30	4	9	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4785	515	597	454	31	150	37	141	39	153	83	334	132	36	51	153	23	172	128	91	110	88	75	335	58	51	29	249	73	185	212									
9	Число недействительных избирательных бюллетеней	171	15	19	16	1	5	0	3	1	6	8	8	3	0	1	14	0	5	5	3	5	4	7	12	2	0	5	10	1	9	3									
10	Число действительных избирательных бюллетеней	5033	522	592	473	34	164	37	152	40	153	79	380	142	50	55	176	31	174	136	98	107	98	74	337	65	52	36	269	76	185	246									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	26	29	24	2	6	2	8	2	6	4	22	7	3	2	8	2	8	6	3	10	5	4	15	3	2	2	16	2	7	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	157	26	22	11	0	6	1	1	2	2	4	9	7	0	2	8	2	3	6	2	10	1	4	0	3	2	1	6	1	6	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	114	11	8	6	7	7	2	3	2	5	1	3	3	1	4	1	2	7	5	2	6	4	5	1	1	2	4	4	2	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	88	0	7	13	2	0	1	7	0	4	0	13	0	3	0	0	0	5	0	1	0	4	0	15	0	0	1	10	1	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	9	19	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	7	9	7	0	1	0	3	0	1	1	2	1	1	2	1	0	1	1	0	3	1	0	3	1	0	0	2	1	2	2									
		1.02%	1.30%	1.47%	1.43%	0.00%	0.59%	0.00%	1.94%	0.00%	0.63%	1.15%	0.52%	0.69%	2.00%	3.57%	0.53%	0.00%	0.56%	0.71%	0.00%	2.68%	0.98%	0.00%	0.86%	1.49%	0.00%	0.00%	0.72%	1.30%	1.03%	0.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	206	19	17	25	0	4	1	6	0	3	1	19	6	0	1	10	1	5	6	5	1	15	3	22	0	1	2	11	2	9	11									
		3.96%	3.54%	2.78%	5.11%	0.00%	2.37%	2.70%	3.87%	0.00%	1.89%	1.15%	4.90%	4.14%	0.00%	1.79%	5.26%	3.23%	2.79%	4.26%	4.95%	0.89%	14.71%	3.70%	6.30%	0.00%	1.92%	4.88%	3.94%	2.60%	4.64%	4.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	4	11	8	0	3	1	2	0	0	0	8	4	2	1	1	2	2	0	2	0	4	0	9	1	0	0	5	1	2	3									
		1.46%	0.74%	1.80%	1.64%	0.00%	1.78%	2.70%	1.29%	0.00%	0.00%	0.00%	2.06%	2.76%	4.00%	1.79%	0.53%	6.45%	1.12%	0.00%	1.98%	0.00%	3.92%	0.00%	2.58%	1.49%	0.00%	0.00%	1.79%	1.30%	1.03%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2480	216	282	174	14	90	21	76	16	97	51	206	54	19	26	99	14	103	80	51	63	43	31	168	32	24	15	129	44	104	138									
		47.66%	40.22%	46.15%	35.58%	40.00%	53.25%	56.76%	49.03%	39.02%	61.01%	58.62%	53.09%	37.24%	38.00%	46.43%	52.11%	45.16%	57.54%	56.74%	50.50%	56.25%	42.16%	38.27%	48.14%	47.76%	46.15%	36.59%	46.24%	57.14%	53.61%	55.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	2	0	0	2	1									
		0.35%	0.56%	0.16%	0.20%	2.86%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.98%	1.23%	0.29%	0.00%	1.92%	4.88%	0.00%	0.00%	1.03%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	1	2	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0									
		0.21%	0.19%	0.16%	0.41%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1065	102	103	116	16	42	11	40	20	20	17	66	47	10	13	25	8	22	23	17	34	25	19	81	20	18	8	56	18	27	41									
		20.47%	18.99%	16.86%	23.72%	45.71%	24.85%	29.73%	25.81%	48.78%	12.58%	19.54%	17.01%	32.41%	20.00%	23.21%	13.16%	25.81%	12.29%	16.31%	16.83%	30.36%	24.51%	23.46%	23.21%	29.85%	34.62%	19.51%	20.07%	23.38%	13.92%	16.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	1	2	2	0	0	0	3	0	1	0	7	0	2	0	1	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0									
		0.48%	0.19%	0.33%	0.41%	0.00%	0.00%	0.00%	1.94%	0.00%	0.63%	0.00%	1.80%	0.00%	4.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	2	3	2	0	1	0	0	0	0	1	4	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	2	0	1	0									
		0.42%	0.37%	0.49%	0.41%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	1.15%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	3.85%	0.00%	0.72%	0.00%	0.52%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.13%	0.00%	0.16%	0.41%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	6	4	0	0	0	0	0	0	4	0	1	3	2	0	1	0	1	0	1	0	0	0	4	0	0	0	3	0	1	1									
		0.61%	1.12%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.52%	0.00%	0.26%	2.07%	4.00%	0.00%	0.53%	0.00%	0.56%	0.00%	0.99%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	1.08%	0.00%	0.52%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	896	139	131	116	3	16	1	21	4	21	7	52	21	14	12	33	4	32	24	20	4	4	18	35	8	5	8	55	8	32	48									
		17.22%	25.88%	21.44%	23.72%	8.57%	9.47%	2.70%	13.55%	9.76%	13.21%	8.05%	13.40%	14.48%	28.00%	21.43%	17.37%	12.90%	17.88%	17.02%	19.80%	3.57%	3.92%	22.22%	10.03%	11.94%	9.62%	19.51%	19.71%	10.39%	16.49%	19.28%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	1	2	2	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0									
		0.33%	0.19%	0.33%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.69%	0.00%	0.00%	0.53%	0.00%	0.00%	0.71%	0.00%	0.00%	0.98%	0.00%	0.29%	0.00%	0.00%	0.00%	0.36%	0.00%	1.03%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	125	21	25	16	0	7	0	0	0	6	1	6	5	0	0	3	2	4	1	2	1	4	2	7	3	1	0	4	2	1	1									
		2.40%	3.91%	4.09%	3.27%	0.00%	4.14%	0.00%	0.00%	0.00%	3.77%	1.15%	1.55%	3.45%	0.00%	0.00%	1.58%	6.45%	2.23%	0.71%	1.98%	0.89%	3.92%	2.47%	2.01%	4.48%	1.92%	0.00%	1.43%	2.60%	0.52%	0.40%									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
