Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Нижнекамская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29150	1398	1293	499	2174	759	331	421	830	345	501	677	306	493	200	351	245	506	1095	154	293	654	652	628	505	245	442	528	1061	2387	2299	2322	2069	2487									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29050	1400	1300	490	2200	750	340	420	830	330	480	650	300	490	202	340	230	500	1000	158	290	650	650	630	520	240	440	520	1100	2400	2300	2300	2100	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26668	1279	1222	459	1999	734	306	391	752	300	424	643	296	449	198	305	189	458	965	140	288	615	599	489	432	209	420	484	979	2188	2072	2121	1968	2295									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	726	33	22	11	7	10	19	13	41	18	31	0	0	20	0	12	41	23	35	11	0	10	27	83	73	26	5	21	24	8	43	17	16	26									
6	Число погашенных избирательных бюллетеней	1656	88	56	20	194	6	15	16	37	12	25	7	4	21	4	23	0	19	0	7	2	25	24	58	15	5	15	15	97	204	185	162	116	179									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	726	33	22	11	7	10	19	13	41	18	31	0	0	20	0	12	41	23	35	11	0	10	27	83	73	26	5	21	24	8	43	17	16	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26667	1279	1222	458	1999	734	306	391	752	300	424	643	296	449	198	305	189	458	965	140	288	615	599	489	432	209	420	484	979	2188	2072	2121	1968	2295									
9	Число недействительных избирательных бюллетеней	55	0	0	0	0	4	1	0	0	0	1	0	0	16	0	20	0	0	0	0	0	0	0	3	4	0	0	0	6	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	27338	1312	1244	469	2006	740	324	404	793	318	454	643	296	453	198	297	230	481	1000	151	288	625	626	569	501	235	425	505	997	2196	2115	2138	1984	2321									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	720	50	50	5	55	12	3	6	12	4	6	10	3	5	3	3	3	5	40	2	3	10	10	10	5	3	5	7	40	70	70	70	70	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	258	13	8	2	21	5	2	3	5	2	2	3	1	5	0	2	0	2	0	1	0	10	6	5	1	3	3	2	12	18	23	25	44	29									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	194	2	0	9	3	6	11	6	5	7	20	14	0	4	2	9	9	7	16	0	3	3	7	5	0	2	2	6	22	1	0	6	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	462	37	42	3	34	7	1	3	7	2	4	7	2	0	3	1	3	3	40	1	3	0	4	5	4	0	2	5	28	52	47	45	26	41									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	0	1	2	4	1	0	1	0	0	6	0	0	2	0	4	0	0	8	2	0	0	0	1	2	0	1	0	0	2	1	2	1	1									
		0.15%	0.00%	0.08%	0.43%	0.20%	0.13%	0.00%	0.25%	0.00%	0.00%	1.32%	0.00%	0.00%	0.43%	0.00%	1.26%	0.00%	0.00%	0.80%	1.32%	0.00%	0.00%	0.00%	0.17%	0.40%	0.00%	0.24%	0.00%	0.00%	0.09%	0.05%	0.09%	0.05%	0.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	157	8	8	3	13	8	2	4	7	0	10	5	3	3	4	5	4	0	3	6	2	0	2	8	6	2	0	0	13	18	4	2	1	3									
		0.57%	0.61%	0.64%	0.64%	0.65%	1.08%	0.62%	0.99%	0.88%	0.00%	2.20%	0.78%	1.01%	0.64%	2.02%	1.58%	1.74%	0.00%	0.30%	3.97%	0.69%	0.00%	0.32%	1.40%	1.19%	0.85%	0.00%	0.00%	1.30%	0.82%	0.19%	0.09%	0.05%	0.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	83	2	0	2	14	3	2	5	0	0	2	4	0	2	2	5	0	0	3	1	0	4	2	4	1	1	1	0	7	3	2	3	2	6									
		0.30%	0.15%	0.00%	0.43%	0.70%	0.40%	0.62%	1.24%	0.00%	0.00%	0.44%	0.62%	0.00%	0.43%	1.01%	1.58%	0.00%	0.00%	0.30%	0.66%	0.00%	0.64%	0.32%	0.70%	0.20%	0.43%	0.24%	0.00%	0.70%	0.14%	0.09%	0.14%	0.10%	0.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25481	1223	1182	432	1852	681	301	364	747	295	373	617	291	408	187	255	207	466	880	131	268	587	615	457	453	216	391	457	911	2086	2009	2034	1898	2207									
		93.02%	93.22%	95.02%	92.11%	92.32%	91.53%	92.62%	90.10%	94.20%	92.77%	81.98%	95.96%	98.31%	86.99%	94.44%	80.44%	90.00%	96.88%	88.00%	86.75%	93.06%	93.92%	98.24%	79.90%	89.70%	91.91%	92.00%	90.50%	90.83%	94.99%	94.99%	95.14%	95.67%	95.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	0	0	2	5	1	0	0	0	0	1	0	0	0	0	1	0	0	6	0	1	0	0	1	0	1	0	0	2	2	2	0	1	0									
		0.09%	0.00%	0.00%	0.43%	0.25%	0.13%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.60%	0.00%	0.35%	0.00%	0.00%	0.17%	0.00%	0.43%	0.00%	0.00%	0.20%	0.09%	0.09%	0.00%	0.05%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	6	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	0	1	0									
		0.07%	0.00%	0.00%	0.00%	0.30%	0.13%	0.00%	0.50%	0.00%	0.00%	0.22%	0.16%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.20%	0.43%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.05%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	460	30	18	9	20	7	4	8	12	10	16	5	0	7	4	5	5	3	44	0	12	4	2	52	19	4	15	24	23	7	4	43	21	23									
		1.68%	2.29%	1.45%	1.92%	0.99%	0.94%	1.23%	1.98%	1.51%	3.14%	3.52%	0.78%	0.00%	1.49%	2.02%	1.58%	2.17%	0.62%	4.40%	0.00%	4.17%	0.64%	0.32%	9.09%	3.76%	1.70%	3.53%	4.75%	2.29%	0.32%	0.19%	2.01%	1.06%	0.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	0	0	2	4	2	0	2	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	4	3	1	2	2	2									
		0.12%	0.00%	0.00%	0.43%	0.20%	0.27%	0.00%	0.50%	0.00%	0.00%	0.66%	0.16%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.43%	0.24%	0.00%	0.40%	0.14%	0.05%	0.09%	0.10%	0.09%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	0	0	3	13	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	3	4	1	1	1	0									
		0.13%	0.00%	0.00%	0.64%	0.65%	0.13%	0.00%	0.25%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.40%	0.00%	0.24%	0.00%	0.30%	0.18%	0.05%	0.05%	0.05%	0.00%									
