Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Воловская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11638	470	190	581	177	363	410	678	1916	279	478	340	105	347	476	223	329	448	550	609	552	479	166	698	197	577									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10800	430	175	535	170	330	380	630	1800	255	440	320	100	315	450	205	320	420	500	550	520	440	150	645	185	535									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5108	174	74	226	83	172	208	285	954	102	198	139	62	129	225	84	189	191	170	254	199	262	63	296	103	266									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1458	89	37	81	24	19	48	17	49	16	68	45	21	115	69	37	40	95	121	75	74	35	26	99	25	133									
6	Число погашенных избирательных бюллетеней	4234	167	64	228	63	139	124	328	797	137	174	136	17	71	156	84	91	134	209	221	247	143	61	250	57	136									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1458	89	37	81	24	19	48	17	49	16	68	45	21	115	69	37	40	95	121	75	74	35	26	99	25	133									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5107	174	74	226	83	172	208	285	954	102	198	139	62	129	225	84	188	191	170	254	199	262	63	296	103	266									
9	Число недействительных избирательных бюллетеней	107	4	0	4	0	0	13	2	22	1	6	0	8	4	1	2	1	4	9	2	6	1	4	11	0	2									
10	Число действительных избирательных бюллетеней	6458	259	111	303	107	191	243	300	981	117	260	184	75	240	293	119	227	282	282	327	267	296	85	384	128	397									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	214	5	5	11	7	5	5	11	30	5	7	5	5	5	16	5	21	10	8	6	15	5	5	6	5	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	155	5	0	4	5	3	4	11	26	4	7	3	5	5	16	2	21	10	8	0	13	2	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	0	1	0	0	2	0	0	7	0	1	3	1	1	0	1	1	1	0	4	2	0	3	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	59	0	5	7	2	2	1	0	4	1	0	2	0	0	0	3	0	0	0	6	2	3	5	5	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	0	1	1	0	4	8	9	4	3	1	0	0	1	0	2	4	2	1	1	0	2	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	2	0	1	1	0	2	0	13	2	0	1	1	0	1	0	0	2	1	8	7	0	0	3	1	1									
		0.72%	0.76%	0.00%	0.33%	0.93%	0.00%	0.78%	0.00%	1.30%	1.69%	0.00%	0.54%	1.20%	0.00%	0.34%	0.00%	0.00%	0.70%	0.34%	2.43%	2.56%	0.00%	0.00%	0.76%	0.78%	0.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	129	7	0	1	2	0	10	2	16	3	8	1	0	4	7	5	7	4	7	11	9	7	1	13	1	3									
		1.96%	2.66%	0.00%	0.33%	1.87%	0.00%	3.91%	0.66%	1.60%	2.54%	3.01%	0.54%	0.00%	1.64%	2.38%	4.13%	3.07%	1.40%	2.41%	3.34%	3.30%	2.36%	1.12%	3.29%	0.78%	0.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	93	0	1	0	4	0	3	2	29	3	0	2	3	3	4	2	0	4	8	4	8	0	2	6	1	4									
		1.42%	0.00%	0.90%	0.00%	3.74%	0.00%	1.17%	0.66%	2.89%	2.54%	0.00%	1.09%	3.61%	1.23%	1.36%	1.65%	0.00%	1.40%	2.75%	1.22%	2.93%	0.00%	2.25%	1.52%	0.78%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4608	215	69	231	66	165	144	243	561	72	206	140	56	191	177	97	205	200	192	225	167	232	52	276	102	324									
		70.19%	81.75%	62.16%	75.24%	61.68%	86.39%	56.25%	80.46%	55.93%	61.02%	77.44%	76.09%	67.47%	78.28%	60.20%	80.17%	89.91%	69.93%	65.98%	68.39%	61.17%	78.11%	58.43%	69.87%	79.69%	81.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	1	0	0	0	2	0	2	1	1	0	0	2	0	0	0	0	2	1	0	0	0	2	0	1									
