Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
"Наименование Избирательной комиссии:    Новосибирск, Первомайская "																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907					
1	"Число избирателей, внесенных в списки"	55992	1166	1337	1748	2397	1377	1699	2156	2187	1477	2556	1894	1627	2213	2056	1557	1678	2387	1817	2161	1966	2736	2899	2766	2946	2887	1986	2316					
2	"Число бюллетеней, полученных участковыми комиссиями"	54000	1100	1300	1700	2300	1300	1700	2100	2100	1400	2500	1700	1500	2100	2000	1500	1600	2300	1700	2100	1900	2600	2800	2700	2900	2800	2000	2300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25833	530	470	884	1303	623	821	849	1163	830	1227	972	635	1183	816	853	950	1071	742	1049	646	1286	1210	1391	1358	1213	815	943					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1216	48	26	66	37	51	31	37	56	31	47	19	40	38	28	14	36	57	64	55	95	48	42	24	27	65	62	72					
6	Число погашенных бюллетеней	26951	522	804	750	960	626	848	1214	881	539	1226	709	825	879	1156	633	614	1172	894	996	1159	1266	1548	1285	1515	1522	1123	1285					
7	Число бюллетеней в переносных ящиках для голосования	1216	48	26	66	37	51	31	37	56	31	47	19	40	38	28	14	36	57	64	55	95	48	42	24	27	65	62	72					
8	Число бюллетеней в стационарных ящиках для голосования	25825	530	470	884	1303	623	821	846	1163	830	1227	970	635	1183	816	853	950	1071	742	1049	646	1286	1210	1388	1358	1213	815	943					
9	Число недействительных бюллетеней	700	22	17	27	29	25	15	37	26	18	22	25	9	22	16	23	26	24	30	28	41	41	29	52	28	18	25	25					
10	Число действительных бюллетеней	26341	556	479	923	1311	649	837	846	1193	843	1252	964	666	1199	828	844	960	1104	776	1076	700	1293	1223	1360	1357	1260	852	990					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	385	10	10	20	20	15	20	10	20	20	10	20	10	20	10	10	15	10	15	15	10	15	15	15	15	15	10	10					
