Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Крутинская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413					
1	"Число избирателей, внесенных в список"	14872	1633	1259	1296	1284	102	263	86	207	142	773	123	197	105	387	143	70	25	623	148	86	65	606	116	66	122	85	788	183	115	63	224	59	106	36	572	132	97	68	1113	71	53	172	90	59	455	135	132	60	36	41					
2	Число полученных избирательных бюллетеней	14422	1500	1200	1200	1200	110	270	86	213	147	750	129	200	105	390	144	75	30	600	151	82	67	600	124	69	121	85	730	188	117	62	234	60	107	35	540	131	99	72	1100	74	54	181	95	61	420	134	137	61	37	45					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11912	1155	968	844	949	102	257	81	168	135	638	120	196	105	285	111	56	25	467	122	69	53	563	112	63	117	85	642	142	110	59	160	42	101	28	469	102	81	58	949	65	49	165	90	55	368	118	101	44	31	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	948	87	45	132	43	0	0	4	13	5	85	3	1	0	61	11	8	0	96	17	10	7	18	2	0	4	0	66	22	0	0	27	1	4	0	34	9	10	4	60	0	1	0	0	0	40	2	10	6	0	0					
6	Число погашенных избирательных бюллетеней	1562	258	187	224	208	8	13	1	32	7	27	6	3	0	44	22	11	5	37	12	3	7	19	10	6	0	0	22	24	7	3	47	17	2	7	37	20	8	10	91	9	4	16	5	6	12	14	26	11	6	8					
7	Число избирательных бюллетеней в переносных ящиках	948	87	45	132	43	0	0	4	13	5	85	3	1	0	61	11	8	0	96	17	10	7	18	2	0	4	0	66	22	0	0	27	1	4	0	34	9	10	4	60	0	1	0	0	0	40	2	10	6	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11911	1154	968	844	949	102	257	81	168	135	638	120	196	105	285	111	56	25	467	122	69	53	563	112	63	117	85	642	142	110	59	160	42	101	28	469	102	81	58	949	65	49	165	90	55	368	118	101	44	31	37					
9	Число недействительных избирательных бюллетеней	128	13	9	20	12	0	6	1	0	0	13	1	2	0	0	1	0	0	7	0	2	1	14	0	0	1	0	5	1	0	0	2	0	2	0	4	0	0	0	6	1	0	2	0	0	0	1	1	0	0	0					
10	Число действительных избирательных бюллетеней	12731	1228	1004	956	980	102	251	84	181	140	710	122	195	105	346	121	64	25	556	139	77	59	567	114	63	120	85	703	163	110	59	185	43	103	28	499	111	91	62	1003	64	50	163	90	55	408	119	110	50	31	37					
11	Число полученных открепительных  удостоверений	497	30	20	20	20	0	15	5	17	5	30	5	5	5	20	5	5	5	20	10	5	5	25	5	5	5	5	20	5	5	5	20	10	5	5	20	5	5	5	20	5	5	5	5	5	20	5	5	5	5	5					
12	Число выданных открепительных удостоверений	244	25	12	15	13	0	7	1	14	4	19	4	0	0	11	0	0	0	10	8	0	0	23	4	1	0	0	2	1	0	0	7	6	0	0	18	0	2	1	9	0	0	1	1	0	18	2	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	15	5	10	7	25	1	3	8	1	8	0	3	3	2	1	0	0	1	1	1	0	4	2	0	0	1	1	0	0	1	4	0	0	2	1	0	1	0	3	0	0	0	0	0	2	1	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	253	5	8	5	7	0	8	4	3	1	11	1	5	5	9	5	5	5	10	2	5	5	2	1	4	5	5	18	4	5	5	13	4	5	5	2	5	3	4	11	5	5	4	4	5	2	3	0	5	5	5					
