Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Бутурлинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11446	2231	1797	1584	367	537	469	728	216	246	292	272	503	130	309	72	347	189	369	389	399									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11340	2280	1790	1610	360	530	440	700	200	230	300	270	490	120	300	60	320	190	360	390	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5531	1071	879	856	180	271	211	287	166	97	119	124	173	57	194	43	172	98	142	203	188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1385	41	84	208	77	81	209	102	9	62	43	29	118	30	91	14	47	34	49	25	32									
6	Число погашенных избирательных бюллетеней	4422	1168	827	546	103	176	20	311	25	71	138	117	199	33	15	3	101	58	169	162	180									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1385	41	84	208	77	81	209	102	9	62	43	29	118	30	91	14	47	34	49	25	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5529	1071	879	856	180	271	211	287	166	97	119	124	173	57	194	43	172	96	142	203	188									
9	Число недействительных избирательных бюллетеней	67	10	6	0	2	7	2	2	3	0	5	3	2	1	2	1	9	2	8	1	1									
10	Число действительных избирательных бюллетеней	6847	1102	957	1064	255	345	418	387	172	159	157	150	289	86	283	56	210	128	183	227	219									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	55	41	30	2	13	13	17	12	13	13	13	15	11	13	9	13	18	13	13	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	182	47	31	23	1	2	0	3	11	4	13	9	0	5	1	2	4	12	1	0	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	11	13	9	5	12	6	9	3	6	4	0	4	4	1	0	11	2	2	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	158	8	10	7	1	11	13	14	1	9	0	4	15	6	12	7	9	6	12	13	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	1	5	5	0	4	4	4	0	0	2	0	0	0	0	1	3	0	4	2	1									
		0.52%	0.09%	0.52%	0.47%	0.00%	1.14%	0.95%	1.03%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	1.75%	1.37%	0.00%	2.09%	0.88%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	150	19	31	15	1	8	6	15	5	5	1	4	6	2	4	3	10	3	1	4	7									
		2.17%	1.71%	3.22%	1.41%	0.39%	2.27%	1.43%	3.86%	2.86%	3.14%	0.62%	2.61%	2.06%	2.30%	1.40%	5.26%	4.57%	2.31%	0.52%	1.75%	3.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	89	13	13	12	0	6	3	4	1	2	1	5	2	0	3	0	4	3	7	2	8									
		1.29%	1.17%	1.35%	1.13%	0.00%	1.70%	0.71%	1.03%	0.57%	1.26%	0.62%	3.27%	0.69%	0.00%	1.05%	0.00%	1.83%	2.31%	3.66%	0.88%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4565	590	517	854	186	247	337	213	130	127	112	107	200	64	216	43	125	78	114	181	124									
		66.03%	53.06%	53.69%	80.26%	72.37%	70.17%	80.24%	54.76%	74.29%	79.87%	69.14%	69.93%	68.73%	73.56%	75.79%	75.44%	57.08%	60.00%	59.69%	79.39%	56.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	0	0									
		0.22%	0.27%	0.21%	0.19%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	2.62%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	1	0	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0									
		0.12%	0.09%	0.10%	0.00%	0.00%	0.28%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	1.75%	0.46%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	871	191	154	87	25	39	21	67	16	18	20	16	29	8	31	6	35	18	27	19	44									
