Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Кувандыкская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в список"	42308	1155	150	231	168	726	166	552	458	164	726	172	581	417	182	413	94	110	42	966	238	95	89	546	411	448	177	1002	437	325	255	461	507	451	63	156	90	472	290	163	541	60	56	304	149	89	73	580	207	643	2668	2053	2236	2197	728	2224	1241	1748	705	2234	2401	1886	2611	525					
2	Число полученных избирательных бюллетеней	43056	1120	144	240	169	748	170	555	452	165	730	180	600	410	191	580	92	123	45	990	235	101	90	565	440	470	175	1040	440	325	255	485	510	455	63	160	106	460	270	160	580	59	60	305	152	91	75	580	203	655	2720	2100	2250	2200	770	2270	1250	1770	757	2270	2430	1820	2630	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21681	659	102	155	139	426	122	380	291	108	370	101	398	255	182	315	75	103	28	630	208	90	71	301	295	310	68	541	258	232	49	262	273	304	33	135	73	340	212	135	352	57	39	225	110	75	53	376	127	405	1047	895	949	854	430	829	555	687	303	972	1078	705	1235	294					
5	"Число избирательных бюллетеней, выданных вне помещения"	3405	64	11	26	12	81	33	35	33	15	78	29	70	29	0	98	2	7	3	51	0	0	6	100	55	46	56	100	88	52	100	67	125	35	25	16	12	81	44	8	39	0	12	20	27	8	6	90	20	51	148	71	110	143	25	179	69	125	68	124	68	149	105	55					
6	Число погашенных избирательных бюллетеней	17970	397	31	59	18	241	15	140	128	42	282	50	132	126	9	167	15	13	14	309	27	11	13	164	90	114	51	399	94	41	106	156	112	116	5	9	21	39	14	17	189	2	9	60	15	8	16	114	56	199	1525	1134	1191	1203	315	1262	626	958	386	1174	1284	966	1290	201					
7	Число избирательных бюллетеней в переносных ящиках	3405	64	11	26	12	81	33	35	33	15	78	29	70	29	0	98	2	7	3	51	0	0	6	100	55	46	56	100	88	52	100	67	125	35	25	16	12	81	44	8	39	0	12	20	27	8	6	90	20	51	148	71	110	143	25	179	69	125	68	124	68	149	105	55					
8	Число бюллетеней в стационарных ящиках для голосования	21678	659	102	155	139	426	122	380	291	108	370	101	398	255	182	315	75	103	28	630	208	90	71	301	295	310	68	541	258	232	49	262	273	304	33	135	73	340	212	135	350	57	39	225	110	75	53	376	127	405	1047	895	949	854	430	829	555	687	303	971	1078	705	1235	294					
9	Число недействительных избирательных бюллетеней	255	6	1	3	0	0	0	7	5	1	2	1	7	3	2	6	1	1	1	4	7	1	0	8	4	4	1	5	2	3	0	7	2	4	0	2	2	36	2	2	3	0	0	3	2	1	1	5	0	3	11	7	9	11	0	11	5	0	6	10	7	6	8	3					
10	Число действительных избирательных бюллетеней	24828	717	112	178	151	507	155	408	319	122	446	129	461	281	180	407	76	109	30	677	201	89	77	393	346	352	123	636	344	281	149	322	396	335	58	149	83	385	254	141	386	57	51	242	135	82	58	461	147	453	1184	959	1050	986	455	997	619	812	365	1085	1139	848	1332	346					
