Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Заринская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800					
1	"Число избирателей, внесенных в списки избирателей"	16302	607	613	374	432	333	190	131	450	583	1429	339	165	108	486	413	92	66	574	191	124	89	660	249	785	81	135	145	381	84	57	566	131	285	1051	444	1118	957	40	28	420	318	410	168					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16250	615	615	380	445	335	190	135	455	585	1150	350	165	110	500	415	95	80	585	185	125	95	680	255	800	90	140	150	385	90	60	570	135	285	1060	450	1135	980	40	40	410	305	410	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10015	360	412	214	256	246	134	95	305	387	764	223	102	71	338	247	63	62	347	131	73	58	393	156	459	49	93	94	245	67	46	326	68	163	520	278	709	561	27	16	256	178	298	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	859	40	32	16	40	10	15	6	25	22	21	18	3	8	30	25	5	4	22	0	0	10	35	25	18	2	0	14	35	0	2	21	7	26	96	43	85	53	2	0	15	13	10	5					
6	Число погашенных избирательных бюллетеней	5376	215	171	150	149	79	41	34	125	176	365	109	60	31	132	143	27	14	216	54	52	27	252	74	323	39	47	42	105	23	12	223	60	96	444	129	341	366	11	24	139	114	102	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	859	40	32	16	40	10	15	6	25	22	21	18	3	8	30	25	5	4	22	0	0	10	35	25	18	2	0	14	35	0	2	21	7	26	96	43	85	53	2	0	15	13	10	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10015	360	412	214	256	246	134	95	305	387	764	223	102	71	338	247	63	62	347	131	73	58	393	156	459	49	93	94	245	67	46	326	68	163	520	278	709	561	27	16	256	178	298	125					
9	Число недействительных избирательных бюллетеней	109	7	6	1	3	1	3	1	1	2	10	2	2	1	2	3	0	0	2	0	1	1	6	5	5	2	0	0	2	2	0	5	1	1	6	0	9	8	0	0	3	1	3	1					
10	Число действительных избирательных бюллетеней	10765	393	438	229	293	255	146	100	329	407	775	239	103	78	366	269	68	66	367	131	72	67	422	176	472	49	93	108	278	65	48	342	74	188	610	321	785	606	29	16	268	190	305	129					
