Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Глинковская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №796	УИК №8095	УИК №8096									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5032	145	167	422	1336	421	135	142	169	139	886	383	687									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35680	140	150	350	1340	350	130	140	150	140	890	13000	18900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2481	74	80	213	465	115	69	48	79	61	272	383	622									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	401	18	34	36	49	70	14	14	29	26	46	0	65									
6	Число погашенных избирательных бюллетеней	32798	48	36	101	826	165	47	78	42	53	572	12617	18213									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	401	18	34	36	49	70	14	14	29	26	46	0	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2481	74	80	213	465	115	69	48	79	61	272	383	622									
9	Число недействительных избирательных бюллетеней	50	1	1	2	7	2	1	3	1	0	12	12	8									
10	Число действительных избирательных бюллетеней	2832	91	113	247	507	183	82	59	107	87	306	371	679									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	56	2	2	4	8	4	2	2	2	2	8	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	17	0	1	1	7	0	0	0	0	2	6	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	2	4	1	8	7	2	2	2	1	1	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	39	2	1	3	1	4	2	2	2	0	2	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	3	4	2	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	0	0	1	7	5	0	0	0	1	3	5	18									
		1.39%	0.00%	0.00%	0.40%	1.36%	2.70%	0.00%	0.00%	0.00%	1.15%	0.94%	1.31%	2.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	41	0	2	6	10	1	1	0	0	1	11	3	6									
		1.42%	0.00%	1.75%	2.41%	1.95%	0.54%	1.20%	0.00%	0.00%	1.15%	3.46%	0.78%	0.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	0	1	5	4	1	1	1	1	2	5	19	25									
		2.26%	0.00%	0.88%	2.01%	0.78%	0.54%	1.20%	1.61%	0.93%	2.30%	1.57%	4.96%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1514	69	93	159	232	108	59	33	61	50	154	233	263									
		52.53%	75.00%	81.58%	63.86%	45.14%	58.38%	71.08%	53.23%	56.48%	57.47%	48.43%	60.84%	38.28%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	0	0	0	2	0	1	1	1	0	2	2	3									
		0.42%	0.00%	0.00%	0.00%	0.39%	0.00%	1.20%	1.61%	0.93%	0.00%	0.63%	0.52%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	1	0	0	0	0	0	0	0	3	5									
		0.35%	1.09%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.73%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	391	12	9	45	140	19	8	11	21	17	59	17	33									
		13.57%	13.04%	7.89%	18.07%	27.24%	10.27%	9.64%	17.74%	19.44%	19.54%	18.55%	4.44%	4.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	78	1	0	0	8	3	0	0	0	1	1	18	46									
		2.71%	1.09%	0.00%	0.00%	1.56%	1.62%	0.00%	0.00%	0.00%	1.15%	0.31%	4.70%	6.70%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	28	0	1	1	0	0	0	0	1	0	0	5	20									
		0.97%	0.00%	0.88%	0.40%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	1.31%	2.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	0	1	0	1	0	0	0	0	1	0	0									
		0.14%	1.09%	0.00%	0.40%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	246	1	1	0	2	1	0	0	3	0	0	53	185									
		8.54%	1.09%	0.88%	0.00%	0.39%	0.54%	0.00%	0.00%	2.78%	0.00%	0.00%	13.84%	26.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	352	6	6	26	95	39	11	13	17	14	60	10	55									
		12.21%	6.52%	5.26%	10.44%	18.48%	21.08%	13.25%	20.97%	15.74%	16.09%	18.87%	2.61%	8.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	0	0	0	1	1	0	0	0	1	1	3									
		0.24%	0.00%	0.00%	0.00%	0.00%	0.54%	1.20%	0.00%	0.00%	0.00%	0.31%	0.26%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	0	0	2	7	4	0	0	2	1	9	2	17									
		1.53%	0.00%	0.00%	0.80%	1.36%	2.16%	0.00%	0.00%	1.85%	1.15%	2.83%	0.52%	2.47%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
