Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кусинская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119					
1	"Число избирателей, внесенных в список"	24523	1709	1555	1668	1612	1043	648	1545	1508	1125	968	2191	1143	993	1067	1087	219	176	1375	274	930	182	155	1350					
2	Число полученных избирательных бюллетеней	22700	1500	1400	1500	1500	1000	600	1400	1400	1000	900	2000	1050	1000	1000	1000	220	190	1200	290	900	190	160	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13966	986	817	1020	939	681	340	947	903	584	426	1192	593	531	628	687	131	125	775	156	522	135	94	754					
5	"Число избирательных бюллетеней, выданных вне помещения"	1052	67	56	34	54	16	67	40	25	39	91	57	49	41	38	68	26	38	42	45	61	28	24	46					
6	Число погашенных избирательных бюллетеней	7682	447	527	446	507	303	193	413	472	377	383	751	408	428	334	245	63	27	383	89	317	27	42	500					
7	Число избирательных бюллетеней в переносных ящиках	1052	67	56	34	54	16	67	40	25	39	91	57	49	41	38	68	26	38	42	45	61	28	24	46					
8	Число бюллетеней в стационарных ящиках для голосования	13960	986	815	1017	939	681	340	947	902	584	426	1192	593	531	628	687	131	125	775	156	522	135	94	754					
9	Число недействительных избирательных бюллетеней	87	5	4	9	7	2	2	6	7	5	1	6	2	0	6	5	1	0	8	5	3	2	1	0					
10	Число действительных избирательных бюллетеней	14925	1048	867	1042	986	695	405	981	920	618	516	1243	640	572	660	750	156	163	809	196	580	161	117	800					
11	Число полученных открепительных  удостоверений	373	10	20	33	20	20	20	20	20	20	20	20	15	15	15	20	5	5	20	5	20	5	5	20					
12	Число выданных открепительных удостоверений	192	8	16	24	20	6	7	16	10	2	2	3	12	9	11	20	0	1	5	3	10	2	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	10	9	8	8	2	6	4	11	3	4	4	4	5	1	13	4	1	2	1	4	1	0	3					
14	Число неиспользованных открепительных удостоверений	181	2	4	9	0	14	13	4	10	18	18	17	3	6	4	0	5	4	15	2	10	3	3	17					
15	"Число открепительных удостоверений, выданных в ТИК"	25	0	1	2	0	2	0	1	0	0	0	2	3	1	2	4	1	0	4	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
