Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Чебаркульская городская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2230	УИК №2298	УИК №2299									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35167	278	209	295	236	422	551	1627	1440	1380	1519	1558	463	1259	1248	655	808	1447	1414	1360	1324	1259	1305	1320	1362	1518	1434	1330	996	2951	867	1332									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28432	197	148	192	174	344	438	1303	1137	1107	1218	1250	369	1010	999	525	603	1151	1129	1097	1062	1009	1038	1060	1093	1267	1157	1081	802	2700	684	1088									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15254	110	57	135	95	117	174	560	652	620	549	638	134	595	568	281	302	615	613	572	583	564	476	384	494	902	563	553	295	2351	253	449									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	603	9	21	5	9	6	6	14	6	16	20	20	1	20	30	14	52	19	28	33	21	36	34	28	15	4	9	6	30	61	16	14									
6	Число погашенных избирательных бюллетеней	12572	78	70	52	70	221	258	729	479	471	649	591	234	395	401	230	249	517	488	492	458	409	527	648	584	361	585	522	477	287	415	625									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	602	9	21	5	9	6	6	14	6	16	20	20	1	20	30	14	52	19	28	33	21	36	34	28	15	4	9	6	30	60	16	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15206	110	57	135	95	117	174	560	652	619	549	638	134	595	568	281	302	615	613	572	583	563	476	384	494	902	562	508	295	2352	253	448									
9	Число недействительных избирательных бюллетеней	438	0	4	2	1	5	12	18	14	23	11	17	2	18	18	9	14	24	20	11	15	14	14	8	15	24	24	10	8	47	14	22									
10	Число действительных избирательных бюллетеней	15370	119	74	138	103	118	168	556	644	612	558	641	133	597	580	286	340	610	621	594	589	585	496	404	494	882	547	504	317	2365	255	440									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	820	5	5	5	5	5	5	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	60	50	50	40	150	30	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	1	0	5	1	5	5	9	8	10	11	17	3	10	9	4	0	10	17	13	8	7	7	12	10	8	9	9	5	16	3	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	252	17	19	13	15	6	7	2	6	10	9	10	3	12	9	4	8	2	13	6	6	5	2	9	5	12	6	2	3	18	9	4									
14	Число погашенных неиспользованных открепительных удостоверений	581	4	5	0	4	0	0	11	12	10	9	3	17	10	11	16	20	10	3	7	12	13	13	8	10	52	41	41	35	134	27	43									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	0	1	4	0	0	0	2	2	4	2	5	1	3	2	0	1	3	2	2	3	0	2	1	3	4	2	1	2	88	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	310	1	2	3	1	4	4	11	16	16	11	11	8	11	9	9	11	19	12	14	11	10	7	8	12	12	5	15	11	34	4	8									
		1.96%	0.84%	2.56%	2.14%	0.96%	3.25%	2.22%	1.92%	2.43%	2.52%	1.93%	1.67%	5.93%	1.79%	1.51%	3.05%	3.11%	2.99%	1.87%	2.31%	1.82%	1.67%	1.37%	1.94%	2.36%	1.32%	0.88%	2.92%	3.38%	1.41%	1.49%	1.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	421	1	5	2	4	2	6	13	16	17	25	15	2	19	16	10	10	28	21	13	17	21	17	16	19	18	12	15	7	41	5	8									
		2.66%	0.84%	6.41%	1.43%	3.85%	1.63%	3.33%	2.26%	2.43%	2.68%	4.39%	2.28%	1.48%	3.09%	2.68%	3.39%	2.82%	4.42%	3.28%	2.15%	2.81%	3.51%	3.33%	3.88%	3.73%	1.99%	2.10%	2.92%	2.15%	1.70%	1.86%	1.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	388	5	1	2	3	4	0	9	9	23	22	17	6	23	20	15	8	18	16	21	8	26	15	13	19	16	22	10	2	24	0	11									
		2.45%	4.20%	1.28%	1.43%	2.88%	3.25%	0.00%	1.57%	1.37%	3.62%	3.87%	2.58%	4.44%	3.74%	3.34%	5.08%	2.26%	2.84%	2.50%	3.47%	1.32%	4.34%	2.94%	3.16%	3.73%	1.77%	3.85%	1.95%	0.62%	0.99%	0.00%	2.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6377	34	29	53	51	57	70	187	206	182	159	219	58	190	233	108	130	184	210	221	222	212	167	144	164	477	248	197	154	1530	91	190									
		40.34%	28.57%	37.18%	37.86%	49.04%	46.34%	38.89%	32.58%	31.31%	28.66%	27.94%	33.28%	42.96%	30.89%	38.96%	36.61%	36.72%	29.02%	32.76%	36.53%	36.75%	35.39%	32.75%	34.95%	32.22%	52.65%	43.43%	38.33%	47.38%	63.43%	33.83%	41.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	154	1	0	2	0	4	2	10	5	5	7	7	1	7	7	2	3	5	7	9	4	6	3	7	6	5	6	6	1	20	4	2									
		0.97%	0.84%	0.00%	1.43%	0.00%	3.25%	1.11%	1.74%	0.76%	0.79%	1.23%	1.06%	0.74%	1.14%	1.17%	0.68%	0.85%	0.79%	1.09%	1.49%	0.66%	1.00%	0.59%	1.70%	1.18%	0.55%	1.05%	1.17%	0.31%	0.83%	1.49%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	0	0	0	0	0	0	1	0	0	0	1	0	5	1	3	0	1	0	1	2	0	3	1	1	3	1	0	1	2	1	0									
		0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.15%	0.00%	0.81%	0.17%	1.02%	0.00%	0.16%	0.00%	0.17%	0.33%	0.00%	0.59%	0.24%	0.20%	0.33%	0.18%	0.00%	0.31%	0.08%	0.37%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3186	19	12	28	18	23	48	141	120	116	113	144	22	110	116	53	59	128	115	99	117	85	99	106	120	214	117	128	83	461	61	111									
		20.15%	15.97%	15.38%	20.00%	17.31%	18.70%	26.67%	24.56%	18.24%	18.27%	19.86%	21.88%	16.30%	17.89%	19.40%	17.97%	16.67%	20.19%	17.94%	16.36%	19.37%	14.19%	19.41%	25.73%	23.58%	23.62%	20.49%	24.90%	25.54%	19.11%	22.68%	24.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	96	0	0	1	2	0	0	4	2	5	2	1	2	1	5	4	0	4	3	5	3	4	2	5	5	6	1	1	0	23	4	1									
		0.61%	0.00%	0.00%	0.71%	1.92%	0.00%	0.00%	0.70%	0.30%	0.79%	0.35%	0.15%	1.48%	0.16%	0.84%	1.36%	0.00%	0.63%	0.47%	0.83%	0.50%	0.67%	0.39%	1.21%	0.98%	0.66%	0.18%	0.19%	0.00%	0.95%	1.49%	0.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	274	1	1	0	3	0	3	10	14	16	15	13	1	15	15	4	10	9	10	10	18	13	7	10	12	13	10	12	4	11	4	10									
		1.73%	0.84%	1.28%	0.00%	2.88%	0.00%	1.67%	1.74%	2.13%	2.52%	2.64%	1.98%	0.74%	2.44%	2.51%	1.36%	2.82%	1.42%	1.56%	1.65%	2.98%	2.17%	1.37%	2.43%	2.36%	1.43%	1.75%	2.33%	1.23%	0.46%	1.49%	2.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	1	0	1	1	2	0	0	2	0	4	0	0									
		0.11%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.30%	0.00%	0.00%	0.17%	0.34%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.20%	0.24%	0.39%	0.00%	0.00%	0.39%	0.00%	0.17%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	264	6	0	4	3	3	0	13	14	10	16	10	2	13	14	6	10	18	6	7	7	11	11	10	7	8	5	6	7	31	4	2									
		1.67%	5.04%	0.00%	2.86%	2.88%	2.44%	0.00%	2.26%	2.13%	1.57%	2.81%	1.52%	1.48%	2.11%	2.34%	2.03%	2.82%	2.84%	0.94%	1.16%	1.16%	1.84%	2.16%	2.43%	1.38%	0.88%	0.88%	1.17%	2.15%	1.29%	1.49%	0.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1905	30	10	23	10	13	23	70	109	112	67	88	11	98	66	37	56	97	93	90	95	77	70	44	82	56	70	59	24	119	54	52									
		12.05%	25.21%	12.82%	16.43%	9.62%	10.57%	12.78%	12.20%	16.57%	17.64%	11.78%	13.37%	8.15%	15.93%	11.04%	12.54%	15.82%	15.30%	14.51%	14.88%	15.73%	12.85%	13.73%	10.68%	16.11%	6.18%	12.26%	11.48%	7.38%	4.93%	20.07%	11.26%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	1	0	0	0	0	0	0	5	4	8	6	1	3	2	4	0	5	3	3	1	8	3	0	2	6	4	1	1	18	0	3									
		0.58%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.63%	1.41%	0.91%	0.74%	0.49%	0.33%	1.36%	0.00%	0.79%	0.47%	0.50%	0.17%	1.34%	0.59%	0.00%	0.39%	0.66%	0.70%	0.19%	0.31%	0.75%	0.00%	0.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1858	19	14	20	8	8	12	87	128	106	112	107	19	102	75	30	43	94	125	101	83	112	91	39	43	48	46	52	22	47	23	42									
		11.75%	15.97%	17.95%	14.29%	7.69%	6.50%	6.67%	15.16%	19.45%	16.69%	19.68%	16.26%	14.07%	16.59%	12.54%	10.17%	12.15%	14.83%	19.50%	16.69%	13.74%	18.70%	17.84%	9.47%	8.45%	5.30%	8.06%	10.12%	6.77%	1.95%	8.55%	9.09%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
