Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
1	"Число избирателей, внесенных в списки"	127587	1196	456	1774	954	1254	2576	1877	1565	2133	2642	1798	1471	1434	2005	1756	1868	1878	1666	1775	1834	1572	2000	1711	1886	1595	1861	1769	1570	1683	1708	1697	2043	1956	1808	1701	1587	1642	1594	1576	1656	1891	1802	1686	1664	1481	1905	1831	2045	1718	1733	1738	1943	1755	1469	1769	1745	1952	1980	1974	1914	1924	1987	2119	1803	1966	1928	1942	1826	1835	1957	1716	2062					
2	"Число бюллетеней, полученных участковыми комиссиями"	116750	1100	450	1600	900	1200	2300	1700	1500	2000	2100	1700	1400	1300	1800	1600	1700	1700	1500	1600	1700	1500	1800	1600	1700	1500	1600	1600	1500	1600	1600	1600	1900	1700	1700	1500	1500	1500	1500	1500	1500	1800	1600	1600	1500	1400	1800	1700	1600	1600	1500	1500	1800	1600	1400	1600	1500	1800	1800	1800	1800	1800	1800	2000	1600	1800	1800	1800	1700	1700	1800	1600	1900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	64351	455	329	849	403	430	1225	763	626	833	1161	958	781	610	817	608	1003	791	877	973	923	675	1147	783	775	916	957	783	812	899	933	842	939	793	928	922	728	886	737	832	947	1062	899	970	873	735	1002	1072	978	1016	1072	924	977	1014	782	1005	777	1114	1135	1069	929	1003	1045	1148	1029	1068	1069	884	950	1061	996	902	1142					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1855	18	19	23	5	27	21	10	21	9	109	44	27	13	38	14	10	8	14	15	14	29	16	52	19	22	13	16	12	36	36	14	11	5	14	16	30	13	24	31	19	24	33	25	34	24	24	42	110	50	151	33	24	30	36	30	85	11	0	12	18	20	15	12	11	11	14	15	8	12	11	25	18					
6	Число погашенных бюллетеней	50544	627	102	728	492	743	1054	927	853	1158	830	698	592	677	945	978	687	901	609	612	763	796	637	765	906	562	630	801	676	665	631	744	950	902	758	562	742	601	739	637	534	714	668	605	593	641	774	586	512	534	277	543	799	556	582	565	638	675	665	719	853	777	740	840	560	721	717	901	742	627	793	673	740					
7	Число бюллетеней в переносных ящиках для голосования	1863	18	19	23	5	27	21	10	21	9	109	44	27	13	38	14	10	8	14	15	14	29	16	52	19	22	13	15	12	36	36	14	11	5	14	16	30	13	24	31	19	24	33	25	34	24	24	42	110	50	151	33	24	30	36	30	85	11	9	12	18	20	15	12	11	11	14	15	8	12	11	25	18					
8	Число бюллетеней в стационарных ящиках для голосования	64250	455	329	849	403	429	1224	763	622	830	1161	958	779	610	816	606	1002	788	877	971	921	675	1145	780	778	915	955	782	812	897	933	835	937	793	927	915	728	885	737	829	947	1061	898	970	868	735	1000	1072	976	1011	1070	922	976	1024	780	1003	777	1112	1125	1057	929	1001	1044	1145	1029	1068	1068	886	947	1060	994	902	1142					
9	Число недействительных бюллетеней	579	8	4	4	3	2	43	10	2	5	10	15	8	5	8	4	9	13	6	5	6	8	1	22	15	22	8	4	14	6	3	8	7	3	7	10	12	7	4	7	3	8	9	4	17	5	12	3	10	4	2	4	7	10	4	13	16	2	4	6	15	8	7	7	9	7	10	2	3	4	14	6	6					
10	Число действительных бюллетеней	65534	465	344	868	405	454	1202	763	641	834	1260	987	798	618	846	616	1003	783	885	981	929	696	1160	810	782	915	960	793	810	927	966	841	941	795	934	921	746	891	757	853	963	1077	922	991	885	754	1012	1111	1076	1057	1219	951	993	1044	812	1020	846	1121	1130	1063	932	1013	1052	1150	1031	1072	1072	899	952	1068	991	921	1154					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1470	18	22	118	18	18	18	18	18	18	18	18	18	50	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	38	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	18	18	25	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	28	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	720	10	18	49	3	2	11	7	4	9	11	6	11	20	9	5	12	6	4	6	8	5	13	12	8	6	8	4	7	9	9	5	5	16	6	13	7	9	7	11	6	12	10	12	9	9	6	11	13	12	7	11	14	25	12	10	14	13	10	7	7	9	13	12	7	9	3	9	9	12	9	17	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	610	2	62	5	5	4	9	6	7	10	7	3	7	7	8	0	10	5	4	7	1	7	9	8	4	7	8	8	3	4	4	8	4	14	12	3	7	7	4	6	4	3	13	6	9	5	5	4	59	16	23	4	7	18	13	12	14	7	3	3	2	2	10	3	19	4	3	4	10	4	10	3	12					
14	Число погашенных открепительных удостоверений	750	8	4	69	15	16	7	11	14	9	7	12	7	30	9	13	6	12	14	12	10	13	5	6	10	12	10	14	11	9	9	13	13	22	12	5	11	9	11	7	12	6	8	6	9	9	12	7	5	6	12	7	4	0	6	8	4	5	8	11	11	9	5	6	11	9	15	9	9	6	9	11	8					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
